"Date VDH Notified","Facility Type Group","Number of Outbreaks"
09/05/2020,"Long Term Care Facilities",2
03/29/2020,"Long Term Care Facilities",1
07/21/2020,"Long Term Care Facilities",3
07/04/2020,"Educational Setting",1
09/08/2020,"Educational Setting",1
07/09/2020,"Long Term Care Facilities",1
08/06/2020,"Congregate Setting",5
09/10/2020,"Congregate Setting",4
04/03/2020,"Congregate Setting",3
07/13/2020,"Congregate Setting",4
07/10/2020,"Long Term Care Facilities",3
09/10/2020,"Educational Setting",1
08/13/2020,"Long Term Care Facilities",2
04/05/2020,"Long Term Care Facilities",4
07/21/2020,"Congregate Setting",2
03/23/2020,"Educational Setting",1
08/27/2020,"Educational Setting",1
04/08/2020,"Long Term Care Facilities",8
08/30/2020,"Long Term Care Facilities",2
09/17/2020,"Educational Setting",2
04/18/2020,"Educational Setting",1
08/24/2020,"Healthcare Setting",1
09/04/2020,"Educational Setting",4
04/14/2020,"Long Term Care Facilities",3
08/10/2020,"Correctional Facility",1
07/14/2020,"Congregate Setting",1
08/03/2020,"Healthcare Setting",1
09/11/2020,"Congregate Setting",4
08/17/2020,"Long Term Care Facilities",8
04/13/2020,"Long Term Care Facilities",2
09/01/2020,"Congregate Setting",1
08/12/2020,"Long Term Care Facilities",4
08/26/2020,"Congregate Setting",5
04/18/2020,"Congregate Setting",8
08/07/2020,"Congregate Setting",1
05/25/2020,"Long Term Care Facilities",1
07/09/2020,"Educational Setting",2
08/28/2020,"Correctional Facility",1
05/27/2020,"Congregate Setting",4
07/14/2020,"Healthcare Setting",2
07/15/2020,"Healthcare Setting",1
05/05/2020,"Long Term Care Facilities",3
05/01/2020,"Correctional Facility",1
06/02/2020,"Correctional Facility",2
06/10/2020,"Correctional Facility",1
07/03/2020,"Long Term Care Facilities",1
08/17/2020,"Educational Setting",1
03/28/2020,"Healthcare Setting",3
07/30/2020,"Congregate Setting",5
07/12/2020,"Long Term Care Facilities",2
08/13/2020,"Congregate Setting",4
09/07/2020,"Congregate Setting",1
07/10/2020,"Congregate Setting",5
06/26/2020,"Congregate Setting",1
04/12/2020,"Congregate Setting",1
04/07/2020,"Congregate Setting",1
05/12/2020,"Long Term Care Facilities",6
08/23/2020,"Congregate Setting",2
03/20/2020,"Long Term Care Facilities",1
07/31/2020,"Long Term Care Facilities",2
06/09/2020,"Healthcare Setting",1
08/17/2020,"Healthcare Setting",1
05/02/2020,"Congregate Setting",1
04/24/2020,"Long Term Care Facilities",9
03/30/2020,"Correctional Facility",1
07/08/2020,"Healthcare Setting",1
08/09/2020,"Long Term Care Facilities",2
07/16/2020,"Educational Setting",1
07/27/2020,"Long Term Care Facilities",3
08/03/2020,"Long Term Care Facilities",1
08/14/2020,"Correctional Facility",2
07/31/2020,"Congregate Setting",2
04/15/2020,"Long Term Care Facilities",4
05/21/2020,"Long Term Care Facilities",2
06/04/2020,"Congregate Setting",3
06/18/2020,"Congregate Setting",3
07/22/2020,"Congregate Setting",9
05/01/2020,"Long Term Care Facilities",2
08/18/2020,"Long Term Care Facilities",4
04/16/2020,"Healthcare Setting",1
04/06/2020,"Correctional Facility",3
09/12/2020,"Congregate Setting",1
05/16/2020,"Long Term Care Facilities",2
09/15/2020,"Congregate Setting",4
04/29/2020,"Congregate Setting",3
04/13/2020,"Congregate Setting",2
06/08/2020,"Congregate Setting",5
05/02/2020,"Long Term Care Facilities",4
04/30/2020,"Long Term Care Facilities",8
04/22/2020,"Correctional Facility",1
08/28/2020,"Long Term Care Facilities",1
06/09/2020,"Congregate Setting",2
05/09/2020,"Long Term Care Facilities",5
05/17/2020,"Congregate Setting",1
08/06/2020,"Educational Setting",3
08/12/2020,"Congregate Setting",2
04/10/2020,"Correctional Facility",2
09/11/2020,"Long Term Care Facilities",3
03/23/2020,"Congregate Setting",1
08/28/2020,"Educational Setting",2
04/10/2020,"Educational Setting",1
07/28/2020,"Congregate Setting",4
09/12/2020,"Educational Setting",1
03/27/2020,"Congregate Setting",1
09/17/2020,"Congregate Setting",1
03/28/2020,"Long Term Care Facilities",6
04/01/2020,"Healthcare Setting",2
07/16/2020,"Healthcare Setting",1
05/04/2020,"Long Term Care Facilities",5
07/05/2020,"Long Term Care Facilities",1
06/17/2020,"Congregate Setting",1
08/30/2020,"Congregate Setting",1
05/15/2020,"Long Term Care Facilities",3
06/25/2020,"Long Term Care Facilities",2
05/14/2020,"Long Term Care Facilities",4
04/12/2020,"Long Term Care Facilities",1
08/19/2020,"Correctional Facility",1
08/08/2020,"Long Term Care Facilities",1
04/28/2020,"Long Term Care Facilities",2
07/15/2020,"Long Term Care Facilities",5
04/20/2020,"Long Term Care Facilities",2
05/04/2020,"Congregate Setting",1
04/14/2020,"Healthcare Setting",1
08/25/2020,"Long Term Care Facilities",2
04/10/2020,"Long Term Care Facilities",3
05/25/2020,"Healthcare Setting",1
07/07/2020,"Long Term Care Facilities",5
07/08/2020,"Long Term Care Facilities",3
07/24/2020,"Congregate Setting",8
08/26/2020,"Long Term Care Facilities",2
08/14/2020,"Long Term Care Facilities",5
09/03/2020,"Correctional Facility",1
07/07/2020,"Correctional Facility",1
06/03/2020,"Long Term Care Facilities",3
05/24/2020,"Long Term Care Facilities",1
08/21/2020,"Healthcare Setting",1
06/02/2020,"Healthcare Setting",2
04/16/2020,"Congregate Setting",2
08/10/2020,"Educational Setting",1
06/03/2020,"Correctional Facility",1
06/01/2020,"Healthcare Setting",1
08/04/2020,"Long Term Care Facilities",2
07/22/2020,"Correctional Facility",1
09/11/2020,"Educational Setting",4
04/21/2020,"Congregate Setting",1
03/17/2020,"Long Term Care Facilities",2
08/11/2020,"Educational Setting",2
09/01/2020,"Correctional Facility",1
04/04/2020,"Long Term Care Facilities",2
09/15/2020,"Educational Setting",1
09/03/2020,"Educational Setting",1
03/17/2020,"Congregate Setting",1
08/23/2020,"Long Term Care Facilities",1
03/27/2020,"Long Term Care Facilities",1
08/24/2020,"Correctional Facility",1
09/01/2020,"Educational Setting",1
07/23/2020,"Congregate Setting",3
04/16/2020,"Correctional Facility",2
07/17/2020,"Healthcare Setting",1
04/20/2020,"Congregate Setting",2
07/03/2020,"Educational Setting",1
06/27/2020,"Congregate Setting",1
03/26/2020,"Healthcare Setting",1
07/29/2020,"Long Term Care Facilities",5
07/02/2020,"Long Term Care Facilities",3
05/18/2020,"Long Term Care Facilities",2
06/10/2020,"Educational Setting",1
04/23/2020,"Congregate Setting",3
08/21/2020,"Long Term Care Facilities",2
07/30/2020,"Long Term Care Facilities",1
06/15/2020,"Congregate Setting",2
07/14/2020,"Long Term Care Facilities",2
07/18/2020,"Congregate Setting",1
09/09/2020,"Healthcare Setting",1
05/13/2020,"Congregate Setting",1
03/31/2020,"Healthcare Setting",1
04/29/2020,"Correctional Facility",2
07/11/2020,"Long Term Care Facilities",2
05/08/2020,"Long Term Care Facilities",1
06/01/2020,"Correctional Facility",1
09/02/2020,"Long Term Care Facilities",2
04/10/2020,"Congregate Setting",2
08/15/2020,"Congregate Setting",1
04/08/2020,"Healthcare Setting",1
06/10/2020,"Congregate Setting",2
06/21/2020,"Congregate Setting",1
06/18/2020,"Long Term Care Facilities",1
05/01/2020,"Healthcare Setting",1
03/29/2020,"Healthcare Setting",1
05/19/2020,"Long Term Care Facilities",2
05/15/2020,"Correctional Facility",1
07/01/2020,"Congregate Setting",1
04/24/2020,"Congregate Setting",2
03/31/2020,"Long Term Care Facilities",4
06/16/2020,"Congregate Setting",1
09/10/2020,"Long Term Care Facilities",2
09/04/2020,"Congregate Setting",7
06/22/2020,"Congregate Setting",5
09/14/2020,"Healthcare Setting",2
06/15/2020,"Long Term Care Facilities",4
06/24/2020,"Long Term Care Facilities",3
08/19/2020,"Congregate Setting",6
04/08/2020,"Congregate Setting",1
05/09/2020,"Correctional Facility",1
06/04/2020,"Correctional Facility",1
07/07/2020,"Educational Setting",2
07/06/2020,"Congregate Setting",7
08/20/2020,"Long Term Care Facilities",2
09/06/2020,"Correctional Facility",1
07/20/2020,"Correctional Facility",3
08/10/2020,"Healthcare Setting",1
07/07/2020,"Congregate Setting",2
04/10/2020,"Healthcare Setting",3
09/17/2020,"Healthcare Setting",1
08/19/2020,"Healthcare Setting",1
07/13/2020,"Correctional Facility",1
06/20/2020,"Long Term Care Facilities",1
05/07/2020,"Congregate Setting",4
07/08/2020,"Congregate Setting",1
07/02/2020,"Congregate Setting",3
07/17/2020,"Congregate Setting",2
08/24/2020,"Congregate Setting",4
05/19/2020,"Congregate Setting",2
08/20/2020,"Healthcare Setting",1
05/13/2020,"Long Term Care Facilities",1
09/16/2020,"Congregate Setting",1
08/24/2020,"Long Term Care Facilities",3
07/24/2020,"Educational Setting",1
07/31/2020,"Correctional Facility",1
07/27/2020,"Correctional Facility",1
08/20/2020,"Congregate Setting",4
04/22/2020,"Long Term Care Facilities",4
07/31/2020,"Healthcare Setting",1
06/17/2020,"Correctional Facility",1
09/06/2020,"Long Term Care Facilities",1
04/23/2020,"Healthcare Setting",1
06/25/2020,"Congregate Setting",3
08/01/2020,"Healthcare Setting",1
08/14/2020,"Congregate Setting",4
03/26/2020,"Congregate Setting",1
07/20/2020,"Educational Setting",1
08/18/2020,"Congregate Setting",6
07/15/2020,"Congregate Setting",1
05/18/2020,"Congregate Setting",1
03/20/2020,"Congregate Setting",1
09/10/2020,"Healthcare Setting",1
05/20/2020,"Congregate Setting",2
06/23/2020,"Congregate Setting",2
06/04/2020,"Long Term Care Facilities",5
06/29/2020,"Long Term Care Facilities",1
05/21/2020,"Congregate Setting",2
05/26/2020,"Congregate Setting",3
06/27/2020,"Long Term Care Facilities",1
06/01/2020,"Educational Setting",1
04/02/2020,"Healthcare Setting",3
05/22/2020,"Long Term Care Facilities",1
07/24/2020,"Long Term Care Facilities",3
07/15/2020,"Educational Setting",1
06/05/2020,"Long Term Care Facilities",2
04/19/2020,"Correctional Facility",1
04/23/2020,"Correctional Facility",1
04/23/2020,"Long Term Care Facilities",7
08/06/2020,"Long Term Care Facilities",3
07/20/2020,"Healthcare Setting",2
05/20/2020,"Long Term Care Facilities",2
06/11/2020,"Congregate Setting",2
08/04/2020,"Educational Setting",3
06/08/2020,"Correctional Facility",1
05/26/2020,"Long Term Care Facilities",1
04/17/2020,"Healthcare Setting",1
08/29/2020,"Healthcare Setting",1
06/02/2020,"Congregate Setting",5
09/03/2020,"Long Term Care Facilities",1
08/11/2020,"Congregate Setting",4
07/06/2020,"Correctional Facility",1
07/28/2020,"Long Term Care Facilities",1
07/29/2020,"Congregate Setting",2
04/09/2020,"Long Term Care Facilities",11
03/30/2020,"Long Term Care Facilities",2
05/29/2020,"Congregate Setting",1
04/29/2020,"Long Term Care Facilities",5
04/30/2020,"Healthcare Setting",1
03/13/2020,"Congregate Setting",1
06/23/2020,"Healthcare Setting",1
08/05/2020,"Long Term Care Facilities",4
05/05/2020,"Congregate Setting",3
04/06/2020,"Long Term Care Facilities",3
05/17/2020,"Long Term Care Facilities",1
05/15/2020,"Educational Setting",1
05/30/2020,"Long Term Care Facilities",2
05/22/2020,"Educational Setting",1
08/29/2020,"Congregate Setting",2
05/23/2020,"Long Term Care Facilities",1
06/16/2020,"Healthcare Setting",1
09/14/2020,"Long Term Care Facilities",1
06/19/2020,"Healthcare Setting",1
08/22/2020,"Long Term Care Facilities",2
07/24/2020,"Healthcare Setting",1
04/18/2020,"Long Term Care Facilities",4
09/14/2020,"Congregate Setting",3
06/03/2020,"Congregate Setting",1
09/08/2020,"Congregate Setting",5
08/10/2020,"Long Term Care Facilities",8
07/04/2020,"Congregate Setting",5
07/04/2020,"Long Term Care Facilities",2
