"Date VDH Notified","Facility Type Group","Number of Outbreaks"
04/18/2020,"Educational Setting",1
04/18/2020,"Long Term Care Facilities",4
04/19/2020,"Correctional Facility",1
04/19/2020,"Long Term Care Facilities",2
04/20/2020,"Congregate Setting",2
04/20/2020,"Healthcare Setting",1
04/20/2020,"Long Term Care Facilities",2
04/21/2020,"Congregate Setting",1
04/21/2020,"Long Term Care Facilities",4
04/22/2020,"Correctional Facility",1
04/22/2020,"Long Term Care Facilities",4
04/23/2020,"Congregate Setting",3
04/23/2020,"Correctional Facility",1
04/23/2020,"Educational Setting",1
04/23/2020,"Healthcare Setting",1
04/23/2020,"Long Term Care Facilities",7
04/24/2020,"Congregate Setting",2
04/24/2020,"Long Term Care Facilities",9
04/26/2020,"Correctional Facility",1
04/27/2020,"Long Term Care Facilities",1
04/28/2020,"Long Term Care Facilities",2
04/29/2020,"Congregate Setting",3
04/29/2020,"Correctional Facility",2
04/29/2020,"Long Term Care Facilities",5
04/30/2020,"Healthcare Setting",1
04/30/2020,"Long Term Care Facilities",8
05/01/2020,"Congregate Setting",2
05/01/2020,"Correctional Facility",1
05/01/2020,"Healthcare Setting",1
05/01/2020,"Long Term Care Facilities",2
05/02/2020,"Congregate Setting",1
05/02/2020,"Long Term Care Facilities",4
05/03/2020,"Congregate Setting",3
05/03/2020,"Long Term Care Facilities",2
05/04/2020,"Congregate Setting",1
05/04/2020,"Long Term Care Facilities",5
05/05/2020,"Congregate Setting",3
05/05/2020,"Long Term Care Facilities",3
05/06/2020,"Congregate Setting",2
05/06/2020,"Long Term Care Facilities",4
05/07/2020,"Congregate Setting",4
05/07/2020,"Healthcare Setting",1
05/08/2020,"Long Term Care Facilities",1
05/09/2020,"Correctional Facility",1
05/09/2020,"Long Term Care Facilities",5
05/10/2020,"Long Term Care Facilities",3
05/11/2020,"Congregate Setting",1
05/11/2020,"Long Term Care Facilities",3
05/12/2020,"Congregate Setting",3
05/12/2020,"Long Term Care Facilities",6
05/13/2020,"Congregate Setting",1
05/13/2020,"Correctional Facility",1
05/13/2020,"Long Term Care Facilities",1
05/14/2020,"Congregate Setting",3
05/14/2020,"Long Term Care Facilities",4
05/15/2020,"Congregate Setting",1
05/15/2020,"Correctional Facility",1
05/15/2020,"Educational Setting",1
05/15/2020,"Long Term Care Facilities",3
05/16/2020,"Long Term Care Facilities",2
05/17/2020,"Congregate Setting",1
05/17/2020,"Long Term Care Facilities",1
05/18/2020,"Congregate Setting",1
05/18/2020,"Correctional Facility",1
05/18/2020,"Long Term Care Facilities",2
05/19/2020,"Congregate Setting",2
05/19/2020,"Correctional Facility",1
05/19/2020,"Long Term Care Facilities",2
05/20/2020,"Congregate Setting",2
05/20/2020,"Long Term Care Facilities",2
05/21/2020,"Congregate Setting",2
05/21/2020,"Long Term Care Facilities",2
05/22/2020,"Educational Setting",1
05/22/2020,"Long Term Care Facilities",1
05/23/2020,"Correctional Facility",1
05/23/2020,"Long Term Care Facilities",1
05/24/2020,"Long Term Care Facilities",1
05/25/2020,"Congregate Setting",3
05/25/2020,"Healthcare Setting",1
05/25/2020,"Long Term Care Facilities",1
05/26/2020,"Congregate Setting",3
05/26/2020,"Long Term Care Facilities",1
05/27/2020,"Congregate Setting",4
05/27/2020,"Educational Setting",1
05/27/2020,"Long Term Care Facilities",6
05/28/2020,"Healthcare Setting",1
05/28/2020,"Long Term Care Facilities",5
05/29/2020,"Congregate Setting",1
05/29/2020,"Long Term Care Facilities",3
05/30/2020,"Congregate Setting",1
05/30/2020,"Long Term Care Facilities",2
06/01/2020,"Congregate Setting",1
06/01/2020,"Correctional Facility",1
06/01/2020,"Educational Setting",1
06/01/2020,"Healthcare Setting",1
06/02/2020,"Congregate Setting",5
06/02/2020,"Correctional Facility",2
06/02/2020,"Healthcare Setting",2
06/02/2020,"Long Term Care Facilities",4
06/03/2020,"Congregate Setting",1
06/03/2020,"Correctional Facility",1
06/03/2020,"Long Term Care Facilities",3
06/04/2020,"Congregate Setting",3
06/04/2020,"Correctional Facility",1
06/04/2020,"Long Term Care Facilities",5
06/05/2020,"Congregate Setting",1
06/05/2020,"Long Term Care Facilities",2
06/08/2020,"Congregate Setting",5
06/08/2020,"Correctional Facility",1
06/08/2020,"Long Term Care Facilities",1
06/09/2020,"Congregate Setting",2
06/09/2020,"Healthcare Setting",1
06/09/2020,"Long Term Care Facilities",1
06/10/2020,"Congregate Setting",2
06/10/2020,"Correctional Facility",1
06/10/2020,"Educational Setting",1
06/11/2020,"Congregate Setting",2
06/15/2020,"Congregate Setting",2
06/15/2020,"Long Term Care Facilities",4
06/16/2020,"Congregate Setting",1
06/16/2020,"Healthcare Setting",1
06/17/2020,"Congregate Setting",1
06/17/2020,"Correctional Facility",1
06/18/2020,"Congregate Setting",3
06/18/2020,"Healthcare Setting",1
06/18/2020,"Long Term Care Facilities",1
06/19/2020,"Healthcare Setting",1
06/20/2020,"Long Term Care Facilities",1
06/21/2020,"Congregate Setting",1
06/21/2020,"Long Term Care Facilities",1
06/22/2020,"Congregate Setting",5
06/23/2020,"Congregate Setting",2
06/23/2020,"Healthcare Setting",1
06/23/2020,"Long Term Care Facilities",2
06/24/2020,"Educational Setting",1
06/24/2020,"Long Term Care Facilities",3
06/25/2020,"Congregate Setting",3
06/25/2020,"Long Term Care Facilities",2
06/26/2020,"Congregate Setting",1
06/27/2020,"Congregate Setting",1
06/27/2020,"Long Term Care Facilities",1
06/28/2020,"Congregate Setting",1
06/29/2020,"Congregate Setting",1
06/29/2020,"Correctional Facility",2
06/29/2020,"Educational Setting",1
06/29/2020,"Long Term Care Facilities",1
06/30/2020,"Long Term Care Facilities",3
07/01/2020,"Congregate Setting",1
07/02/2020,"Congregate Setting",3
07/02/2020,"Long Term Care Facilities",3
07/03/2020,"Congregate Setting",1
07/03/2020,"Educational Setting",1
07/03/2020,"Long Term Care Facilities",1
07/04/2020,"Congregate Setting",5
07/04/2020,"Educational Setting",1
07/04/2020,"Long Term Care Facilities",2
07/05/2020,"Long Term Care Facilities",1
07/06/2020,"Congregate Setting",7
07/06/2020,"Correctional Facility",1
07/06/2020,"Healthcare Setting",1
07/06/2020,"Long Term Care Facilities",3
07/07/2020,"Congregate Setting",2
07/07/2020,"Correctional Facility",1
07/07/2020,"Educational Setting",2
07/07/2020,"Long Term Care Facilities",5
07/08/2020,"Congregate Setting",1
07/08/2020,"Healthcare Setting",1
07/08/2020,"Long Term Care Facilities",3
07/09/2020,"Congregate Setting",3
07/09/2020,"Correctional Facility",1
07/09/2020,"Educational Setting",2
07/09/2020,"Long Term Care Facilities",1
07/10/2020,"Congregate Setting",5
07/10/2020,"Long Term Care Facilities",3
07/11/2020,"Correctional Facility",1
07/11/2020,"Long Term Care Facilities",2
07/12/2020,"Long Term Care Facilities",2
07/13/2020,"Congregate Setting",4
07/13/2020,"Correctional Facility",1
07/13/2020,"Long Term Care Facilities",3
07/14/2020,"Congregate Setting",1
07/14/2020,"Healthcare Setting",2
07/14/2020,"Long Term Care Facilities",2
07/15/2020,"Congregate Setting",1
07/15/2020,"Educational Setting",1
07/15/2020,"Healthcare Setting",1
07/15/2020,"Long Term Care Facilities",5
07/16/2020,"Educational Setting",1
07/16/2020,"Healthcare Setting",1
07/16/2020,"Long Term Care Facilities",4
07/17/2020,"Congregate Setting",2
07/17/2020,"Healthcare Setting",1
07/17/2020,"Long Term Care Facilities",4
07/18/2020,"Congregate Setting",1
07/19/2020,"Long Term Care Facilities",1
07/20/2020,"Congregate Setting",3
07/20/2020,"Correctional Facility",3
07/20/2020,"Educational Setting",1
07/20/2020,"Healthcare Setting",2
07/20/2020,"Long Term Care Facilities",1
07/21/2020,"Congregate Setting",2
07/21/2020,"Long Term Care Facilities",3
07/22/2020,"Congregate Setting",9
07/22/2020,"Correctional Facility",1
07/22/2020,"Educational Setting",1
07/22/2020,"Long Term Care Facilities",8
07/23/2020,"Congregate Setting",3
07/23/2020,"Healthcare Setting",1
07/23/2020,"Long Term Care Facilities",1
07/24/2020,"Congregate Setting",8
07/24/2020,"Educational Setting",1
07/24/2020,"Healthcare Setting",1
07/24/2020,"Long Term Care Facilities",3
07/25/2020,"Correctional Facility",1
07/26/2020,"Congregate Setting",3
07/26/2020,"Healthcare Setting",1
07/27/2020,"Congregate Setting",1
07/27/2020,"Correctional Facility",1
07/27/2020,"Long Term Care Facilities",2
07/28/2020,"Congregate Setting",4
07/28/2020,"Educational Setting",1
07/28/2020,"Long Term Care Facilities",1
07/29/2020,"Congregate Setting",2
07/29/2020,"Educational Setting",1
07/29/2020,"Long Term Care Facilities",5
07/30/2020,"Congregate Setting",5
07/30/2020,"Long Term Care Facilities",1
07/31/2020,"Congregate Setting",2
07/31/2020,"Correctional Facility",1
07/31/2020,"Healthcare Setting",1
07/31/2020,"Long Term Care Facilities",2
08/01/2020,"Healthcare Setting",1
08/03/2020,"Congregate Setting",4
08/03/2020,"Healthcare Setting",1
08/03/2020,"Long Term Care Facilities",1
08/04/2020,"Congregate Setting",5
08/04/2020,"Educational Setting",3
08/04/2020,"Long Term Care Facilities",2
08/05/2020,"Congregate Setting",1
08/05/2020,"Long Term Care Facilities",4
08/06/2020,"Congregate Setting",5
08/06/2020,"Educational Setting",3
08/06/2020,"Healthcare Setting",1
08/06/2020,"Long Term Care Facilities",3
08/07/2020,"Congregate Setting",1
08/07/2020,"Educational Setting",1
08/08/2020,"Long Term Care Facilities",1
08/09/2020,"Congregate Setting",1
08/09/2020,"Long Term Care Facilities",2
08/10/2020,"Congregate Setting",4
08/10/2020,"Correctional Facility",1
08/10/2020,"Educational Setting",1
08/10/2020,"Healthcare Setting",1
08/10/2020,"Long Term Care Facilities",8
08/11/2020,"Congregate Setting",3
08/11/2020,"Educational Setting",2
08/11/2020,"Long Term Care Facilities",3
08/12/2020,"Congregate Setting",2
08/12/2020,"Long Term Care Facilities",4
08/13/2020,"Congregate Setting",4
08/13/2020,"Correctional Facility",1
08/13/2020,"Educational Setting",1
08/13/2020,"Healthcare Setting",2
08/13/2020,"Long Term Care Facilities",2
08/14/2020,"Congregate Setting",4
08/14/2020,"Correctional Facility",2
08/14/2020,"Long Term Care Facilities",5
08/15/2020,"Congregate Setting",1
08/16/2020,"Educational Setting",1
08/17/2020,"Correctional Facility",2
08/17/2020,"Educational Setting",1
08/17/2020,"Healthcare Setting",1
08/17/2020,"Long Term Care Facilities",8
08/18/2020,"Congregate Setting",6
08/18/2020,"Correctional Facility",1
08/18/2020,"Educational Setting",1
08/18/2020,"Long Term Care Facilities",4
08/19/2020,"Congregate Setting",6
08/19/2020,"Correctional Facility",1
08/19/2020,"Educational Setting",2
08/19/2020,"Healthcare Setting",1
08/19/2020,"Long Term Care Facilities",1
08/20/2020,"Congregate Setting",3
08/20/2020,"Healthcare Setting",1
08/20/2020,"Long Term Care Facilities",2
08/21/2020,"Educational Setting",1
08/21/2020,"Healthcare Setting",1
08/21/2020,"Long Term Care Facilities",2
08/22/2020,"Healthcare Setting",1
08/22/2020,"Long Term Care Facilities",2
08/23/2020,"Congregate Setting",1
08/23/2020,"Long Term Care Facilities",1
08/24/2020,"Congregate Setting",4
08/24/2020,"Correctional Facility",1
08/24/2020,"Educational Setting",1
08/24/2020,"Healthcare Setting",1
08/24/2020,"Long Term Care Facilities",2
08/25/2020,"Congregate Setting",1
08/25/2020,"Educational Setting",1
08/25/2020,"Long Term Care Facilities",2
08/26/2020,"Congregate Setting",3
08/26/2020,"Educational Setting",3
08/26/2020,"Long Term Care Facilities",2
08/27/2020,"Healthcare Setting",1
08/27/2020,"Long Term Care Facilities",3
08/28/2020,"Congregate Setting",3
08/28/2020,"Educational Setting",2
08/28/2020,"Long Term Care Facilities",1
08/29/2020,"Congregate Setting",2
08/29/2020,"Healthcare Setting",1
08/30/2020,"Congregate Setting",1
08/30/2020,"Long Term Care Facilities",2
08/31/2020,"Congregate Setting",2
08/31/2020,"Educational Setting",1
09/01/2020,"Correctional Facility",1
09/01/2020,"Educational Setting",1
09/01/2020,"Long Term Care Facilities",1
