"Date VDH Notified","Facility Type Group","Number of Outbreaks"
2020-04-23,"Child Care",1
2020-04-23,"Congregate Setting",3
2020-04-23,"Correctional Facility",1
2020-04-23,"Healthcare Setting",1
2020-04-23,"Long Term Care Facilities",7
2020-04-24,"Congregate Setting",2
2020-04-24,"Long Term Care Facilities",9
2020-04-26,"Correctional Facility",1
2020-04-27,"Long Term Care Facilities",1
2020-04-28,"Long Term Care Facilities",2
2020-04-29,"Congregate Setting",3
2020-04-29,"Correctional Facility",2
2020-04-29,"Long Term Care Facilities",5
2020-04-30,"Healthcare Setting",1
2020-04-30,"Long Term Care Facilities",8
2020-05-01,"Congregate Setting",2
2020-05-01,"Correctional Facility",1
2020-05-01,"Healthcare Setting",1
2020-05-01,"Long Term Care Facilities",2
2020-05-02,"Congregate Setting",1
2020-05-02,"Long Term Care Facilities",4
2020-05-03,"Congregate Setting",3
2020-05-03,"Long Term Care Facilities",2
2020-05-04,"Congregate Setting",1
2020-05-04,"Long Term Care Facilities",5
2020-05-05,"Congregate Setting",3
2020-05-05,"Long Term Care Facilities",3
2020-05-06,"Congregate Setting",2
2020-05-06,"Long Term Care Facilities",4
2020-05-07,"Congregate Setting",4
2020-05-07,"Healthcare Setting",1
2020-05-08,"Long Term Care Facilities",1
2020-05-09,"Correctional Facility",1
2020-05-09,"Long Term Care Facilities",5
2020-05-10,"Long Term Care Facilities",3
2020-05-11,"Congregate Setting",1
2020-05-11,"Long Term Care Facilities",3
2020-05-12,"Congregate Setting",3
2020-05-12,"Long Term Care Facilities",6
2020-05-13,"Congregate Setting",1
2020-05-13,"Correctional Facility",1
2020-05-13,"Long Term Care Facilities",1
2020-05-14,"Congregate Setting",3
2020-05-14,"Long Term Care Facilities",4
2020-05-15,"Child Care",1
2020-05-15,"Congregate Setting",1
2020-05-15,"Correctional Facility",1
2020-05-15,"Long Term Care Facilities",3
2020-05-16,"Long Term Care Facilities",2
2020-05-17,"Congregate Setting",1
2020-05-17,"Long Term Care Facilities",1
2020-05-18,"Congregate Setting",1
2020-05-18,"Correctional Facility",1
2020-05-18,"Long Term Care Facilities",2
2020-05-19,"Congregate Setting",2
2020-05-19,"Correctional Facility",1
2020-05-19,"Long Term Care Facilities",2
2020-05-20,"Congregate Setting",2
2020-05-20,"Long Term Care Facilities",2
2020-05-21,"Congregate Setting",2
2020-05-21,"Long Term Care Facilities",2
2020-05-22,"Child Care",1
2020-05-22,"Long Term Care Facilities",1
2020-05-23,"Correctional Facility",1
2020-05-23,"Long Term Care Facilities",1
2020-05-24,"Long Term Care Facilities",1
2020-05-25,"Congregate Setting",3
2020-05-25,"Healthcare Setting",1
2020-05-25,"Long Term Care Facilities",1
2020-05-26,"Congregate Setting",3
2020-05-26,"Long Term Care Facilities",1
2020-05-27,"Child Care",1
2020-05-27,"Congregate Setting",4
2020-05-27,"Long Term Care Facilities",6
2020-05-28,"Healthcare Setting",1
2020-05-28,"Long Term Care Facilities",5
2020-05-29,"Congregate Setting",1
2020-05-29,"Long Term Care Facilities",3
2020-05-30,"Congregate Setting",1
2020-05-30,"Long Term Care Facilities",2
2020-06-01,"Child Care",1
2020-06-01,"Congregate Setting",1
2020-06-01,"Correctional Facility",1
2020-06-01,"Healthcare Setting",1
2020-06-02,"Congregate Setting",5
2020-06-02,"Correctional Facility",2
2020-06-02,"Healthcare Setting",2
2020-06-02,"Long Term Care Facilities",4
2020-06-03,"Congregate Setting",1
2020-06-03,"Correctional Facility",1
2020-06-03,"Long Term Care Facilities",3
2020-06-04,"Congregate Setting",3
2020-06-04,"Correctional Facility",1
2020-06-04,"Long Term Care Facilities",5
2020-06-05,"Congregate Setting",1
2020-06-05,"Long Term Care Facilities",2
2020-06-08,"Congregate Setting",5
2020-06-08,"Correctional Facility",1
2020-06-08,"Long Term Care Facilities",1
2020-06-09,"Congregate Setting",2
2020-06-09,"Healthcare Setting",1
2020-06-09,"Long Term Care Facilities",1
2020-06-10,"Child Care",1
2020-06-10,"Congregate Setting",2
2020-06-10,"Correctional Facility",1
2020-06-11,"Congregate Setting",2
2020-06-15,"Congregate Setting",2
2020-06-15,"Long Term Care Facilities",4
2020-06-16,"Congregate Setting",1
2020-06-16,"Healthcare Setting",1
2020-06-17,"Congregate Setting",1
2020-06-17,"Correctional Facility",1
2020-06-18,"Congregate Setting",3
2020-06-18,"Healthcare Setting",1
2020-06-18,"Long Term Care Facilities",1
2020-06-19,"Healthcare Setting",1
2020-06-20,"Long Term Care Facilities",1
2020-06-21,"Congregate Setting",1
2020-06-21,"Long Term Care Facilities",1
2020-06-22,"Congregate Setting",5
2020-06-23,"Congregate Setting",2
2020-06-23,"Healthcare Setting",1
2020-06-23,"Long Term Care Facilities",2
2020-06-24,"Child Care",1
2020-06-24,"Long Term Care Facilities",3
2020-06-25,"Congregate Setting",3
2020-06-25,"Long Term Care Facilities",2
2020-06-26,"Congregate Setting",1
2020-06-27,"Congregate Setting",1
2020-06-27,"Long Term Care Facilities",1
2020-06-28,"Congregate Setting",1
2020-06-29,"College / University",1
2020-06-29,"Congregate Setting",1
2020-06-29,"Correctional Facility",2
2020-06-29,"Long Term Care Facilities",1
2020-06-30,"Long Term Care Facilities",3
2020-07-01,"Congregate Setting",1
2020-07-02,"Congregate Setting",3
2020-07-02,"Long Term Care Facilities",3
2020-07-03,"Child Care",1
2020-07-03,"Congregate Setting",1
2020-07-03,"Long Term Care Facilities",1
2020-07-04,"Congregate Setting",5
2020-07-04,K-12,1
2020-07-04,"Long Term Care Facilities",2
2020-07-05,"Long Term Care Facilities",1
2020-07-06,"Congregate Setting",7
2020-07-06,"Correctional Facility",1
2020-07-06,"Healthcare Setting",1
2020-07-06,"Long Term Care Facilities",3
2020-07-07,"Child Care",2
2020-07-07,"Congregate Setting",2
2020-07-07,"Correctional Facility",1
2020-07-07,"Long Term Care Facilities",5
2020-07-08,"Congregate Setting",1
2020-07-08,"Healthcare Setting",1
2020-07-08,"Long Term Care Facilities",3
2020-07-09,"Child Care",2
2020-07-09,"Congregate Setting",3
2020-07-09,"Correctional Facility",1
2020-07-09,"Long Term Care Facilities",1
2020-07-10,"Congregate Setting",5
2020-07-10,"Long Term Care Facilities",3
2020-07-11,"Correctional Facility",1
2020-07-11,"Long Term Care Facilities",2
2020-07-12,"Long Term Care Facilities",2
2020-07-13,"Congregate Setting",4
2020-07-13,"Correctional Facility",1
2020-07-13,"Long Term Care Facilities",3
2020-07-14,"Congregate Setting",1
2020-07-14,"Healthcare Setting",2
2020-07-14,"Long Term Care Facilities",2
2020-07-15,"Child Care",1
2020-07-15,"Congregate Setting",1
2020-07-15,"Healthcare Setting",1
2020-07-15,"Long Term Care Facilities",5
2020-07-16,"Child Care",1
2020-07-16,"Healthcare Setting",1
2020-07-16,"Long Term Care Facilities",4
2020-07-17,"Congregate Setting",2
2020-07-17,"Healthcare Setting",1
2020-07-17,"Long Term Care Facilities",4
2020-07-18,"Congregate Setting",1
2020-07-19,"Long Term Care Facilities",1
2020-07-20,"Child Care",1
2020-07-20,"Congregate Setting",3
2020-07-20,"Correctional Facility",3
2020-07-20,"Healthcare Setting",2
2020-07-20,"Long Term Care Facilities",1
2020-07-21,"Congregate Setting",2
2020-07-21,"Long Term Care Facilities",3
2020-07-22,"Child Care",1
2020-07-22,"Congregate Setting",9
2020-07-22,"Correctional Facility",1
2020-07-22,"Long Term Care Facilities",8
2020-07-23,"Congregate Setting",3
2020-07-23,"Healthcare Setting",1
2020-07-23,"Long Term Care Facilities",1
2020-07-24,"Child Care",1
2020-07-24,"Congregate Setting",8
2020-07-24,"Healthcare Setting",1
2020-07-24,"Long Term Care Facilities",3
2020-07-25,"Correctional Facility",1
2020-07-26,"Congregate Setting",3
2020-07-26,"Healthcare Setting",1
2020-07-27,"Congregate Setting",1
2020-07-27,"Correctional Facility",1
2020-07-27,"Long Term Care Facilities",3
2020-07-28,"Congregate Setting",4
2020-07-28,K-12,1
2020-07-28,"Long Term Care Facilities",1
2020-07-29,"Child Care",1
2020-07-29,"Congregate Setting",2
2020-07-29,"Long Term Care Facilities",5
2020-07-30,"Congregate Setting",5
2020-07-30,"Long Term Care Facilities",1
2020-07-31,"Congregate Setting",2
2020-07-31,"Correctional Facility",1
2020-07-31,"Healthcare Setting",1
2020-07-31,"Long Term Care Facilities",2
2020-08-01,"Healthcare Setting",1
2020-08-03,"Congregate Setting",4
2020-08-03,"Healthcare Setting",1
2020-08-03,"Long Term Care Facilities",1
2020-08-04,"Child Care",2
2020-08-04,"Congregate Setting",5
2020-08-04,K-12,1
2020-08-04,"Long Term Care Facilities",2
2020-08-05,"Congregate Setting",1
2020-08-05,"Long Term Care Facilities",4
2020-08-06,"Child Care",1
2020-08-06,"College / University",1
2020-08-06,"Congregate Setting",5
2020-08-06,"Healthcare Setting",1
2020-08-06,K-12,1
2020-08-06,"Long Term Care Facilities",3
2020-08-07,"Child Care",1
2020-08-07,"Congregate Setting",1
2020-08-08,"Long Term Care Facilities",1
2020-08-09,"Congregate Setting",1
2020-08-09,"Long Term Care Facilities",2
2020-08-10,"Congregate Setting",4
2020-08-10,"Correctional Facility",1
2020-08-10,"Healthcare Setting",1
2020-08-10,K-12,1
2020-08-10,"Long Term Care Facilities",8
2020-08-11,"Child Care",2
2020-08-11,"Congregate Setting",4
2020-08-11,"Long Term Care Facilities",3
2020-08-12,"Congregate Setting",2
2020-08-12,"Long Term Care Facilities",4
2020-08-13,"Child Care",1
2020-08-13,"Congregate Setting",4
2020-08-13,"Correctional Facility",1
2020-08-13,"Healthcare Setting",1
2020-08-13,"Long Term Care Facilities",2
2020-08-14,"Congregate Setting",4
2020-08-14,"Correctional Facility",2
2020-08-14,"Long Term Care Facilities",5
2020-08-15,"Congregate Setting",1
2020-08-16,K-12,1
2020-08-17,"Child Care",1
2020-08-17,"Correctional Facility",2
2020-08-17,"Healthcare Setting",1
2020-08-17,"Long Term Care Facilities",8
2020-08-18,"Child Care",1
2020-08-18,"Congregate Setting",6
2020-08-18,"Correctional Facility",1
2020-08-18,"Long Term Care Facilities",4
2020-08-19,"Child Care",1
2020-08-19,"College / University",1
2020-08-19,"Congregate Setting",6
2020-08-19,"Correctional Facility",1
2020-08-19,"Healthcare Setting",1
2020-08-19,"Long Term Care Facilities",1
2020-08-20,"Congregate Setting",4
2020-08-20,"Healthcare Setting",1
2020-08-20,"Long Term Care Facilities",2
2020-08-21,"Child Care",1
2020-08-21,"College / University",1
2020-08-21,"Congregate Setting",1
2020-08-21,"Healthcare Setting",1
2020-08-21,"Long Term Care Facilities",2
2020-08-22,"Healthcare Setting",1
2020-08-22,"Long Term Care Facilities",2
2020-08-23,"Congregate Setting",2
2020-08-23,"Long Term Care Facilities",1
2020-08-24,"College / University",1
2020-08-24,"Congregate Setting",4
2020-08-24,"Correctional Facility",1
2020-08-24,"Healthcare Setting",1
2020-08-24,"Long Term Care Facilities",3
2020-08-25,"Congregate Setting",2
2020-08-25,K-12,1
2020-08-25,"Long Term Care Facilities",2
2020-08-26,"Child Care",2
2020-08-26,"College / University",1
2020-08-26,"Congregate Setting",5
2020-08-26,"Long Term Care Facilities",2
2020-08-27,"College / University",1
2020-08-27,"Healthcare Setting",1
2020-08-27,"Long Term Care Facilities",3
2020-08-28,"Congregate Setting",3
2020-08-28,"Correctional Facility",1
2020-08-28,K-12,2
2020-08-28,"Long Term Care Facilities",1
2020-08-29,"Congregate Setting",2
2020-08-29,"Healthcare Setting",1
2020-08-30,"Congregate Setting",1
2020-08-30,"Long Term Care Facilities",2
2020-08-31,"College / University",1
2020-08-31,"Congregate Setting",3
2020-09-01,"Child Care",1
2020-09-01,"Congregate Setting",1
2020-09-01,"Correctional Facility",1
2020-09-01,"Long Term Care Facilities",3
2020-09-02,"Congregate Setting",8
2020-09-02,"Long Term Care Facilities",3
2020-09-03,"College / University",1
2020-09-03,"Congregate Setting",2
2020-09-03,"Correctional Facility",1
2020-09-03,"Long Term Care Facilities",1
2020-09-04,"College / University",3
2020-09-04,"Congregate Setting",7
2020-09-04,K-12,1
2020-09-04,"Long Term Care Facilities",6
2020-09-05,"Congregate Setting",1
2020-09-05,"Long Term Care Facilities",2
2020-09-06,"Correctional Facility",1
2020-09-06,"Long Term Care Facilities",1
2020-09-07,"Child Care",1
2020-09-07,"College / University",1
2020-09-07,"Congregate Setting",1
2020-09-07,K-12,1
2020-09-08,"College / University",1
2020-09-08,"Congregate Setting",5
2020-09-08,"Long Term Care Facilities",1
2020-09-09,"Congregate Setting",1
2020-09-09,"Healthcare Setting",1
2020-09-09,"Long Term Care Facilities",1
2020-09-10,"Congregate Setting",4
2020-09-10,"Healthcare Setting",1
2020-09-10,K-12,1
2020-09-10,"Long Term Care Facilities",2
2020-09-11,"Child Care",2
2020-09-11,"Congregate Setting",4
2020-09-11,"Correctional Facility",1
2020-09-11,K-12,2
2020-09-11,"Long Term Care Facilities",3
2020-09-12,"Congregate Setting",1
2020-09-12,K-12,1
2020-09-13,"Congregate Setting",3
2020-09-14,"Child Care",2
2020-09-14,"Congregate Setting",3
2020-09-14,"Healthcare Setting",2
2020-09-14,K-12,2
2020-09-14,"Long Term Care Facilities",2
2020-09-15,"Congregate Setting",5
2020-09-15,"Correctional Facility",3
2020-09-15,K-12,1
2020-09-15,"Long Term Care Facilities",3
2020-09-16,"College / University",1
2020-09-16,"Congregate Setting",1
2020-09-16,"Healthcare Setting",1
2020-09-17,"College / University",1
2020-09-17,"Congregate Setting",4
2020-09-17,"Healthcare Setting",1
2020-09-17,K-12,1
2020-09-18,"Child Care",1
2020-09-18,"Congregate Setting",5
2020-09-18,"Correctional Facility",1
2020-09-18,"Healthcare Setting",1
2020-09-18,K-12,3
2020-09-18,"Long Term Care Facilities",2
2020-09-19,"College / University",1
2020-09-20,"Long Term Care Facilities",2
2020-09-21,"College / University",1
2020-09-21,"Congregate Setting",2
2020-09-21,"Healthcare Setting",1
2020-09-21,"Long Term Care Facilities",1
2020-09-22,"Congregate Setting",5
2020-09-22,"Correctional Facility",1
2020-09-22,"Healthcare Setting",1
2020-09-22,K-12,2
2020-09-23,"College / University",1
2020-09-23,"Congregate Setting",1
2020-09-24,K-12,1
2020-09-24,"Long Term Care Facilities",1
