"Date VDH Notified","Facility Type Group","Number of Outbreaks"
2020-05-02,"Long Term Care Facilities",4
2020-05-03,"Congregate Setting",3
2020-05-03,"Long Term Care Facilities",2
2020-05-04,"Congregate Setting",1
2020-05-04,"Long Term Care Facilities",5
2020-05-05,"Congregate Setting",3
2020-05-05,"Long Term Care Facilities",3
2020-05-06,"Congregate Setting",2
2020-05-06,"Long Term Care Facilities",4
2020-05-07,"Congregate Setting",4
2020-05-07,"Healthcare Setting",1
2020-05-08,"Long Term Care Facilities",1
2020-05-09,"Correctional Facility",1
2020-05-09,"Long Term Care Facilities",5
2020-05-10,"Long Term Care Facilities",3
2020-05-11,"Congregate Setting",1
2020-05-11,"Long Term Care Facilities",3
2020-05-12,"Congregate Setting",3
2020-05-12,"Long Term Care Facilities",6
2020-05-13,"Congregate Setting",1
2020-05-13,"Correctional Facility",1
2020-05-13,"Long Term Care Facilities",1
2020-05-14,"Congregate Setting",3
2020-05-14,"Long Term Care Facilities",4
2020-05-15,"Congregate Setting",1
2020-05-15,"Correctional Facility",1
2020-05-15,"Educational Setting",1
2020-05-15,"Long Term Care Facilities",3
2020-05-16,"Long Term Care Facilities",2
2020-05-17,"Congregate Setting",1
2020-05-17,"Long Term Care Facilities",1
2020-05-18,"Congregate Setting",1
2020-05-18,"Correctional Facility",1
2020-05-18,"Long Term Care Facilities",2
2020-05-19,"Congregate Setting",2
2020-05-19,"Correctional Facility",1
2020-05-19,"Long Term Care Facilities",2
2020-05-20,"Congregate Setting",2
2020-05-20,"Long Term Care Facilities",2
2020-05-21,"Congregate Setting",2
2020-05-21,"Long Term Care Facilities",2
2020-05-22,"Educational Setting",1
2020-05-22,"Long Term Care Facilities",1
2020-05-23,"Correctional Facility",1
2020-05-23,"Long Term Care Facilities",1
2020-05-24,"Long Term Care Facilities",1
2020-05-25,"Congregate Setting",3
2020-05-25,"Healthcare Setting",1
2020-05-25,"Long Term Care Facilities",1
2020-05-26,"Congregate Setting",3
2020-05-26,"Long Term Care Facilities",1
2020-05-27,"Congregate Setting",4
2020-05-27,"Educational Setting",1
2020-05-27,"Long Term Care Facilities",6
2020-05-28,"Healthcare Setting",1
2020-05-28,"Long Term Care Facilities",5
2020-05-29,"Congregate Setting",1
2020-05-29,"Long Term Care Facilities",3
2020-05-30,"Congregate Setting",1
2020-05-30,"Long Term Care Facilities",2
2020-06-01,"Congregate Setting",1
2020-06-01,"Correctional Facility",1
2020-06-01,"Educational Setting",1
2020-06-01,"Healthcare Setting",1
2020-06-02,"Congregate Setting",5
2020-06-02,"Correctional Facility",2
2020-06-02,"Healthcare Setting",2
2020-06-02,"Long Term Care Facilities",4
2020-06-03,"Congregate Setting",1
2020-06-03,"Correctional Facility",1
2020-06-03,"Long Term Care Facilities",3
2020-06-04,"Congregate Setting",3
2020-06-04,"Correctional Facility",1
2020-06-04,"Long Term Care Facilities",5
2020-06-05,"Congregate Setting",1
2020-06-05,"Long Term Care Facilities",2
2020-06-08,"Congregate Setting",5
2020-06-08,"Correctional Facility",1
2020-06-08,"Long Term Care Facilities",1
2020-06-09,"Congregate Setting",2
2020-06-09,"Healthcare Setting",1
2020-06-09,"Long Term Care Facilities",1
2020-06-10,"Congregate Setting",2
2020-06-10,"Correctional Facility",1
2020-06-10,"Educational Setting",1
2020-06-11,"Congregate Setting",2
2020-06-15,"Congregate Setting",2
2020-06-15,"Long Term Care Facilities",4
2020-06-16,"Congregate Setting",1
2020-06-16,"Healthcare Setting",1
2020-06-17,"Congregate Setting",1
2020-06-17,"Correctional Facility",1
2020-06-18,"Congregate Setting",3
2020-06-18,"Healthcare Setting",1
2020-06-18,"Long Term Care Facilities",1
2020-06-19,"Healthcare Setting",1
2020-06-20,"Long Term Care Facilities",1
2020-06-21,"Congregate Setting",1
2020-06-21,"Long Term Care Facilities",1
2020-06-22,"Congregate Setting",5
2020-06-23,"Congregate Setting",2
2020-06-23,"Healthcare Setting",1
2020-06-23,"Long Term Care Facilities",2
2020-06-24,"Educational Setting",1
2020-06-24,"Long Term Care Facilities",3
2020-06-25,"Congregate Setting",3
2020-06-25,"Long Term Care Facilities",2
2020-06-26,"Congregate Setting",1
2020-06-27,"Congregate Setting",1
2020-06-27,"Long Term Care Facilities",1
2020-06-28,"Congregate Setting",1
2020-06-29,"Congregate Setting",1
2020-06-29,"Correctional Facility",2
2020-06-29,"Educational Setting",1
2020-06-29,"Long Term Care Facilities",1
2020-06-30,"Long Term Care Facilities",3
2020-07-01,"Congregate Setting",1
2020-07-02,"Congregate Setting",3
2020-07-02,"Long Term Care Facilities",3
2020-07-03,"Congregate Setting",1
2020-07-03,"Educational Setting",1
2020-07-03,"Long Term Care Facilities",1
2020-07-04,"Congregate Setting",5
2020-07-04,"Educational Setting",1
2020-07-04,"Long Term Care Facilities",2
2020-07-05,"Long Term Care Facilities",1
2020-07-06,"Congregate Setting",7
2020-07-06,"Correctional Facility",1
2020-07-06,"Healthcare Setting",1
2020-07-06,"Long Term Care Facilities",3
2020-07-07,"Congregate Setting",2
2020-07-07,"Correctional Facility",1
2020-07-07,"Educational Setting",2
2020-07-07,"Long Term Care Facilities",5
2020-07-08,"Congregate Setting",1
2020-07-08,"Healthcare Setting",1
2020-07-08,"Long Term Care Facilities",3
2020-07-09,"Congregate Setting",3
2020-07-09,"Correctional Facility",1
2020-07-09,"Educational Setting",2
2020-07-09,"Long Term Care Facilities",1
2020-07-10,"Congregate Setting",5
2020-07-10,"Long Term Care Facilities",3
2020-07-11,"Correctional Facility",1
2020-07-11,"Long Term Care Facilities",2
2020-07-12,"Long Term Care Facilities",2
2020-07-13,"Congregate Setting",4
2020-07-13,"Correctional Facility",1
2020-07-13,"Long Term Care Facilities",3
2020-07-14,"Congregate Setting",1
2020-07-14,"Healthcare Setting",2
2020-07-14,"Long Term Care Facilities",2
2020-07-15,"Congregate Setting",1
2020-07-15,"Educational Setting",1
2020-07-15,"Healthcare Setting",1
2020-07-15,"Long Term Care Facilities",5
2020-07-16,"Educational Setting",1
2020-07-16,"Healthcare Setting",1
2020-07-16,"Long Term Care Facilities",4
2020-07-17,"Congregate Setting",2
2020-07-17,"Healthcare Setting",1
2020-07-17,"Long Term Care Facilities",4
2020-07-18,"Congregate Setting",1
2020-07-19,"Long Term Care Facilities",1
2020-07-20,"Congregate Setting",3
2020-07-20,"Correctional Facility",3
2020-07-20,"Educational Setting",1
2020-07-20,"Healthcare Setting",2
2020-07-20,"Long Term Care Facilities",1
2020-07-21,"Congregate Setting",2
2020-07-21,"Long Term Care Facilities",3
2020-07-22,"Congregate Setting",9
2020-07-22,"Correctional Facility",1
2020-07-22,"Educational Setting",1
2020-07-22,"Long Term Care Facilities",8
2020-07-23,"Congregate Setting",2
2020-07-23,"Healthcare Setting",1
2020-07-23,"Long Term Care Facilities",1
2020-07-24,"Congregate Setting",4
2020-07-24,"Educational Setting",1
2020-07-24,"Healthcare Setting",1
2020-07-24,"Long Term Care Facilities",3
2020-07-25,"Correctional Facility",1
2020-07-27,"Correctional Facility",1
2020-07-27,"Long Term Care Facilities",2
2020-07-28,"Congregate Setting",4
2020-07-28,"Educational Setting",1
2020-07-28,"Long Term Care Facilities",1
2020-07-29,"Congregate Setting",1
2020-07-29,"Long Term Care Facilities",4
