"Date VDH Notified","Facility Type Group","Number of Outbreaks"
6/8/2020,"Congregate Setting",5
6/8/2020,"Correctional Facility",1
6/8/2020,"Long Term Care Facilities",1
6/5/2020,"Congregate Setting",1
6/5/2020,"Long Term Care Facilities",2
6/4/2020,"Congregate Setting",3
6/4/2020,"Correctional Facility",1
6/4/2020,"Long Term Care Facilities",5
6/3/2020,"Congregate Setting",1
6/3/2020,"Correctional Facility",1
6/3/2020,"Long Term Care Facilities",3
6/2/2020,"Congregate Setting",5
6/2/2020,"Correctional Facility",2
6/2/2020,"Healthcare Setting",2
6/2/2020,"Long Term Care Facilities",4
6/1/2020,"Congregate Setting",1
6/1/2020,"Correctional Facility",1
6/1/2020,"Educational Setting",1
6/1/2020,"Healthcare Setting",1
5/30/2020,"Congregate Setting",1
5/30/2020,"Long Term Care Facilities",2
5/29/2020,"Congregate Setting",1
5/29/2020,"Long Term Care Facilities",3
5/28/2020,"Healthcare Setting",1
5/28/2020,"Long Term Care Facilities",5
5/27/2020,"Congregate Setting",4
5/27/2020,"Educational Setting",1
5/27/2020,"Long Term Care Facilities",6
5/26/2020,"Congregate Setting",3
5/26/2020,"Long Term Care Facilities",1
5/25/2020,"Congregate Setting",3
5/25/2020,"Healthcare Setting",1
5/25/2020,"Long Term Care Facilities",1
5/24/2020,"Long Term Care Facilities",1
5/23/2020,"Correctional Facility",1
5/23/2020,"Long Term Care Facilities",1
5/22/2020,"Educational Setting",1
5/22/2020,"Long Term Care Facilities",1
5/21/2020,"Congregate Setting",2
5/21/2020,"Long Term Care Facilities",2
5/20/2020,"Congregate Setting",2
5/20/2020,"Long Term Care Facilities",2
5/19/2020,"Congregate Setting",2
5/19/2020,"Correctional Facility",1
5/19/2020,"Long Term Care Facilities",2
5/18/2020,"Congregate Setting",1
5/18/2020,"Correctional Facility",1
5/18/2020,"Long Term Care Facilities",2
5/17/2020,"Congregate Setting",1
5/17/2020,"Long Term Care Facilities",1
5/16/2020,"Long Term Care Facilities",2
5/15/2020,"Congregate Setting",1
5/15/2020,"Correctional Facility",1
5/15/2020,"Educational Setting",1
5/15/2020,"Long Term Care Facilities",3
5/14/2020,"Congregate Setting",3
5/14/2020,"Long Term Care Facilities",4
5/13/2020,"Congregate Setting",1
5/13/2020,"Correctional Facility",1
5/13/2020,"Long Term Care Facilities",1
5/12/2020,"Congregate Setting",3
5/12/2020,"Long Term Care Facilities",6
5/11/2020,"Congregate Setting",1
5/11/2020,"Long Term Care Facilities",3
5/10/2020,"Long Term Care Facilities",3
5/9/2020,"Correctional Facility",1
5/9/2020,"Long Term Care Facilities",5
5/8/2020,"Long Term Care Facilities",1
5/7/2020,"Congregate Setting",4
5/7/2020,"Healthcare Setting",1
5/6/2020,"Congregate Setting",2
5/6/2020,"Long Term Care Facilities",4
5/5/2020,"Congregate Setting",3
5/5/2020,"Long Term Care Facilities",3
5/4/2020,"Congregate Setting",1
5/4/2020,"Long Term Care Facilities",5
5/3/2020,"Congregate Setting",3
5/3/2020,"Long Term Care Facilities",2
5/2/2020,"Congregate Setting",1
5/2/2020,"Long Term Care Facilities",4
5/1/2020,"Congregate Setting",2
5/1/2020,"Correctional Facility",1
5/1/2020,"Healthcare Setting",1
5/1/2020,"Long Term Care Facilities",2
4/30/2020,"Healthcare Setting",1
4/30/2020,"Long Term Care Facilities",8
4/29/2020,"Congregate Setting",3
4/29/2020,"Correctional Facility",2
4/29/2020,"Long Term Care Facilities",5
4/28/2020,"Long Term Care Facilities",2
4/27/2020,"Long Term Care Facilities",1
4/26/2020,"Correctional Facility",1
4/24/2020,"Congregate Setting",2
4/24/2020,"Long Term Care Facilities",10
4/23/2020,"Congregate Setting",3
4/23/2020,"Correctional Facility",1
4/23/2020,"Educational Setting",1
4/23/2020,"Healthcare Setting",1
4/23/2020,"Long Term Care Facilities",7
4/22/2020,"Correctional Facility",1
4/22/2020,"Long Term Care Facilities",4
4/21/2020,"Congregate Setting",1
4/21/2020,"Long Term Care Facilities",4
4/20/2020,"Congregate Setting",2
4/20/2020,"Healthcare Setting",1
4/20/2020,"Long Term Care Facilities",2
4/19/2020,"Correctional Facility",1
4/19/2020,"Long Term Care Facilities",2
4/18/2020,"Congregate Setting",8
4/18/2020,"Correctional Facility",1
4/18/2020,"Educational Setting",1
4/18/2020,"Long Term Care Facilities",4
4/17/2020,"Congregate Setting",5
4/17/2020,"Healthcare Setting",1
4/17/2020,"Long Term Care Facilities",11
4/16/2020,"Congregate Setting",2
4/16/2020,"Correctional Facility",2
4/16/2020,"Healthcare Setting",1
4/16/2020,"Long Term Care Facilities",4
4/15/2020,"Long Term Care Facilities",4
4/14/2020,"Congregate Setting",5
4/14/2020,"Healthcare Setting",1
4/14/2020,"Long Term Care Facilities",2
4/13/2020,"Congregate Setting",2
4/13/2020,"Long Term Care Facilities",2
4/12/2020,"Congregate Setting",1
4/12/2020,"Long Term Care Facilities",1
4/11/2020,"Educational Setting",1
4/11/2020,"Long Term Care Facilities",3
4/10/2020,"Congregate Setting",2
4/10/2020,"Correctional Facility",2
4/10/2020,"Educational Setting",1
4/10/2020,"Healthcare Setting",3
4/10/2020,"Long Term Care Facilities",3
4/9/2020,"Long Term Care Facilities",11
4/8/2020,"Congregate Setting",1
4/8/2020,"Healthcare Setting",1
4/8/2020,"Long Term Care Facilities",8
4/7/2020,"Congregate Setting",1
4/7/2020,"Long Term Care Facilities",4
4/6/2020,"Correctional Facility",3
4/6/2020,"Long Term Care Facilities",3
4/5/2020,"Long Term Care Facilities",3
4/4/2020,"Correctional Facility",1
4/4/2020,"Long Term Care Facilities",2
4/3/2020,"Congregate Setting",3
4/3/2020,"Correctional Facility",2
4/3/2020,"Long Term Care Facilities",4
4/2/2020,"Healthcare Setting",3
4/2/2020,"Long Term Care Facilities",1
4/1/2020,"Correctional Facility",1
4/1/2020,"Healthcare Setting",2
4/1/2020,"Long Term Care Facilities",2
3/31/2020,"Congregate Setting",1
3/31/2020,"Healthcare Setting",1
3/31/2020,"Long Term Care Facilities",4
3/30/2020,"Correctional Facility",1
3/30/2020,"Long Term Care Facilities",2
3/29/2020,"Healthcare Setting",1
3/29/2020,"Long Term Care Facilities",1
3/28/2020,"Healthcare Setting",3
3/28/2020,"Long Term Care Facilities",6
3/27/2020,"Congregate Setting",1
3/27/2020,"Long Term Care Facilities",1
3/26/2020,"Congregate Setting",1
3/26/2020,"Healthcare Setting",1
3/25/2020,"Congregate Setting",1
3/23/2020,"Congregate Setting",1
3/23/2020,"Educational Setting",1
3/20/2020,"Congregate Setting",1
3/20/2020,"Long Term Care Facilities",1
3/18/2020,"Long Term Care Facilities",1
3/17/2020,"Congregate Setting",1
3/17/2020,"Long Term Care Facilities",2
3/16/2020,"Congregate Setting",1
3/16/2020,"Educational Setting",1
3/13/2020,"Congregate Setting",1
3/10/2020,"Congregate Setting",1
3/10/2020,"Educational Setting",1
