one_week_supply_of_eye,laboratory_type_is_other,residents_total_admissions,staff_weekly_suspected_covid,shortage_of_nursing_staff,total_resident_covid_19_deaths_per_1_000_residents,total_number_of_occupied,residents_weekly_all_deaths,any_current_supply_of_n95,submitted_data,ventilator_dependent_unit,number_of_ventilators_in,laboratory_type_is_state,shortage_of_other_staff,any_current_supply_of_gowns,residents_weekly_confirmed,any_current_supply_of,staff_total_covid_19_deaths,residents_weekly_covid_19,staff_total_suspected_covid,one_week_supply_of_surgical,one_week_supply_of_gowns,any_current_supply_of_hand,total_resident_confirmed_covid_19_cases_per_1_000_residents,provider_name,laboratory_type_is_private,initial_confirmed_covid_19_case_this_week,resident_access_to_testing,any_current_supply_of_surgical,county,passed_quality_assurance,staff_weekly_confirmed_covid,one_week_supply_of_hand,residents_total_covid_19,staff_weekly_covid_19_deaths,provider_address,three_or_more_confirmed_and_suspected_covid_19_cases_this_week,provider_zip_code,any_current_supply_of_gloves,federal_provider_number,number_of_all_beds,residents_total_suspected,residents_weekly_suspected,residents_weekly_admissions,staff_total_confirmed_covid,one_week_supply_of_gloves,residents_total_all_deaths,provider_state,shortage_of_clinical_staff,number_of_ventilators_in_1,any_current_supply_of_eye,shortage_of_aides,one_week_supply_of_ventilator,residents_total_confirmed,one_week_supply_of_n95_masks,week_ending,total_residents_covid_19_deaths_as_a_percentage_of_confirmed_covid_19_cases,provider_city
Y,N,0,0,N,0.0,73,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,GOODWIN HOUSE ALEXANDRIA,Y,N,Y,Y,Alexandria City,Y,0,Y,0,0,4800 FILLMORE AVE,N,22311,Y,495057,80,0,0,0,3,Y,0,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,ALEXANDRIA
Y,N,10,0,N,0.0,18,0,Y,Y,N,,Y,N,Y,0,,0,0,1,Y,Y,Y,55.6,THE FOUNTAINS AT WASHINGTON HOUSE,N,N,Y,Y,Alexandria City,Y,0,Y,0,0,5100 FILLMORE AVENUE,N,22311,Y,495288,54,0,0,1,4,Y,0,VA,N,,Y,N,,1,N,2020/07/05 00:00:00,0.0,ALEXANDRIA
Y,N,1,1,N,50.0,100,1,Y,Y,N,,Y,N,Y,0,,0,0,7,Y,Y,Y,240.0,THE LAURELS OF WILLOW CREEK,Y,N,Y,Y,Chesterfield,Y,0,Y,5,0,11611 ROBIOUS ROAD,N,23113,Y,495257,,15,2,0,15,Y,20,VA,N,,Y,Y,,24,Y,2020/07/26 00:00:00,20.8,MIDLOTHIAN
Y,Y,10,0,N,64.5,124,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,661.3,CHERRYDALE HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Arlington,Y,0,N,8,0,3710 LEE HIGHWAY,N,22207,Y,495121,180,14,0,0,25,Y,13,VA,N,,Y,N,,82,Y,2020/07/12 00:00:00,9.8,ARLINGTON
Y,Y,0,0,N,0.0,206,0,Y,Y,N,,Y,N,Y,0,,0,0,3,N,N,Y,0.0,SALEM HEALTH & REHABILITATION,Y,N,Y,Y,Salem City,Y,0,Y,0,0,1945 ROANOKE BLVD,Y,24153,Y,495087,240,7,4,0,0,Y,4,VA,N,,Y,N,,0,N,2020/06/07 00:00:00,,SALEM
Y,N,0,0,N,0.0,51,0,Y,Y,N,,N,N,Y,0,,0,0,3,Y,Y,Y,0.0,WAYLAND NURSING AND REHABILITATION CENTER,Y,N,Y,Y,Charlotte,Y,0,Y,0,0,730 LUNENBURG HIGHW,N,23947,Y,495226,90,0,0,0,1,Y,0,VA,N,,Y,N,,0,Y,2020/06/28 00:00:00,,KEYSVILLE
Y,Y,0,0,N,0.0,106,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,FREDERICKSBURG HEALTH AND REHAB,N,N,Y,Y,Spotsylvania,Y,0,Y,0,0,3900 PLANK ROAD,N,22407,Y,495240,140,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,FREDERICKSBURG
Y,N,0,0,N,0.0,14,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,COLONNADES HEALTH CARE CENTER,Y,N,Y,Y,Albermarle,Y,0,Y,0,0,100 COLONNADES HILL DRIVE,N,22901,Y,495254,30,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,CHARLOTTESVILLE
N,N,0,17,N,0.0,83,2,Y,Y,N,,Y,Y,Y,0,,0,0,17,Y,Y,Y,0.0,FRANCIS MARION MANOR HEALTH & REHABILITATION,Y,N,Y,Y,Smyth,Y,1,Y,0,0,"100 FRANCIS MARION LANE, PO BOX 880",N,24354,Y,495384,109,0,0,0,1,Y,6,VA,N,,Y,Y,,0,N,2020/06/21 00:00:00,,MARION
Y,Y,2,0,N,0.0,90,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,CHARLOTTESVILLE HEALTH & REHABILITATION CENTER,Y,N,Y,Y,Albermarle,Y,0,Y,0,0,505 WEST RIO ROAD,N,22901,Y,495178,105,0,0,0,0,Y,2,VA,N,,Y,N,,0,Y,2020/06/28 00:00:00,,CHARLOTTESVILLE
Y,N,0,0,N,0.0,134,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,CEDARS HEALTHCARE CENTER,Y,N,Y,Y,Charlottesville City,Y,0,Y,0,0,1242 CEDARS CT,N,22903,Y,495153,141,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,CHARLOTTESVILLE
Y,N,0,0,N,0.0,75,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,26.7,CONSULATE HEALTHCARE OF WILLIAMSBURG,N,N,Y,Y,James City,Y,0,Y,0,0,1811 JAMESTOWN ROAD,N,23185,Y,495190,90,7,0,0,0,Y,0,VA,N,,Y,Y,,2,Y,2020/06/28 00:00:00,0.0,WILLIAMSBURG
Y,N,0,0,N,0.0,105,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,RIVERSIDE REHABILITATION CENTER AT HAMPTON,Y,N,Y,Y,Hampton City,Y,0,Y,0,0,414 ALGONQUIN RD,N,23661,Y,495308,130,0,0,0,0,Y,2,VA,N,,Y,N,,0,Y,2020/06/21 00:00:00,,HAMPTON
Y,N,0,0,Y,0.0,46,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,SENTARA NURSING CENTER HAMPTON,N,N,Y,Y,Hampton City,Y,0,Y,0,0,2230 EXECUTIVE DRIVE,N,23666,Y,495287,86,0,0,0,0,Y,0,VA,N,,Y,Y,,0,Y,2020/07/12 00:00:00,,HAMPTON
Y,N,5,0,N,59.3,118,1,Y,Y,N,,Y,N,Y,0,,0,1,8,Y,Y,Y,254.2,WESTPORT REHABILITATION AND NURSING CENTER,Y,N,Y,Y,Henrico,Y,2,Y,7,0,7300 FOREST AVE,N,23226,Y,495227,225,18,0,0,11,Y,24,VA,N,,Y,N,,30,Y,2020/07/05 00:00:00,23.3,RICHMOND
Y,N,0,4,N,0.0,126,3,Y,Y,N,,Y,N,Y,0,,0,0,4,Y,Y,Y,0.0,DOGWOOD VILLAGE OF ORANGE COUNTY HEALTH AND REHAB,N,,Y,Y,Orange,Y,1,Y,0,0,120 DOGWOOD LANE,,22960,Y,495359,164,5,5,0,1,Y,3,VA,N,,Y,N,,0,N,2020/05/24 00:00:00,,ORANGE
Y,N,0,7,N,0.0,53,0,Y,Y,N,,N,N,Y,0,,0,0,16,Y,Y,Y,0.0,OUR LADY OF THE VALLEY,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,650 NORTH JEFFERSON STREET,N,24016,Y,495357,70,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,ROANOKE
Y,N,8,1,Y,61.0,82,0,Y,Y,N,,N,N,Y,1,,0,0,1,Y,Y,Y,48.8,ACCORDIUS HEALTH AT EMPORIA,Y,N,Y,Y,Emporia City,Y,0,Y,5,0,200 WEAVER AVENUE,N,23847,Y,495375,120,12,0,1,2,Y,5,VA,N,,Y,Y,,4,Y,2020/05/31 00:00:00,125.0,EMPORIA
Y,N,0,0,N,0.0,142,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,HERITAGE HALL TAZEWELL,N,N,N,Y,Tazewell,Y,0,Y,0,0,282 BEN BOLT AVENUE,N,24651,Y,495152,180,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,TAZEWELL
Y,N,0,0,N,0.0,35,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,MOUNTAIN VIEW NURSING HOME,N,N,Y,Y,Madison,Y,0,Y,0,0,1776 ELLY ROAD,N,22709,Y,49E050,40,0,0,0,0,Y,1,VA,N,,Y,N,,0,Y,2020/06/21 00:00:00,,ARODA
Y,N,0,25,N,0.0,124,1,Y,Y,N,,Y,N,Y,0,,0,0,44,Y,Y,Y,0.0,HERITAGE HALL BLACKSBURG,N,N,Y,Y,Montgomery,Y,0,Y,0,0,3610 SOUTH MAIN STREET,N,24060,Y,495356,179,3,2,0,0,Y,4,VA,N,,Y,N,,0,Y,2020/06/28 00:00:00,,BLACKSBURG
Y,N,0,0,N,0.0,73,0,Y,Y,N,,Y,N,Y,0,,0,0,1,Y,Y,Y,0.0,SHENANDOAH NURSING HOME,Y,N,Y,Y,Augusta,Y,0,Y,0,0,339 WESTMINISTER DRIVE,N,22939,Y,495262,60,4,2,0,0,Y,3,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,FISHERSVILLE
Y,N,6,3,N,156.6,83,0,Y,Y,N,,Y,N,Y,0,,0,0,4,Y,Y,Y,12.0,HERITAGE HALL NASSAWADOX,N,N,Y,Y,Northampton,Y,0,Y,13,0,9468 HOSPITAL ROAD,N,23413,Y,495277,145,34,0,0,0,Y,16,VA,N,,Y,N,,1,Y,2020/07/05 00:00:00,1300.0,NASSAWADOX
Y,N,2,0,N,0.0,91,1,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,ACCORDIUS HEALTH AT RIVER POINTE LLC,Y,N,Y,Y,Virginia Beach City,Y,0,Y,0,0,4142 BONNEY ROAD,N,23452,Y,495241,138,11,0,0,2,Y,5,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,VIRGINIA BEACH
Y,N,0,0,N,0.0,95,0,Y,Y,Y,8,Y,N,Y,0,Y,0,0,0,Y,Y,Y,0.0,RIDGECREST MANOR NURSING & REHABILITATION,Y,N,Y,Y,Scott,Y,0,Y,0,0,157  ROSS CARTER BOULEVARD,N,24244,Y,495134,120,2,0,0,0,Y,0,VA,N,0,Y,N,Y,0,Y,2020/06/28 00:00:00,,DUFFIELD
N,N,4,1,N,40.0,100,0,N,Y,N,,Y,N,N,0,,0,0,12,N,N,Y,130.0,MANASSAS HEALTH AND REHAB CENTER,Y,N,Y,N,Manassas City,Y,0,Y,4,0,8575 RIXLEW LANE,N,20109,Y,495038,120,57,2,0,4,Y,7,VA,N,,N,N,,13,N,2020/07/26 00:00:00,30.8,MANASSAS
Y,N,2,0,N,12.8,78,0,Y,Y,N,,Y,Y,Y,0,,0,0,1,Y,Y,Y,51.3,AUTUMN CARE OF CHESAPEAKE,Y,N,Y,Y,Chesapeake City,Y,0,Y,1,0,715 ARGYLL ST,N,23320,Y,495256,117,2,0,0,21,Y,4,VA,N,,Y,N,,4,Y,2020/07/19 00:00:00,25.0,CHESAPEAKE
Y,N,10,0,N,193.5,124,2,Y,Y,N,,Y,N,Y,0,,0,2,8,Y,Y,Y,298.4,BIRMINGHAM GREEN,Y,N,Y,Y,Manassas City,Y,1,Y,24,0,8605 CENTREVILLE ROAD,N,20110,Y,495390,180,6,1,1,22,Y,28,VA,N,,Y,N,,37,Y,2020/06/14 00:00:00,64.9,MANASSAS
Y,N,2,0,N,0.0,126,0,Y,Y,N,,Y,N,Y,0,,0,0,84,Y,Y,Y,103.2,THE VIRGINIA HOME,Y,N,Y,Y,Richmond City,Y,0,Y,0,0,1101 HAMPTON ST,N,23220,Y,49E084,130,55,0,0,3,Y,1,VA,N,,Y,N,,13,Y,2020/05/31 00:00:00,0.0,RICHMOND
Y,N,8,0,N,171.9,64,0,Y,Y,,,N,N,Y,0,,1,0,0,Y,Y,Y,1078.1,GLENBURNIE REHAB & NURSING CENTER,Y,N,Y,Y,Henrico,Y,1,Y,11,1,1901 LIBBIE AVE,N,23226,Y,495391,125,0,0,0,13,Y,12,VA,N,,Y,N,,69,Y,2020/07/05 00:00:00,15.9,RICHMOND
Y,N,8,7,Y,0.0,74,0,Y,Y,N,,N,Y,Y,0,,0,0,52,Y,Y,Y,40.5,SENTARA NURSING CENTER VA BEAC,Y,N,Y,Y,Virginia Beach City,Y,4,Y,0,0,3750 SENTARA WAY,N,23452,Y,495270,116,7,0,0,4,Y,1,VA,N,,Y,Y,,3,Y,2020/07/26 00:00:00,0.0,VIRGINIA BEACH
Y,N,0,0,N,0.0,78,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,HERITAGE HALL VIRGINIA BEACH,N,N,N,Y,Virginia Beach City,Y,0,Y,0,0,5580 DANIEL SMITH ROAD,N,23462,Y,495234,90,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,VIRGINIA BEACH
Y,N,0,0,N,0.0,89,1,Y,Y,Y,14,N,N,Y,0,Y,0,0,3,Y,Y,Y,11.2,WATERSIDE HEALTH & REHAB CENTER,Y,N,Y,Y,Norfolk City,Y,0,Y,0,0,249  SOUTH NEWTOWN RD,N,23502,Y,495173,197,40,0,0,0,Y,1,VA,N,0,Y,N,Y,1,Y,2020/06/14 00:00:00,0.0,NORFOLK
Y,N,16,2,N,56.2,89,1,Y,Y,N,,Y,N,Y,0,,0,1,14,Y,Y,Y,573.0,"ENVOY OF WOODBRIDGE, LLC",Y,N,Y,Y,Prince William,Y,0,Y,5,0,14906 JEFFERSON DAVIS HIGHWAY,Y,22191,Y,495361,120,20,3,2,44,Y,11,VA,N,,Y,N,,51,Y,2020/06/21 00:00:00,9.8,WOODBRIDGE
Y,Y,0,0,N,90.9,77,3,Y,Y,N,,Y,N,Y,9,,0,3,24,Y,Y,Y,636.4,ACCORDIUS HEALTH AT WAVERLY,Y,N,Y,Y,Sussex,Y,21,Y,7,0,456 E MAIN ST,Y,23890,Y,495185,120,0,0,0,59,Y,7,VA,N,,Y,N,,49,Y,2020/06/07 00:00:00,14.3,WAVERLY
Y,N,3,0,N,0.0,39,1,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,THE CONVALESCENT CENTER AT PATRIOTS COLONY,Y,N,Y,Y,James City,Y,0,Y,0,0,6000 PATRIOTS COLONY DRIVE,N,23188,Y,495369,60,2,0,3,0,Y,4,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,WILLIAMSBURG
Y,N,0,0,N,0.0,74,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,WESTMINSTER-CANTERBURY ON CHESAPEAKE BAY,N,N,Y,Y,Virginia Beach City,Y,0,Y,0,0,3100 SHORE DRIVE,N,23451,Y,495127,103,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/21 00:00:00,,VIRGINIA BEACH
Y,N,2,0,N,0.0,91,1,Y,Y,N,,N,N,Y,0,,0,0,0,Y,N,Y,33.0,HERITAGE HALL KING GEORGE,Y,N,Y,Y,King George,Y,1,Y,0,0,10051 FOXES WAY,N,22485,Y,495300,130,0,0,0,8,Y,2,VA,N,,Y,N,,3,N,2020/07/26 00:00:00,0.0,KING GEORGE
Y,N,13,1,Y,95.9,73,0,Y,Y,N,,Y,N,Y,0,,0,0,6,Y,Y,Y,54.8,GREENSPRING VILLAGE,Y,N,Y,Y,Fairfax,Y,0,Y,7,0,7470 SPRING VILLAGE DR,N,22150,Y,495354,92,2,1,1,6,Y,5,VA,N,,Y,Y,,4,Y,2020/06/14 00:00:00,175.0,SPRINGFIELD
Y,N,1,4,N,0.0,55,1,Y,Y,N,,Y,N,Y,0,,0,0,21,Y,Y,Y,0.0,WESTMORELAND REHABILITATION & HEALTHCARE CENTER,Y,N,Y,Y,Westmoreland,Y,0,Y,0,0,2400 MCKINNEY BOULEVARD,N,22443,Y,495268,66,0,0,1,1,Y,15,VA,N,,Y,N,,0,N,2020/06/21 00:00:00,,COLONIAL BEACH
Y,Y,0,0,N,0.0,54,0,N,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,THE SPRINGS NURSING CENTER,N,N,Y,Y,Bath,Y,0,Y,0,0,167 SPRING STREET,N,24445,Y,495220,60,0,0,0,0,Y,1,VA,N,,Y,N,,0,N,2020/06/14 00:00:00,,HOT SPRINGS
Y,N,0,0,N,0.0,72,2,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,N,Y,0.0,SHENANDOAH VALLEY HEALTH AND REHAB,Y,,Y,Y,Buena Vista City,Y,0,Y,0,0,"3737 CATALPA AVE, PO BOX 711",,24416,Y,495168,93,0,0,0,0,Y,2,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,BUENA VISTA
Y,N,0,2,N,0.0,55,13,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,DINWIDDIE HEALTH AND REHAB CENTER,Y,,Y,Y,Petersburg City,Y,0,Y,0,0,46 DIAMOND DRIVE,,23803,Y,495398,60,5,5,0,0,Y,13,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,PETERSBURG
Y,N,0,0,N,0.0,84,1,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,SOUTHAMPTON MEMORIAL HOSP,Y,N,Y,Y,Franklin City,Y,0,Y,0,0,100 FAIRVIEW DR,N,23851,Y,495157,129,0,0,0,0,Y,3,VA,N,,Y,N,,0,Y,2020/06/21 00:00:00,,FRANKLIN
Y,N,1,0,Y,78.9,38,0,Y,Y,N,,Y,Y,Y,1,,0,0,4,Y,Y,Y,500.0,JOHNSON CNTR/FALCONS LANDING,Y,N,Y,Y,Loudoun,Y,0,Y,3,0,20535 EARHART PLACE,N,20165,Y,495312,60,2,1,0,9,Y,3,VA,Y,,Y,Y,,19,Y,2020/05/31 00:00:00,15.8,STERLING
Y,N,0,0,N,0.0,57,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,THE CARRINGTON,N,N,N,Y,Lynchburg City,Y,0,Y,0,0,2406 ATHERHOLT ROAD,N,24501,Y,495302,97,12,1,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,LYNCHBURG
Y,N,4,1,N,233.3,30,3,Y,Y,N,,Y,Y,Y,1,,0,3,6,Y,Y,Y,133.3,ASHBY PONDS INC,Y,N,Y,Y,Loudoun,Y,2,Y,7,0,21160 MAPLE BRANCH TERRACE,N,20147,Y,495416,44,0,0,1,6,Y,7,VA,N,,Y,N,,4,Y,2020/05/31 00:00:00,175.0,ASHBURN
Y,N,0,0,N,0.0,53,0,Y,Y,N,,N,N,Y,0,,0,0,2,Y,N,Y,0.0,CARRINGTON PLACE OF TAPPAHANNOCK,Y,N,Y,Y,Essex,Y,0,Y,0,0,1150 MARSH STREET,N,22560,Y,495328,60,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/14 00:00:00,,TAPPAHANNOCK
Y,N,0,0,N,0.0,4,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,AUGUSTA MEDICAL CTR SKILLED CA,Y,,Y,Y,Augusta,Y,0,Y,0,0,78 MEDICAL CENTER DRIVE,,22939,Y,495214,17,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,FISHERSVILLE
Y,N,0,1,N,0.0,56,0,Y,Y,N,,Y,N,Y,0,,0,0,3,Y,Y,Y,0.0,RIVERSIDE CONVALESCENT CNTR WE,Y,N,Y,Y,King William,Y,0,Y,0,0,2960 CHELSEA ROAD,N,23181,Y,495303,60,2,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,WEST POINT
Y,Y,0,0,N,0.0,106,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,ACCORDIUS HEALTH AT NANSEMOND POINTE LLC,Y,N,Y,Y,Suffolk City,Y,0,Y,0,0,200 WEST CONSTANCE ROAD,N,23434,Y,495247,148,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,SUFFOLK
Y,N,0,0,N,0.0,71,1,Y,Y,Y,24,Y,N,Y,0,Y,0,0,0,Y,Y,Y,0.0,ACCORDIUS HEALTH AT ROANOKE,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,324 KING GEORGE AVE SW,N,24016,Y,495156,105,0,0,0,0,Y,1,VA,N,0,Y,N,Y,0,Y,2020/06/28 00:00:00,,ROANOKE
Y,N,0,0,N,0.0,37,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,MOUNTAIN VIEW NURSING HOME,Y,N,Y,Y,Madison,Y,0,Y,0,0,1776 ELLY ROAD,N,22709,Y,49E050,40,0,0,0,0,Y,1,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,ARODA
Y,Y,0,2,N,0.0,52,2,Y,Y,N,,Y,N,Y,0,,0,0,3,Y,Y,Y,0.0,APPOMATTOX HEALTH AND REHABILITATON CENTER,Y,N,Y,Y,Appomattox,Y,0,Y,0,0,235 EVERGREEN AVE,N,24522,Y,495188,60,2,0,0,0,Y,4,VA,N,,Y,N,,0,Y,2020/06/14 00:00:00,,APPOMATTOX
Y,N,0,0,N,0.0,112,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,AUTUMN CARE OF NORFOLK,Y,N,Y,Y,Norfolk City,Y,0,Y,0,0,1401 HALSTEAD AVENUE,N,23502,Y,495253,120,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,NORFOLK
