Date,Locality,Health District,Vaccine Phase,Website
2021-01-18,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-18,King and Queen,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Appomattox,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-18,Isle of Wight,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-18,Buckingham,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Louisa,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,Mecklenburg,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-18,Lexington,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Franklin City,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-18,Dinwiddie,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Prince George,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Petersburg,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,New Kent,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-18,Newport News,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-18,Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-18,Southampton,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-18,Roanoke City,Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
2021-01-18,Warren,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-18,Franklin County,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-18,Charles City,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-18,Loudoun,Loudoun,1b,https://www.loudoun.gov/health
2021-01-18,Middlesex,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Danville,Pittsylvania-Danville,1b,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-18,Russell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-18,Charlottesville,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,King William,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Mathews,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Richmond City,Richmond,1b,https://www.vdh.virginia.gov/richmond-city/
2021-01-18,Westmoreland,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Pulaski,New River,1b,https://www.nrvroadtowellness.com/
2021-01-18,Henrico,Henrico,1b,https://henrico.us/health/
2021-01-18,Hopewell,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Caroline,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-18,Nelson,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,Powhatan,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
2021-01-18,Campbell,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-18,Hanover,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-18,Chesapeake,Chesapeake,1b,https://www.vdh.virginia.gov/chesapeake/
2021-01-18,Buchanan,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-18,Fluvanna,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,Poquoson,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-18,Fauquier,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-18,Amherst,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-18,Fredericksburg,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-18,Grayson,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Martinsville,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-18,Bristol,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Harrisonburg,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Prince Edward,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Cumberland,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Greensville,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Carroll,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Rockingham,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Montgomery,New River,1b,https://www.nrvroadtowellness.com/
2021-01-18,Chesterfield,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
2021-01-18,Manassas City,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-18,Page,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-18,Arlington,Arlington,1b,https://www.arlingtonva.us/covid-19/
2021-01-18,Bedford,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-18,Lunenburg,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Essex,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Greene,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,Washington,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Virginia Beach,Virginia Beach,1a,https://www.vdh.virginia.gov/virginia-beach/
2021-01-18,Giles,New River,1b,https://www.nrvroadtowellness.com/
2021-01-18,Clarke,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-18,Alleghany,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Gloucester,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Bland,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,York,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-18,Norfolk,Norfolk,1a,https://www.norfolk.gov/153/Public-Health
2021-01-18,Henry,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-18,Staunton,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Smyth,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Roanoke County,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Prince William,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-18,Fairfax City,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-18,Stafford,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-18,Salem,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Halifax,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-18,Sussex,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Colonial Heights,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
2021-01-18,Albemarle,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-18,Floyd,New River,1b,https://www.nrvroadtowellness.com/
2021-01-18,Nottoway,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Shenandoah,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-18,Portsmouth,Portsmouth,1a,https://www.vdh.virginia.gov/portsmouth/
2021-01-18,Alexandria,Alexandria,1b,https://www.alexandriava.gov/Health
2021-01-18,Covington,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Pittsylvania,Pittsylvania-Danville,1b,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-18,Northumberland,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Highland,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
