Report Date,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Percent of  CLI Hospitalizations,Count of CLI Visits,Geography Name,Week End Date,Geography Type,Facility Type,Count of CLI Hospitalizations
2020-07-20,0,4825,4,0,207,Eastern Region,2020-04-04,Health Region,Urgent Care,0
2020-07-20,0,20616,26,0,5418,Virginia,2020-05-23,State,Urgent Care,0
2020-07-20,50290,0,5,32,2471,Virginia,2020-06-13,State,Emergency Department,795
2020-07-20,36310,0,11,25,3821,Virginia,2020-04-11,State,Emergency Department,954
2020-07-20,47361,0,7,28,3210,Virginia,2020-05-30,State,Emergency Department,893
2020-07-20,44247,0,11,19,4955,Virginia,2020-03-28,State,Emergency Department,933
2020-07-20,0,13406,6,0,810,Virginia,2020-04-04,State,Urgent Care,0
2020-07-20,0,22685,25,0,5573,Virginia,2020-06-06,State,Urgent Care,0
2020-07-20,0,22239,8,0,1769,Virginia,2020-03-21,State,Urgent Care,0
2020-07-20,53031,0,6,26,3164,Virginia,2020-07-04,State,Emergency Department,823
2020-07-20,0,36064,7,0,2508,Virginia,2020-03-07,State,Urgent Care,0
2020-07-20,40669,0,9,23,3814,Virginia,2020-05-02,State,Emergency Department,861
2020-07-20,56347,0,7,22,4106,Virginia,2020-07-18,State,Emergency Department,899
2020-07-20,43202,0,8,27,3497,Virginia,2020-05-16,State,Emergency Department,945
2020-07-20,0,13978,12,0,1709,Virginia,2020-04-25,State,Urgent Care,0
2020-07-20,0,29741,25,0,7429,Virginia,2020-07-11,State,Urgent Care,0
2020-07-20,70189,0,7,16,4995,Virginia,2020-03-14,State,Emergency Department,804
2020-07-20,0,17013,19,0,3242,Virginia,2020-05-09,State,Urgent Care,0
2020-07-20,0,24840,24,0,6013,Virginia,2020-06-27,State,Urgent Care,0
2020-07-20,0,24260,23,0,5470,Virginia,2020-06-13,State,Urgent Care,0
2020-07-20,36383,0,9,26,3431,Virginia,2020-04-18,State,Emergency Department,907
2020-07-20,0,12870,6,0,808,Virginia,2020-04-11,State,Urgent Care,0
2020-07-20,49486,0,5,30,2462,Virginia,2020-06-20,State,Emergency Department,748
2020-07-20,0,15591,7,0,1151,Virginia,2020-03-28,State,Urgent Care,0
2020-07-20,0,34530,7,0,2569,Virginia,2020-03-14,State,Urgent Care,0
2020-07-20,47542,0,6,31,2852,Virginia,2020-06-06,State,Emergency Department,872
2020-07-20,0,22049,27,0,5871,Virginia,2020-05-30,State,Urgent Care,0
2020-07-20,55489,0,11,14,6297,Virginia,2020-03-21,State,Emergency Department,875
2020-07-20,37691,0,11,22,4182,Virginia,2020-04-04,State,Emergency Department,929
2020-07-20,0,12655,7,0,890,Virginia,2020-04-18,State,Urgent Care,0
2020-07-20,70143,0,5,23,3695,Virginia,2020-03-07,State,Emergency Department,835
2020-07-20,0,29774,25,0,7459,Virginia,2020-07-18,State,Urgent Care,0
2020-07-20,0,24590,23,0,5769,Virginia,2020-06-20,State,Urgent Care,0
2020-07-20,0,15407,15,0,2364,Virginia,2020-05-02,State,Urgent Care,0
2020-07-20,0,18557,23,0,4356,Virginia,2020-05-16,State,Urgent Care,0
2020-07-20,0,27022,23,0,6310,Virginia,2020-07-04,State,Urgent Care,0
2020-07-20,38563,0,9,24,3626,Virginia,2020-04-25,State,Emergency Department,878
2020-07-20,42323,0,9,28,3911,Virginia,2020-05-09,State,Emergency Department,1099
2020-07-20,52456,0,5,31,2691,Virginia,2020-06-27,State,Emergency Department,839
2020-07-20,45238,0,8,27,3687,Virginia,2020-05-23,State,Emergency Department,1012
2020-07-20,56824,0,7,23,3905,Virginia,2020-07-11,State,Emergency Department,887
