"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
7/20/2020,"Health District","Virginia Beach","Educational Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","Long Term Care Facilities",8,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers","Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Virginia Beach","Healthcare Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,"Correctional Facility",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Portsmouth,"Educational Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,"Congregate Setting",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers","Congregate Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Portsmouth,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Virginia Beach",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater","Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont",Other,0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,"Educational Setting",0,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"All Outbreaks",4,31,"Not provided at this time"
7/20/2020,"Health District",Chesterfield,"All Outbreaks",21,390,"Not provided at this time"
7/20/2020,"Health District",Portsmouth,"All Outbreaks",14,145,"Not provided at this time"
7/20/2020,"Health District","Western Tidewater","All Outbreaks",13,441,"Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","All Outbreaks",3,37,"Not provided at this time"
7/20/2020,"Health District","Prince William","All Outbreaks",16,505,"Not provided at this time"
7/20/2020,"Health District",Hampton,"All Outbreaks",4,46,"Not provided at this time"
7/20/2020,"Health District",Southside,"All Outbreaks",7,225,"Not provided at this time"
7/20/2020,"Health District",Henrico,"All Outbreaks",26,840,"Not provided at this time"
7/20/2020,"Health District",Alexandria,"All Outbreaks",15,248,"Not provided at this time"
7/20/2020,"Health District",Chickahominy,"All Outbreaks",18,256,"Not provided at this time"
7/20/2020,"Health District",Fairfax,"All Outbreaks",72,1951,"Not provided at this time"
7/20/2020,"Health District","New River","All Outbreaks",4,36,"Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","All Outbreaks",31,779,"Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","All Outbreaks",9,142,"Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"All Outbreaks",8,42,"Not provided at this time"
7/20/2020,"Health District",Crater,"All Outbreaks",23,749,"Not provided at this time"
7/20/2020,"Health District","Virginia Beach","All Outbreaks",33,213,"Not provided at this time"
7/20/2020,"Health District",Richmond,"All Outbreaks",13,98,"Not provided at this time"
7/20/2020,"Health District",Norfolk,"All Outbreaks",13,212,"Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","All Outbreaks",19,289,"Not provided at this time"
7/20/2020,"Health District","Eastern Shore","All Outbreaks",10,850,"Not provided at this time"
7/20/2020,"Health District","West Piedmont","All Outbreaks",9,101,"Not provided at this time"
7/20/2020,"Health District",Piedmont,"All Outbreaks",11,975,"Not provided at this time"
7/20/2020,"Health District",Peninsula,"All Outbreaks",29,193,"Not provided at this time"
7/20/2020,"Health District",Alleghany,"All Outbreaks",10,88,"Not provided at this time"
7/20/2020,"Health District",Chesapeake,"All Outbreaks",26,238,"Not provided at this time"
7/20/2020,"Health District",Rappahannock,"All Outbreaks",21,241,"Not provided at this time"
7/20/2020,"Health District","Three Rivers","All Outbreaks",6,351,"Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","All Outbreaks",22,693,"Not provided at this time"
7/20/2020,"Health District","Mount Rogers","All Outbreaks",11,159,"Not provided at this time"
7/20/2020,"Health District",Loudoun,"All Outbreaks",18,782,"Not provided at this time"
7/20/2020,"Health District","Central Virginia","All Outbreaks",6,19,"Not provided at this time"
7/20/2020,"Health District",Roanoke,"All Outbreaks",5,64,"Not provided at this time"
7/20/2020,"Health District",Arlington,"All Outbreaks",17,545,"Not provided at this time"
