Locality,Facility,Facility Type,Status,Date VDH Notified,Deaths,Cases
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,0,*
Fairfax,Sunrise of Springfield,Assisted Living,Pending Closure,2020-04-10,*,22
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,0,8
Fairfax,Tall Oaks,Assisted Living,Pending Closure,2020-04-30,11,47
Fairfax,The Fairfax at Belvoir Woods,Multicare,Pending Closure,2020-04-24,*,11
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak in Progress,2020-03-17,5,27
Fairfax,The Lincolnian,Assisted Living,Outbreak Closed,2020-04-24,*,26
Fairfax,The Virginian Retirement Community,Multicare,Pending Closure,2020-04-09,26,141
Fairfax,Tysons Woods Assisted Living,Assisted Living,Pending Closure,2020-05-20,*,10
Fluvanna,Envoy at the Village,Nursing Home,Pending Closure,2020-04-08,8,54
Franklin City,East Pavilion at Southampton Memorial,Nursing Home,Outbreak in Progress,2020-06-25,0,*
Franklin City,The Village at Manor Care,Assisted Living,Outbreak in Progress,2020-06-23,0,*
Frederick,Hilltop House,Assisted Living,Outbreak in Progress,2020-07-03,0,*
Fredericksburg,Poets Walk,Assisted Living,Outbreak in Progress,2020-06-03,0,15
Galax,Galax Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-27,12,57
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,0,12
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,0,37
Hanover,Ashland Convalescent Center,Nursing Home,Pending Closure,2020-05-06,*,12
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,9,45
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,0,*
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,12,60
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Pending Closure,2020-04-08,23,112
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-05-27,*,78
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-04-17,*,*
Henrico,Beth Sholom Home of Virginia,Multicare,Pending Closure,2020-03-28,17,74
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,49,154
Henrico,Cedarfield Retirement Community,Assisted Living,Pending Closure,2020-04-24,*,19
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak in Progress,2020-06-02,0,*
Henrico,Discovery Village At The West End,Multicare,Outbreak in Progress,2020-04-12,*,62
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Pending Closure,2020-04-30,12,90
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-05,16,114
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,*,10
Henrico,Manor Care Health Services,Nursing Home,Pending Closure,2020-04-01,*,9
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,6,45
Henrico,Our Lady of Hope,Multicare,Outbreak in Progress,2020-05-26,0,8
Henrico,Westminster Canterbury ALF,Assisted Living,Pending Closure,2020-03-18,0,9
Henrico,Westport Rehabilitation & Nursing Center,Nursing Home,Outbreak in Progress,2020-04-24,7,98
Hopewell,Hopewell Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-10,*,25
Isle of Wight,Consulate Health Care of Windsor,Nursing Home,Outbreak Closed,2020-03-31,9,54
James City,Chambrel at Williamsburg Assisted Living,Assisted Living,Outbreak Closed,2020-04-16,*,20
James City,Consulate Health Care of Williamsburg,Nursing Home,Outbreak Closed,2020-04-06,*,9
James City,WindsorMeade of Williamsburg,Multicare,Outbreak Closed,2020-04-23,0,5
King George,Heritage Hall - King George,Nursing Home,Outbreak Closed,2020-05-02,0,10
Loudoun,Ashby Ponds,Multicare,Outbreak in Progress,2020-04-06,10,62
Loudoun,Ashleigh at Lansdowne,Multicare,Pending Closure,2020-04-23,9,31
Loudoun,Atria Sterling,Assisted Living,Pending Closure,2020-04-23,*,19
Loudoun,Heritage Hall Nursing and Rehab,Nursing Home,Pending Closure,2020-05-19,14,90
Loudoun,Johnson Center at Falcons Landing,Multicare,Outbreak in Progress,2020-03-28,*,71
Loudoun,Poet's Walk - A Spring Hill Memory Care Community,Assisted Living,Outbreak in Progress,2020-04-23,6,29
Loudoun,Potomac Falls Health and Rehab Center,Multicare,Pending Closure,2020-04-10,21,86
Loudoun,Sunrise at Countryside,Assisted Living,Pending Closure,2020-04-07,5,14
Loudoun,Tribute at One Loudoun,Multicare,Pending Closure,2020-04-16,10,48
Loudoun,Waltonwood at Ashburn,Multicare,Pending Closure,2020-04-13,*,9
Martinsville,King's Grant Retirement Community,Nursing Home,Outbreak in Progress,2020-06-20,0,*
Martinsville,Mulberry Creek Nursing and Rehab,Nursing Home,Pending Closure,2020-05-18,0,6
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Pending Closure,2020-05-08,12,92
Mecklenburg,Meadow View Terrace,Nursing Home,Pending Closure,2020-04-04,13,83
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-05-14,0,*
Newport News,The Gardens at Warwick Forest,Nursing Home,Outbreak Closed,2020-03-30,0,7
Norfolk,Consulate Health Care of Norfolk,Nursing Home,Outbreak in Progress,2020-06-29,*,6
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-03-28,0,*
Norfolk,Pelican Health Care,Assisted Living,Outbreak in Progress,2020-06-25,0,*
Norfolk,"Signature HealthCare, LLC",Nursing Home,Outbreak in Progress,2020-06-05,*,25
Northampton,Heritage Hall - Nassawadox,Nursing Home,Pending Closure,2020-04-22,18,113
Nottoway,Hickory Hill Retirement Community,Assisted Living,Outbreak in Progress,2020-05-28,*,55
Orange,Dogwood Village of Orange County,Nursing Home,Outbreak in Progress,2020-06-03,0,*
Orange,The Village at Gordon House,Assisted Living,Pending Closure,2020-05-28,0,5
Page,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,Pending Closure,2020-04-21,22,153
Petersburg,Fillmore Place,Assisted Living,Outbreak in Progress,2020-06-08,0,5
Petersburg,Petersburg Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-25,*,36
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak in Progress,2020-05-06,0,*
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak Closed,2020-04-27,*,8
Prince Edward,Farmville Health and Rehab Center,Nursing Home,Outbreak Closed,2020-04-08,*,46
Prince William,Arbor Terrace Sudley Manor,Assisted Living,Pending Closure,2020-04-18,9,22
Prince William,Birmingham Green,Multicare,Pending Closure,2020-04-19,33,132
Prince William,Envoy of Woodbridge,Nursing Home,Pending Closure,2020-05-16,*,70
Prince William,Gainesville Health and Rehabilitation,Nursing Home,Pending Closure,2020-04-18,8,67
Prince William,Harbor Chase,Multicare,Pending Closure,2020-05-09,6,14
Prince William,Lake Manassas Health and Rehabilitation,Nursing Home,Pending Closure,2020-03-27,*,8
Prince William,Manassas Health & Rehabilitation Center,Nursing Home,Pending Closure,2020-05-18,*,11
Prince William,Potomac Place,Assisted Living,Pending Closure,2020-05-09,*,28
Prince William,Tribute at the Glen,Assisted Living,Pending Closure,2020-05-09,*,9
Prince William,Westminster at Lake Ridge,Multicare,Pending Closure,2020-04-18,*,27
Prince William,Willow Oaks Assisted Living at Birmingham Green,Assisted Living,Pending Closure,2020-04-17,*,28
Richmond City,The Towers Retirement Home and Assisted Living Community,Assisted Living,Pending Closure,2020-04-20,0,*
Richmond City,The Virginia Home,Nursing Home,Pending Closure,2020-03-28,0,13
Richmond County,Riverside The Orchard Dogwood Manor,Multicare,Outbreak Closed,2020-04-17,*,15
Roanoke City,South Roanoke Nursing Home,Nursing Home,Pending Closure,2020-04-19,13,56
Roanoke County,Friendship Health and Rehab,Nursing Home,Outbreak in Progress,2020-06-24,0,*
Rockingham,Sunnyside Retirement Community,Nursing Home,Pending Closure,2020-06-02,*,7
Salem,Richfield Recovery and Care Center,Nursing Home,Pending Closure,2020-04-24,0,5
Shenandoah,Consulate Health Care of Woodstock,Nursing Home,Pending Closure,2020-04-30,12,91
Shenandoah,Dutch Haven Assisted Living,Assisted Living,Outbreak Closed,2020-05-03,11,47
Shenandoah,Life Care Center of New Market,Nursing Home,Outbreak in Progress,2020-06-21,*,14
Shenandoah,Pine Meadow,Assisted Living,Outbreak Closed,2020-05-06,0,*
Shenandoah,Skyline Terrace,Nursing Home,Outbreak Closed,2020-03-30,0,*
Southampton,Courtland Healthcare,Nursing Home,Outbreak Closed,2020-04-15,5,48
Spotsylvania,Carriage Hill Health & Rehab,Nursing Home,Outbreak in Progress,2020-06-02,18,103
Spotsylvania,Paramount Senior Living (frmly Brookdate ALF),Assisted Living,Outbreak in Progress,2020-06-03,0,*
Staunton,Ritenour Rest Home,Assisted Living,Pending Closure,2020-05-13,0,25
Suffolk,Autumn Nursing Care,Nursing Home,Pending Closure,2020-04-08,11,70
Suffolk,Bon Secours/Maryview Nursing Center,Nursing Home,Outbreak Closed,2020-04-09,14,96
Suffolk,Nansemond Pointe Rehab,Nursing Home,Outbreak Closed,2020-04-15,6,15
Sussex,Waverly Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-05-10,*,92
Virginia Beach,Accordius Health at River Pointe,Nursing Home,Pending Closure,2020-04-29,*,17
Virginia Beach,Baylake Retirement and Assisted Living Community,Assisted Living,Outbreak in Progress,2020-05-15,0,*
Virginia Beach,Beth Shalom Home of Eastern Virginia,Nursing Home,Outbreak in Progress,2020-04-23,0,*
Virginia Beach,Harbourway at Atlantic Shores,Assisted Living,Pending Closure,2020-03-31,*,26
Virginia Beach,Kings Grant House,Assisted Living,Outbreak in Progress,2020-05-30,6,22
Virginia Beach,Marian Manor,Assisted Living,Pending Closure,2020-06-04,0,*
Virginia Beach,Our Lady of Perpetual Help,Multicare,Pending Closure,2020-04-11,6,33
Virginia Beach,Sentara Nursing Center,Nursing Home,Outbreak in Progress,2020-05-01,0,*
Virginia Beach,The Citadel,Nursing Home,Outbreak in Progress,2020-06-15,0,*
Warren,Woods Cove (frmly Royal Haven of Front Royal),Assisted Living,Outbreak in Progress,2020-06-18,*,42
Washington,English Meadows,Assisted Living,Pending Closure,2020-04-03,*,9
Williamsburg,Envoy of Williamsburg,Nursing Home,Outbreak Closed,2020-03-31,*,29
York,Regency Healthcare Center,Nursing Home,Outbreak Closed,2020-05-11,0,*
