Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-14,65,7,1,51035
Charlottesville,Cedars Healthcare Center,Nursing Home,Outbreak in Progress,2020-07-10,11,0,1,51540
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak in Progress,2020-04-13,40,*,1,51550
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,16,*,0,51550
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Closed,2020-06-15,13,*,0,51550
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak in Progress,2020-06-09,36,*,1,51550
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,11,*,0,51550
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0,0,51550
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0,0,51550
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak in Progress,2020-06-15,*,0,1,51550
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,39,7,0,51041
Chesterfield,Elmcroft of Chesterfield,Assisted Living,Outbreak in Progress,2020-06-24,*,0,1,51041
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,5,0,51041
Chesterfield,Laurels of Willow Creek,Nursing Home,Outbreak Pending Closure,2020-05-27,24,7,0,51041
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0,0,51041
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak in Progress,2020-04-14,31,9,1,51041
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7,0,51041
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Outbreak Pending Closure,2020-04-07,52,15,0,51570
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,*,*,0,51570
Danville,Brookdale Danville Piedmont,Assisted Living,Outbreak Pending Closure,2020-04-16,*,*,0,51590
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,13,0,1,51053
Emporia,Accordius Health and Rehab,Nursing Home,Outbreak Closed,2020-04-20,55,13,0,51595
Emporia,Emporia/Greensville Manor,Nursing Home,Outbreak Pending Closure,2020-05-30,10,*,0,51595
Emporia,Eugene H Bloom Retirement Center,Assisted Living,Outbreak in Progress,2020-07-06,*,0,1,51595
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-04-09,*,0,0,51059
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-09,156,55,0,51059
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak in Progress,2020-05-12,5,*,1,51059
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8,0,51059
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5,0,51059
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-04-17,5,*,0,51059
Fairfax,Arleigh Burke Pavilion,Multicare,Outbreak Pending Closure,2020-04-15,46,7,0,51059
Fairfax,Bright View Woodburn,Assisted Living,Outbreak Pending Closure,2020-04-28,29,10,0,51059
Fairfax,Brightview of Great Falls,Assisted Living,Outbreak Closed,2020-04-24,7,*,0,51059
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,21,0,51059
Fairfax,Chesterbrook Residences,Assisted Living,Outbreak Pending Closure,2020-04-07,31,7,0,51059
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,22,0,51059
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-04-17,71,12,1,51059
Fairfax,Gardens at Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-05-21,14,*,0,51059
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Outbreak Pending Closure,2020-04-24,28,*,0,51059
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6,0,51059
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak Pending Closure,2020-04-17,68,20,0,51059
Fairfax,Harmony at Chantilly,Assisted Living,Outbreak Pending Closure,2020-05-01,19,*,0,51059
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,*,0,1,51059
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak Pending Closure,2020-04-11,50,11,0,51059
Fairfax,Hunter's Woods at Trails Edge,Multicare,Outbreak Pending Closure,2020-06-04,10,*,0,51059
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,12,0,51059
Fairfax,Larmax Homes,Assisted Living,Outbreak Pending Closure,2020-04-17,17,*,0,51059
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,*,*,0,51059
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Pending Closure,2020-04-09,114,35,0,51059
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-24,79,7,0,51059
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Outbreak Pending Closure,2020-05-04,136,13,0,51059
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-04-09,79,15,1,51059
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0,0,51059
Fairfax,Renaissance of Annandale,Assisted Living,Outbreak Closed,2020-05-12,27,*,0,51059
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak in Progress,2020-05-12,*,0,1,51059
Fairfax,Stevenson's Place,Assisted Living,Outbreak Closed,2020-06-04,*,0,0,51059
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14,0,51059
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak Closed,2020-04-07,16,*,0,51059
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0,1,51059
Fairfax,Sunrise of Springfield,Assisted Living,Outbreak Pending Closure,2020-04-10,22,*,0,51059
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0,1,51059
Fairfax,Tall Oaks,Assisted Living,Outbreak Pending Closure,2020-04-30,47,11,0,51059
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Pending Closure,2020-04-24,11,*,0,51059
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak Pending Closure,2020-03-17,26,*,0,51059
Fairfax,The Lincolnian,Assisted Living,Outbreak Closed,2020-04-24,26,*,0,51059
Fairfax,The Virginian Retirement Community,Multicare,Outbreak Pending Closure,2020-04-09,141,26,0,51059
Fairfax,Tysons Woods Assisted Living,Assisted Living,Outbreak Pending Closure,2020-05-20,10,*,0,51059
Floyd,Skyline Manor Nursing and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-25,*,0,1,51063
Fluvanna,Envoy at the Village,Nursing Home,Outbreak Pending Closure,2020-04-08,54,8,0,51065
Franklin City,The Village at Manor Care,Assisted Living,Outbreak in Progress,2020-06-23,6,*,1,51620
Frederick,Hilltop House,Assisted Living,Outbreak in Progress,2020-07-03,12,0,1,51069
Fredericksburg,Poets Walk,Assisted Living,Outbreak in Progress,2020-06-03,15,0,1,51630
Galax,Galax Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-27,57,13,0,51640
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,12,0,1,51640
Greene,Grace Health and Rehab Center of Greene County,Nursing Home,Outbreak in Progress,2020-07-06,6,0,1,51079
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,37,0,0,51650
Hanover,Ashland Convalescent Center,Nursing Home,Outbreak Pending Closure,2020-05-06,12,*,0,51085
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,45,10,0,51085
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,*,0,1,51085
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,60,12,0,51085
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Outbreak Pending Closure,2020-04-08,112,23,0,51660
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-05-27,87,*,1,51660
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-03-28,74,17,0,51087
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-04-17,*,*,0,51087
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,154,49,0,51087
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak in Progress,2020-07-06,*,0,1,51087
Henrico,Cedarfield Retirement Community,Assisted Living,Outbreak Pending Closure,2020-04-24,19,*,0,51087
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak Closed,2020-06-02,*,0,0,51087
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Outbreak Pending Closure,2020-04-30,90,18,0,51087
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-05,114,16,0,51087
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,10,*,0,51087
Henrico,Manor Care Health Services,Nursing Home,Outbreak Closed,2020-04-01,9,*,0,51087
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,45,6,0,51087
Henrico,Our Lady of Hope,Multicare,Outbreak Closed,2020-05-26,8,0,0,51087
Henrico,Westminster Canterbury ALF,Assisted Living,Outbreak Pending Closure,2020-03-18,9,0,0,51087
Henrico,Westminster Canterbury ALF,Assisted Living,Outbreak in Progress,2020-07-07,*,0,1,51087
Henrico,Westport Rehabilitation & Nursing Center,Nursing Home,Outbreak Pending Closure,2020-04-24,102,9,0,51087
Hopewell,Hopewell Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-10,25,5,1,51670
Isle of Wight,Consulate Health Care of Windsor,Nursing Home,Outbreak Closed,2020-03-31,54,9,0,51093
James City,Chambrel at Williamsburg Assisted Living,Assisted Living,Outbreak Closed,2020-04-16,20,*,0,51095
James City,Consulate Health Care of Williamsburg,Nursing Home,Outbreak Closed,2020-04-06,9,*,0,51095
James City,Edgeworth Park at New Town,Assisted Living,Outbreak in Progress,2020-07-08,*,0,1,51095
James City,WindsorMeade of Williamsburg,Multicare,Outbreak Closed,2020-04-23,5,0,0,51095
King George,Heritage Hall - King George,Nursing Home,Outbreak Closed,2020-05-02,10,0,0,51099
Lee,Lee Health & Rehabilitation,Nursing Home,Outbreak in Progress,2020-07-04,*,0,1,51105
Loudoun,Ashby Ponds,Multicare,Outbreak in Progress,2020-04-06,62,10,1,51107
Loudoun,Ashleigh at Lansdowne,Multicare,Outbreak Pending Closure,2020-04-23,31,9,0,51107
Loudoun,Atria Sterling,Assisted Living,Outbreak Pending Closure,2020-04-23,19,*,0,51107
Loudoun,Heritage Hall Nursing and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-19,90,14,0,51107
Loudoun,Johnson Center at Falcons Landing,Multicare,Outbreak in Progress,2020-03-28,71,6,1,51107
Loudoun,Poet's Walk - A Spring Hill Memory Care Community,Assisted Living,Outbreak Pending Closure,2020-04-23,29,6,0,51107
Loudoun,Potomac Falls Health and Rehab Center,Multicare,Outbreak Pending Closure,2020-04-10,86,21,0,51107
Loudoun,Sunrise at Countryside,Assisted Living,Outbreak Pending Closure,2020-04-07,14,5,0,51107
Loudoun,Tribute at One Loudoun,Multicare,Outbreak Pending Closure,2020-04-16,48,10,0,51107
Loudoun,Waltonwood at Ashburn,Multicare,Outbreak Pending Closure,2020-04-13,9,*,0,51107
Lynchburg,Lynchburg Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-04,*,0,1,51680
Martinsville,King's Grant Retirement Community,Nursing Home,Outbreak in Progress,2020-06-20,*,0,1,51690
Martinsville,Mulberry Creek Nursing and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-18,8,0,0,51690
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-05-08,92,12,0,51117
Mecklenburg,Meadow View Terrace,Nursing Home,Outbreak Pending Closure,2020-04-04,83,14,0,51117
Newport News,Hilton Plaza,Assisted Living,Outbreak in Progress,2020-07-11,*,0,1,51700
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-05-14,*,0,0,51700
Newport News,Newport News Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-08,*,0,1,51700
Newport News,The Gardens at Warwick Forest,Nursing Home,Outbreak Closed,2020-03-30,7,0,0,51700
Norfolk,Autumn Care of Norfolk,Nursing Home,Outbreak in Progress,2020-07-08,*,0,1,51710
Norfolk,Commonwealth Leigh Hall,Assisted Living,Outbreak in Progress,2020-07-07,*,0,1,51710
Norfolk,Consulate Health Care of Norfolk,Nursing Home,Outbreak in Progress,2020-06-29,76,*,1,51710
Norfolk,Lake Taylor Transitional Care Hospital,Nursing Home,Outbreak in Progress,2020-07-13,6,0,1,51710
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-03-28,*,0,0,51710
Norfolk,Pelican Health Care,Assisted Living,Outbreak in Progress,2020-06-25,*,0,1,51710
Norfolk,"Signature HealthCare, LLC",Nursing Home,Outbreak in Progress,2020-06-05,30,*,1,51710
Norfolk,St. Marys Home for Disabled Children,Nursing Home,Outbreak in Progress,2020-07-07,*,0,1,51710
Norfolk,The Ballentine,Assisted Living,Outbreak in Progress,2020-07-05,*,*,1,51710
Northampton,Heritage Hall - Nassawadox,Nursing Home,Outbreak Pending Closure,2020-04-22,113,18,0,51131
Nottoway,Hickory Hill Retirement Community,Assisted Living,Outbreak in Progress,2020-05-28,55,*,1,51135
Orange,Dogwood Village of Orange County,Nursing Home,Outbreak in Progress,2020-06-03,*,0,1,51137
Orange,The Village at Gordon House,Assisted Living,Outbreak Pending Closure,2020-05-28,*,0,0,51137
Page,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,Outbreak Pending Closure,2020-04-21,153,22,0,51139
Petersburg,Battlefield Park Healthcare Center,Nursing Home,Outbreak in Progress,2020-07-02,7,0,1,51730
Petersburg,Fillmore Place,Assisted Living,Outbreak in Progress,2020-06-08,11,0,1,51730
Petersburg,Petersburg Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-25,44,*,1,51730
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak Closed,2020-04-27,5,*,0,51740
Prince Edward,Farmville Health and Rehab Center,Nursing Home,Outbreak Closed,2020-04-08,47,*,0,51147
Prince William,Arbor Terrace Sudley Manor,Assisted Living,Outbreak Pending Closure,2020-04-18,22,9,0,51153
Prince William,Birmingham Green,Multicare,Outbreak Pending Closure,2020-04-19,132,33,0,51153
Prince William,Envoy of Woodbridge,Nursing Home,Outbreak in Progress,2020-05-16,72,*,1,51153
Prince William,Gainesville Health and Rehabilitation,Nursing Home,Outbreak in Progress,2020-04-18,67,9,1,51153
Prince William,Harbor Chase,Multicare,Outbreak Pending Closure,2020-05-09,14,6,0,51153
Prince William,Lake Manassas Health and Rehabilitation,Nursing Home,Outbreak Pending Closure,2020-03-27,8,*,0,51153
Prince William,Manassas Health & Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-05-18,11,*,0,51153
Prince William,Potomac Place,Assisted Living,Outbreak Pending Closure,2020-05-09,28,*,0,51153
Prince William,Tribute at the Glen,Assisted Living,Outbreak Pending Closure,2020-05-09,9,*,0,51153
Prince William,Westminster at Lake Ridge,Multicare,Outbreak Pending Closure,2020-04-18,27,*,0,51153
Prince William,Willow Oaks Assisted Living at Birmingham Green,Assisted Living,Outbreak Pending Closure,2020-04-17,28,*,0,51153
Richmond City,The Towers Retirement Home and Assisted Living Community,Assisted Living,Outbreak Pending Closure,2020-04-20,*,0,0,51760
Richmond City,The Virginia Home,Nursing Home,Outbreak Pending Closure,2020-03-28,13,0,0,51760
Richmond County,Riverside The Orchard Dogwood Manor,Multicare,Outbreak Closed,2020-04-17,15,*,0,51159
Roanoke City,South Roanoke Nursing Home,Nursing Home,Outbreak Pending Closure,2020-04-19,56,13,0,51770
Roanoke County,Friendship Health and Rehab,Nursing Home,Outbreak in Progress,2020-06-24,*,0,1,51161
Rockingham,Sunnyside Retirement Community,Nursing Home,Outbreak Pending Closure,2020-06-02,9,*,0,51165
Salem,Richfield Recovery and Care Center,Nursing Home,Outbreak Pending Closure,2020-04-24,5,0,0,51775
Shenandoah,Consulate Health Care of Woodstock,Nursing Home,Outbreak Pending Closure,2020-04-30,95,15,0,51171
Shenandoah,Dutch Haven Assisted Living,Assisted Living,Outbreak Closed,2020-05-03,47,11,0,51171
Shenandoah,Life Care Center of New Market,Nursing Home,Outbreak in Progress,2020-06-21,16,*,1,51171
Shenandoah,Pine Meadow,Assisted Living,Outbreak Closed,2020-05-06,*,0,0,51171
Shenandoah,Skyline Terrace,Nursing Home,Outbreak Closed,2020-03-30,*,0,0,51171
Southampton,Courtland Healthcare,Nursing Home,Outbreak Closed,2020-04-15,48,7,0,51175
Spotsylvania,Carriage Hill Health & Rehab,Nursing Home,Outbreak in Progress,2020-06-02,103,18,1,51177
Spotsylvania,Paramount Senior Living (frmly Brookdate ALF),Assisted Living,Outbreak in Progress,2020-06-03,*,0,1,51177
Staunton,Ritenour Rest Home,Assisted Living,Outbreak Pending Closure,2020-05-13,25,0,0,51790
Suffolk,Autumn Nursing Care,Nursing Home,Outbreak Pending Closure,2020-04-08,70,14,0,51800
Suffolk,Bon Secours/Maryview Nursing Center,Nursing Home,Outbreak Closed,2020-04-09,96,14,0,51800
Suffolk,Harmony at Harbour View,Assisted Living,Outbreak in Progress,2020-07-12,22,0,1,51800
Suffolk,Nansemond Pointe Rehab,Nursing Home,Outbreak Closed,2020-04-15,15,6,0,51800
Sussex,Waverly Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-05-10,92,*,0,51183
Virginia Beach,Accordius Health at River Pointe,Nursing Home,Outbreak Pending Closure,2020-04-29,17,*,0,51810
Virginia Beach,Baylake Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-05-15,*,0,0,51810
Virginia Beach,Beth Shalom Home of Eastern Virginia,Nursing Home,Outbreak in Progress,2020-04-23,*,0,1,51810
Virginia Beach,Harbourway at Atlantic Shores,Assisted Living,Outbreak Pending Closure,2020-03-31,28,*,0,51810
Virginia Beach,Heritage Hall - Virginia Beach,Nursing Home,Outbreak in Progress,2020-07-09,20,0,1,51810
Virginia Beach,Kings Grant House,Assisted Living,Outbreak Pending Closure,2020-05-30,24,6,0,51810
Virginia Beach,Marian Manor,Assisted Living,Outbreak Pending Closure,2020-06-04,*,0,0,51810
Virginia Beach,Our Lady of Perpetual Help,Multicare,Outbreak Pending Closure,2020-04-11,33,6,0,51810
Virginia Beach,Sentara Nursing Center,Nursing Home,Outbreak in Progress,2020-05-01,*,0,1,51810
Virginia Beach,The Citadel,Nursing Home,Outbreak in Progress,2020-06-15,*,0,1,51810
Warren,Woods Cove (frmly Royal Haven of Front Royal),Assisted Living,Outbreak in Progress,2020-06-18,42,*,1,51187
Washington,English Meadows,Assisted Living,Outbreak Pending Closure,2020-04-03,9,*,0,51191
Williamsburg,Envoy of Williamsburg,Nursing Home,Outbreak Closed,2020-03-31,29,*,0,51830
Wythe,Carrington Place at Rural Retreat,Nursing Home,Outbreak in Progress,2020-07-10,*,0,1,51197
York,Regency Healthcare Center,Nursing Home,Outbreak Closed,2020-05-11,*,0,0,51199
