Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
2021-01-23,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,1,975
2021-01-20,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,2,1400
2021-01-18,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,600
2021-01-11,51085,Hanover,Chickahominy,Hospitals,Moderna,2,1000
2020-12-30,51760,Richmond City,Richmond,Hospitals,Pfizer,2,3900
2021-02-04,51081,Greensville,Crater,Other Community Health Providers,Moderna,2,400
2021-01-24,51510,Alexandria,Alexandria,Pharmacies,Moderna,1,600
2021-01-03,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,500
2021-01-30,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,1,1950
2021-02-03,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,1000
2021-02-01,51700,Newport News,Peninsula,Pharmacies,Moderna,1,200
2021-02-01,51690,Martinsville,West Piedmont,Pharmacies,Moderna,1,100
2021-01-11,51740,Portsmouth,Portsmouth,Hospitals,Moderna,2,2000
2021-01-18,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,16575
2021-02-08,51700,Newport News,Peninsula,Pharmacies,Moderna,1,300
2021-02-06,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,9750
2021-01-09,51700,Newport News,Peninsula,Hospitals,Pfizer,1,1950
2020-12-21,51595,Emporia,Crater,Other Community Health Providers,Moderna,1,500
2021-01-24,51019,Bedford,Central Virginia,Pharmacies,Moderna,1,100
2021-01-18,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
2020-12-28,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,500
2021-01-10,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,1,300
2021-02-07,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,200
2021-02-07,51195,Wise,Lenowisco,Other Community Health Providers,Moderna,1,900
2021-01-18,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,600
2021-01-18,51061,Fauquier,Rappahannock Rapidan,Pharmacies,Moderna,1,200
2021-02-07,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,1600
2020-12-14,51720,Norton,Lenowisco,Hospitals,Pfizer,1,975
2021-02-04,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,400
2021-01-10,51159,Richmond County,Three Rivers,Other Community Health Providers,Moderna,1,400
2021-01-18,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,1,100
2020-12-28,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,100
2021-01-12,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,2,500
2021-01-30,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,1,975
2021-01-24,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,500
2021-02-06,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,975
2020-12-21,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,300
2021-01-20,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,2900
2021-01-11,51683,Manassas City,Prince William,Hospitals,Moderna,2,5000
2020-12-22,51057,Essex,Three Rivers,Hospitals,Moderna,1,500
2020-12-22,51770,Roanoke City,Roanoke,Hospitals,Moderna,1,2500
2021-02-07,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,2400
2020-12-21,51187,Warren,Lord Fairfax,Hospitals,Moderna,1,500
2021-01-24,51065,Fluvanna,Blue Ridge,Other Community Health Providers,Moderna,1,900
2020-12-28,51087,Henrico,Henrico,Hospitals,Moderna,1,300
2021-01-23,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,1950
2021-01-18,51660,Harrisonburg,Central Shenandoah,Pharmacies,Moderna,1,100
2021-02-01,51179,Stafford,Rappahannock,Pharmacies,Moderna,1,200
2020-12-22,51700,Newport News,Peninsula,Hospitals,Moderna,1,4000
2021-02-04,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,2,200
2021-02-07,51085,Hanover,Chickahominy,Hospitals,Moderna,2,300
2021-01-24,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,1200
2021-01-11,51121,Montgomery,New River,Local Health Departments,Moderna,2,2700
2021-01-28,51153,Prince William,Prince William,Pharmacies,Moderna,2,400
2021-01-30,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,1950
2021-02-01,51089,Henry,West Piedmont,Medical Practices,Moderna,1,200
2021-02-04,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,2,100
2020-12-22,51710,Norfolk,Norfolk,Hospitals,Moderna,1,5700
2021-01-28,51187,Warren,Lord Fairfax,Local Health Departments,Moderna,2,200
2021-01-20,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,400
2021-01-28,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,2,300
2021-02-04,51121,Montgomery,New River,Other Community Health Providers,Moderna,2,100
2021-01-11,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,200
2021-01-18,51073,Gloucester,Three Rivers,Pharmacies,Moderna,1,100
2021-02-07,51121,Montgomery,New River,Local Health Departments,Moderna,2,5500
2021-02-01,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,1,200
2021-02-07,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,800
2021-02-01,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1700
2021-01-20,51013,Arlington,Arlington,Local Health Departments,Moderna,2,900
2021-01-11,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,2000
2021-01-23,51121,Montgomery,New River,Local Health Departments,Pfizer,1,975
2021-01-19,51073,Gloucester,Three Rivers,Hospitals,Pfizer,2,975
2021-01-28,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1000
2020-12-28,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,2100
2021-02-06,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,1,975
2020-12-22,51800,Suffolk,Western Tidewater,Hospitals,Moderna,1,1000
2020-12-22,51013,Arlington,Arlington,Hospitals,Moderna,1,2000
2021-01-24,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,2400
2021-01-18,51087,Henrico,Henrico,Pharmacies,Moderna,1,1200
2021-02-01,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,200
2021-01-18,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,800
2021-02-08,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,1,300
2020-12-28,51760,Richmond City,Richmond,Hospitals,Moderna,1,3100
2021-01-10,51730,Petersburg,Crater,Local Health Departments,Moderna,1,1000
2021-02-03,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,1000
2021-01-18,51013,Arlington,Arlington,Local Health Departments,Moderna,1,1400
2021-02-08,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,200
2020-12-22,51051,Dickenson,Cumberland Plateau,Hospitals,Moderna,1,1000
2020-12-28,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,1,300
2021-01-04,51678,Lexington,Central Shenandoah,Hospitals,Pfizer,1,5850
2021-01-11,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,2,1700
2020-12-28,51117,Mecklenburg,Southside,Local Health Departments,Moderna,1,300
2021-01-10,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,600
2021-01-24,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1700
2021-02-01,51095,James City,Peninsula,Pharmacies,Moderna,1,100
2021-02-08,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,1,100
2021-02-01,51117,Mecklenburg,Southside,Medical Practices,Moderna,1,200
2021-01-19,51830,Williamsburg,Peninsula,Hospitals,Pfizer,2,975
2021-02-08,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,1700
2021-02-01,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,1,100
2020-12-28,51061,Fauquier,Rappahannock Rapidan,Hospitals,Moderna,1,300
2021-01-30,51001,Accomack,Eastern Shore,Hospitals,Pfizer,2,975
2021-02-08,51089,Henry,West Piedmont,Medical Practices,Moderna,1,100
2021-01-30,51760,Richmond City,Richmond,Pharmacies,Pfizer,1,2925
2021-02-01,51683,Manassas City,Prince William,Medical Practices,Moderna,1,300
2021-02-03,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,200
2021-01-18,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,600
2021-01-10,51650,Hampton,Hampton,Local Health Departments,Moderna,1,200
2020-12-28,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,700
2021-01-24,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,1200
2021-01-11,51760,Richmond City,Richmond,Local Health Departments,Moderna,2,1500
2021-02-08,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,1,300
2020-12-30,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,1950
2021-01-24,51175,Southampton,Western Tidewater,Other Community Health Providers,Moderna,1,600
2021-01-12,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1950
2021-02-04,51770,Roanoke City,Roanoke,Hospitals,Moderna,2,300
2021-01-10,51043,Clarke,Lord Fairfax,Local Health Departments,Moderna,1,800
2020-12-28,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,3000
2020-12-28,51087,Henrico,Henrico,Local Health Departments,Moderna,1,1100
2020-12-22,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,500
2021-01-11,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,2,3000
2021-01-11,51139,Page,Lord Fairfax,Hospitals,Moderna,2,300
2021-01-19,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,200
2021-02-07,51690,Martinsville,West Piedmont,Hospitals,Moderna,1,100
2021-02-01,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,100
2020-12-21,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,300
2021-02-04,51820,Waynesboro,Central Shenandoah,Local Health Departments,Moderna,2,100
2021-02-08,51019,Bedford,Central Virginia,Pharmacies,Moderna,1,200
2021-02-04,51071,Giles,New River,Pharmacies,Moderna,2,100
2021-02-07,51087,Henrico,Henrico,Local Health Departments,Moderna,1,1000
2020-12-28,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,7000
2020-12-22,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,7000
2021-01-11,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,2,5600
2021-01-18,51085,Hanover,Chickahominy,Local Health Departments,Moderna,1,3000
2021-01-25,51810,Virginia Beach,Virginia Beach,Local Health Departments,Pfizer,1,2925
2021-02-07,51139,Page,Lord Fairfax,Local Health Departments,Moderna,2,900
2020-12-30,51710,Norfolk,Norfolk,Hospitals,Pfizer,2,12675
2021-01-10,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,1000
2020-12-20,51015,Augusta,Central Shenandoah,Hospitals,Moderna,1,1000
2021-02-06,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2925
2020-12-28,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,500
2021-01-11,51185,Tazewell,Cumberland Plateau,Hospitals,Moderna,2,1000
2020-12-14,51700,Newport News,Peninsula,Hospitals,Pfizer,1,4875
2021-01-11,51019,Bedford,Central Virginia,Hospitals,Moderna,2,1000
2021-01-11,51015,Augusta,Central Shenandoah,Hospitals,Moderna,2,1000
2021-01-04,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,3900
2020-12-22,51840,Winchester,Lord Fairfax,Hospitals,Moderna,1,2000
2021-01-24,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,1,700
2021-02-08,51099,King George,Rappahannock,Pharmacies,Moderna,1,100
2021-02-04,51061,Fauquier,Rappahannock Rapidan,Hospitals,Moderna,2,400
2021-01-24,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,200
2021-02-06,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,2,2925
2021-02-01,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,100
2021-02-07,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,1,1400
2020-12-28,51043,Clarke,Lord Fairfax,Local Health Departments,Moderna,1,200
2021-02-04,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,600
2021-01-20,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,4900
2021-02-04,51161,Roanoke County,Alleghany,Pharmacies,Moderna,2,100
2020-12-28,51840,Winchester,Lord Fairfax,Hospitals,Moderna,1,3100
2020-12-22,51059,Fairfax,Fairfax,Medical Practices,Moderna,1,1900
2021-01-24,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,400
2021-02-04,51680,Lynchburg,Central Virginia,Hospitals,Moderna,2,200
2021-01-10,51169,Scott,Lenowisco,Local Health Departments,Moderna,1,600
2021-02-07,51760,Richmond City,Richmond,Local Health Departments,Moderna,2,1400
2021-01-10,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,800
2021-01-18,51071,Giles,New River,Pharmacies,Moderna,1,100
2021-02-07,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,700
2021-02-04,51031,Campbell,Central Virginia,Pharmacies,Moderna,2,100
2021-01-16,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,1,975
2021-01-30,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2925
2021-02-04,51019,Bedford,Central Virginia,Medical Practices,Moderna,2,100
2021-02-04,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,700
2021-02-04,51105,Lee,Lenowisco,Pharmacies,Moderna,2,100
2020-12-22,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,2500
2021-02-01,51071,Giles,New River,Pharmacies,Moderna,1,200
2020-12-22,51195,Wise,Lenowisco,Hospitals,Moderna,1,1000
2021-01-11,51001,Accomack,Eastern Shore,Hospitals,Moderna,2,500
2021-01-18,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,1,600
2021-01-18,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,1,300
2021-01-28,51087,Henrico,Henrico,Pharmacies,Moderna,2,500
2021-02-08,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,1,200
2021-02-07,51620,Franklin City,Western Tidewater,Hospitals,Moderna,2,100
2021-02-04,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,2,400
2021-02-01,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,500
2021-02-01,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,300
2021-01-18,51067,Franklin County,West Piedmont,Pharmacies,Moderna,1,100
2021-01-20,51087,Henrico,Henrico,Local Health Departments,Moderna,2,1000
2021-01-02,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,13650
2021-02-07,51145,Powhatan,Chesterfield,Other Community Health Providers,Moderna,1,200
2021-01-11,51059,Fairfax,Fairfax,Hospitals,Moderna,2,5600
2021-01-30,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,1,975
2021-02-01,51121,Montgomery,New River,Local Health Departments,Moderna,1,1500
2021-02-01,51730,Petersburg,Crater,Local Health Departments,Moderna,1,1500
2021-02-01,51117,Mecklenburg,Southside,Other Community Health Providers,Moderna,1,100
2021-01-04,51191,Washington,Mount Rogers,Hospitals,Pfizer,1,1950
2021-02-08,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,300
2021-02-07,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,1900
2021-01-18,51183,Sussex,Crater,Other Community Health Providers,Moderna,1,800
2021-02-01,51139,Page,Lord Fairfax,Local Health Departments,Moderna,1,100
2021-01-03,51059,Fairfax,Fairfax,Other Community Health Providers,Moderna,1,400
2021-01-23,51061,Fauquier,Rappahannock Rapidan,Medical Practices,Pfizer,1,975
2021-02-01,51107,Loudoun,Loudoun,Medical Practices,Moderna,1,100
2021-01-28,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,1200
2021-01-11,51087,Henrico,Henrico,Hospitals,Moderna,2,2000
2021-01-11,51073,Gloucester,Three Rivers,Hospitals,Moderna,2,500
2021-02-04,51103,Lancaster,Three Rivers,Medical Practices,Moderna,2,300
2021-02-06,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,1,2925
2021-02-04,51520,Bristol,Mount Rogers,Medical Practices,Moderna,2,100
2021-01-11,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,2,400
2021-02-01,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,100
2021-02-06,51678,Lexington,Central Shenandoah,Hospitals,Pfizer,2,5850
2020-12-30,51678,Lexington,Central Shenandoah,Hospitals,Pfizer,2,4875
2021-01-24,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,900
2021-02-07,51153,Prince William,Prince William,Local Health Departments,Moderna,2,1900
2021-02-01,51153,Prince William,Prince William,Other Community Health Providers,Moderna,1,300
2021-02-04,51175,Southampton,Western Tidewater,Other Community Health Providers,Moderna,2,300
2021-01-11,51650,Hampton,Hampton,Hospitals,Moderna,1,1600
2021-01-03,51155,Pulaski,New River,Pharmacies,Moderna,1,200
2021-01-11,51087,Henrico,Henrico,Local Health Departments,Moderna,2,300
2021-02-04,51117,Mecklenburg,Southside,Medical Practices,Moderna,2,100
2020-12-22,51083,Halifax,Southside,Hospitals,Moderna,1,500
2020-12-22,51197,Wythe,Mount Rogers,Hospitals,Moderna,1,1000
2021-02-08,51510,Alexandria,Alexandria,Pharmacies,Moderna,1,400
2021-01-24,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,1,400
2021-01-11,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,300
2021-01-10,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,500
2021-02-06,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1950
2021-01-23,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,975
2021-02-01,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
2021-02-01,51720,Norton,Lenowisco,Hospitals,Moderna,1,200
2021-01-30,51730,Petersburg,Crater,Local Health Departments,Pfizer,1,975
2020-12-22,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,3600
2021-02-04,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,100
2021-02-01,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,1400
2021-01-10,51191,Washington,Mount Rogers,Other Community Health Providers,Moderna,1,100
2020-12-30,51087,Henrico,Henrico,Hospitals,Pfizer,2,4875
2021-01-24,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,200
2021-02-07,51153,Prince William,Prince William,Pharmacies,Moderna,1,1200
2021-02-03,51013,Arlington,Arlington,Local Health Departments,Moderna,1,800
2020-12-21,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,300
2021-01-18,51678,Lexington,Central Shenandoah,Pharmacies,Moderna,1,200
2021-01-18,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,100
2020-12-22,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,200
2020-12-14,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2925
2021-02-08,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,600
2021-02-01,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,2200
2021-01-11,51195,Wise,Lenowisco,Hospitals,Moderna,2,1000
2020-12-22,51059,Fairfax,Fairfax,Hospitals,Moderna,1,10000
2021-01-04,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2925
2021-01-24,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,1,1100
2021-02-04,51183,Sussex,Crater,Other Community Health Providers,Moderna,2,300
2020-12-22,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,2000
2021-02-01,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
2021-01-10,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,300
2021-01-10,51085,Hanover,Chickahominy,Local Health Departments,Moderna,1,500
2021-02-01,51153,Prince William,Prince William,Medical Practices,Moderna,1,500
2021-01-10,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,500
2021-01-28,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,2,100
2021-01-03,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,1,800
2021-01-28,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,800
2021-02-04,51191,Washington,Mount Rogers,Medical Practices,Moderna,2,100
2020-12-28,51590,Danville,Pittsylvania-Danville,Hospitals,Moderna,1,2000
2021-02-01,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,900
2021-01-23,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,975
2021-01-24,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,1,500
2021-01-20,51690,Martinsville,West Piedmont,Hospitals,Moderna,1,100
2021-01-11,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,2,100
2021-01-30,51760,Richmond City,Richmond,Hospitals,Pfizer,2,3900
2020-12-22,51760,Richmond City,Richmond,Hospitals,Moderna,1,4300
2021-02-06,51121,Montgomery,New River,Local Health Departments,Pfizer,1,975
2021-02-08,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,300
2020-12-22,51121,Montgomery,New River,Local Health Departments,Moderna,1,600
2020-12-21,51510,Alexandria,Alexandria,Local Health Departments,Moderna,1,2200
2021-02-07,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,200
2021-01-24,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,1,100
2020-12-28,51121,Montgomery,New River,Local Health Departments,Moderna,1,2500
2021-01-11,51730,Petersburg,Crater,Hospitals,Moderna,2,2000
2021-02-07,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,200
2021-01-28,51091,Highland,Central Shenandoah,Local Health Departments,Moderna,2,100
2021-02-04,51087,Henrico,Henrico,Medical Practices,Moderna,2,400
2021-01-20,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,2,200
2021-02-04,51195,Wise,Lenowisco,Pharmacies,Moderna,2,200
2021-01-18,51167,Russell,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
2020-12-22,51590,Danville,Pittsylvania-Danville,Hospitals,Moderna,1,2000
2021-01-24,51095,James City,Peninsula,Other Community Health Providers,Moderna,1,200
2021-01-30,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,975
2021-01-24,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,100
2021-01-18,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,2700
2021-01-04,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,975
2021-01-24,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,800
2020-12-30,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1950
2021-02-01,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
2021-01-11,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,500
2021-01-24,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,800
2021-01-20,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,2,1100
2021-01-18,51059,Fairfax,Fairfax,Hospitals,Pfizer,1,19500
2021-01-28,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,2000
2021-01-11,51003,Albemarle,Blue Ridge,Hospitals,Moderna,2,2000
