Facility Name,Facility Longitude,Facility Latitude,VA Confirmed,VA Deaths
(607) WILLIAM S. MIDDLETON VAMC,-1073.1723906000002,516.9017575199999,8,2
(621) JAMES H. QUILLEN VAMC,-1482.662214,653.6098800000001,8,0
(531) BOISE VA MEDICAL CENTER,-1394.3373532800003,523.4310756000001,7,0
(589A7) WICHITA VAMC,-1556.3760054400004,602.87676576,7,1
(610) MARION VA MEDICAL CENTER,-942.0086990600003,445.76105783,7,0
(623) JACK C. MONTGOMERY VAMC,-1049.54971429,393.41386755,7,0
(502) ALEXANDRIA VA MEDICAL CENTER,-924.3432658999998,313.5521394,6,0
(521) BIRMINGHAM VAMC,-1649.2184869999992,636.5900029999998,6,1
(613) MARTINSBURG VA MEDICAL CENTER,-934.9319589599999,473.0065464,6,0
"(636) VA NWIHS, OMAHA DIVISION",-2207.410042870001,948.6384660999996,6,0
"(636A6) VA CIHS, DES MOINES DIVISION",-1311.2230248599997,582.7883642000002,6,1
(648) PORTLAND VA MEDICAL CENTER,-1962.9259532799995,727.9593831999998,6,1
(668) MANN-GRANDSTAFF VAMC,-1409.7074468400003,572.4231433199999,6,0
(405) WHITE RIVER JCT VAMROC,-1012.7932508399999,611.0705574400001,5,1
(557) DUBLIN VAMC,-912.3439587899998,357.9206838900001,5,0
(596) LEXINGTON VAMC-LEESTOWN,-1098.9878343599999,494.9720913800001,5,0
(402) VA MAINE HCS,-975.8579020399997,619.9237814000002,4,0
(438) SIOUX FALLS VA HCS,-870.80804793,391.79710323000006,4,0
(463) ANCHORAGE VA MEDICAL CENTER,-2545.65867566,1040.9330628800005,4,0
(515) BATTLE CREEK VA MEDICAL CENTER,-938.2772728999998,465.81953109999995,4,0
(528A7) SYRACUSE VA MEDICAL CENTER,-1142.073405,645.5793879000003,4,0
(529) ABIE ABRAHAM VA CLINIC,-799.4130642999999,408.9045864,4,0
(637) CHARLES GEORGE VAMC,-577.4009303999999,249.11101852000002,4,1
(676) TOMAH VAMC,-814.44519036,396.00996561,4,0
(757) COLUMBUS VAMC,-663.29465832,319.8509904,4,0
(528A6) BATH VA MEDICAL CENTER,-1237.55527728,677.4951483200001,3,0
(538) CHILLICOTHE VA MEDICAL CENTER,-913.1395323599999,433.2989303499999,3,0
(542) COATESVILLE VA MEDICAL CENTER,-530.6329219099999,279.98125799,3,0
(570) FRESNO VA MEDICAL CENTER,-838.4547431399999,257.40608704999994,3,0
(581) HUNTINGTON VAMC,-660.14333488,307.07234912000007,3,1
(586) JACKSON VAMC,-1623.0731760000006,581.8829039999998,3,0
"(589A4) COLUMBIA, MO VAMC",-1661.9127735600007,700.8767452799998,3,1
(653) ROSEBURG VA MEDICAL CENTER,-986.9366959999999,345.82874167999995,3,0
(437) FARGO VA HCS,-1838.7591901199994,891.2236286299998,2,1
(459) SPARK M. MATSUNAGA VAMC,-2841.9992199000003,384.50267748000005,2,0
(520) BILOXI VA MEDICAL CENTER,-2045.7858260900002,699.40725093,2,1
(658) SALEM VA MEDICAL CENTER,-800.2275392,372.7651387000001,2,0
(436) FORT HARRISON MEDICAL CENTER,-2690.44393464,1118.8229584799997,1,0
(504) AMARILLO HCS,-1120.9561062700002,387.2361180600001,1,0
(540) LOUIS A JOHNSON VAMC,-723.25281798,353.43305964,1,0
(550) ILLIANA HCS,-788.3304915599998,361.18611135000003,1,0
(562) ERIE VA MEDICAL CENTER,-800.6558028999999,421.0267314999999,1,0
(568) BLACK HILLS HCS,-1966.02238503,843.83791895,1,0
(575) GRAND JUNCTION VAMC,-759.7850445500001,273.54090953,1,0
(657A4) POPLAR BLUFF MO VAMC,-994.5989304900003,404.4880423099999,1,0
(679) TUSCALOOSA,-612.4185611600001,232.35249009,1,0
(687) JONATHAN M. WAINWRIGHT VAMC,-1420.2637794000002,552.6318112799999,1,0
(358) MANILA-RO,120.99139,14.54408,,0
(503) JAMES E VAN ZANDT VAMC,-705.5880267599999,364.39601426999997,,0
(517) BECKLEY VA MEDICAL CENTER,-487.15194252000003,226.59623826,,0
(519) WEST TEXAS HCS,-1217.65387608,386.78257824,,0
(534) CHARLESTON VAMC,-1199.2998286499997,491.7795675,,0
(564) FAYETTEVILLE VA MEDICAL,-1224.0416000799996,469.00397206000014,,0
(585) IRON MOUNTAIN VAMC,-1056.7221119999997,549.72024,,0
(608) MANCHESTER VAMC,-642.9540226500001,387.10759464,,0
(655) ALEDA E. LUTZ VAMC,-1091.5054889699998,564.7679349000001,,0
(656) ST. CLOUD VA HCS,-847.9600585200002,410.1092357400001,,0
(657A5) MARION IL VAMC,-1779.1203428000006,754.5949801999998,,0
(666) SHERIDAN VA MEDICAL CENTER,-1390.8034908299999,582.75060389,,0
(692) WHITE CITY VA MEDICAL CENTER,-491.34563136,169.75929436,,0
(740) HARLINGEN VA CLINIC,-1465.0191214499998,392.55929610000004,,0
(756) EL PASO VA HCS,-1064.6145004999996,318.188716,,0
