Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Report Date
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Outbreak Closed,2020-04-17,5,*,2020-06-24
Fairfax,Arleigh Burke Pavilion,Multicare,Pending Closure,2020-04-15,46,6,2020-06-24
Fairfax,Bright View Woodburn,Assisted Living,Outbreak in Progress,2020-04-28,28,9,2020-06-24
Fairfax,Brightview of Great Falls,Assisted Living,Pending Closure,2020-04-24,7,*,2020-06-24
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,20,2020-06-24
Fairfax,Chesterbrook Residences,Assisted Living,Pending Closure,2020-04-07,31,7,2020-06-24
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,20,2020-06-24
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-17,68,9,2020-06-24
Fairfax,Gardens at Fair Oaks,Assisted Living,Pending Closure,2020-05-21,9,*,2020-06-24
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Pending Closure,2020-04-24,25,*,2020-06-24
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6,2020-06-24
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak in Progress,2020-04-17,67,19,2020-06-24
Fairfax,Harmony at Chantilly,Assisted Living,Outbreak in Progress,2020-05-01,19,*,2020-06-24
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,6,0,2020-06-24
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak in Progress,2020-04-11,50,11,2020-06-24
Fairfax,Hunter's Woods at Trails Edge,Multicare,Pending Closure,2020-06-04,7,*,2020-06-24
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,12,2020-06-24
Fairfax,Larmax Homes,Assisted Living,Outbreak Closed,2020-04-17,17,*,2020-06-24
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,*,*,2020-06-24
Fairfax,Leewood Healthcare Center,Multicare,Outbreak in Progress,2020-04-09,115,35,2020-06-24
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak in Progress,2020-04-24,76,7,2020-06-24
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Pending Closure,2020-05-04,134,10,2020-06-24
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-04-09,76,13,2020-06-24
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0,2020-06-24
Fairfax,Renaissance of Annandale,Assisted Living,Pending Closure,2020-05-12,27,*,2020-06-24
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Closed,2020-05-12,*,0,2020-06-24
Fairfax,Stevenson's Place,Assisted Living,Outbreak in Progress,2020-06-04,*,0,2020-06-24
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14,2020-06-24
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak in Progress,2020-04-07,16,*,2020-06-24
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0,2020-06-24
Fairfax,Sunrise of Springfield,Assisted Living,Pending Closure,2020-04-10,22,*,2020-06-24
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0,2020-06-24
Fairfax,Tall Oaks,Assisted Living,Outbreak in Progress,2020-04-30,48,11,2020-06-24
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Closed,2020-04-24,11,*,2020-06-24
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak in Progress,2020-03-17,33,6,2020-06-24
Fairfax,The Lincolnian,Assisted Living,Pending Closure,2020-04-24,26,*,2020-06-24
Fairfax,The Virginian Retirement Community,Multicare,Outbreak in Progress,2020-04-09,146,26,2020-06-24
Fairfax,Tysons Woods Assisted Living,Assisted Living,Pending Closure,2020-05-20,10,*,2020-06-24
Fluvanna,Envoy at the Village,Nursing Home,Pending Closure,2020-04-08,54,6,2020-06-24
Franklin City,The Village at Manor Care,Assisted Living,Outbreak in Progress,2020-06-23,*,0,2020-06-24
Fredericksburg,Poets Walk,Assisted Living,Outbreak in Progress,2020-06-03,12,0,2020-06-24
Galax,Galax Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-27,55,9,2020-06-24
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,35,*,2020-06-24
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,37,0,2020-06-24
Hanover,Ashland Convalescent Center,Nursing Home,Pending Closure,2020-05-06,11,0,2020-06-24
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,45,6,2020-06-24
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,*,0,2020-06-24
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,60,12,2020-06-24
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Pending Closure,2020-04-08,112,21,2020-06-24
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-05-27,34,0,2020-06-24
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-04-17,*,*,2020-06-24
Henrico,Beth Sholom Home of Virginia,Multicare,Pending Closure,2020-03-28,62,12,2020-06-24
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,154,49,2020-06-24
Henrico,Cedarfield Retirement Community,Assisted Living,Pending Closure,2020-04-24,16,*,2020-06-24
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak in Progress,2020-06-02,*,0,2020-06-24
Henrico,Discovery Village At The West End,Assisted Living,Pending Closure,2020-04-12,61,*,2020-06-24
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Pending Closure,2020-04-30,87,7,2020-06-24
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-05,112,14,2020-06-24
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,10,*,2020-06-24
Henrico,Manor Care Health Services,Nursing Home,Pending Closure,2020-04-01,9,*,2020-06-24
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,45,5,2020-06-24
Henrico,Our Lady of Hope,Multicare,Outbreak in Progress,2020-05-26,*,0,2020-06-24
Henrico,Westport Rehabilitation & Nursing Center,Nursing Home,Pending Closure,2020-04-24,95,6,2020-06-24
Hopewell,Hopewell Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-10,24,*,2020-06-24
Isle of Wight,Consulate Health Care of Windsor,Nursing Home,Outbreak Closed,2020-03-31,54,8,2020-06-24
James City,Chambrel at Williamsburg Assisted Living,Assisted Living,Outbreak Closed,2020-04-16,20,*,2020-06-24
James City,Consulate Health Care of Williamsburg,Nursing Home,Outbreak Closed,2020-04-06,9,*,2020-06-24
James City,WindsorMeade of Williamsburg,Multicare,Outbreak Closed,2020-04-23,5,0,2020-06-24
King George,Heritage Hall - King George,Nursing Home,Outbreak Closed,2020-05-02,10,0,2020-06-24
Loudoun,Ashby Ponds,Multicare,Pending Closure,2020-04-06,62,10,2020-06-24
Loudoun,Atria Sterling,Assisted Living,Pending Closure,2020-04-23,19,*,2020-06-24
Loudoun,Heritage Hall Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-19,90,14,2020-06-24
Loudoun,Johnson Center at Falcons Landing,Multicare,Pending Closure,2020-03-28,48,*,2020-06-24
Loudoun,Potomac Falls Health and Rehab Center,Multicare,Pending Closure,2020-04-10,86,21,2020-06-24
Loudoun,Sunrise at Countryside,Assisted Living,Pending Closure,2020-04-07,14,5,2020-06-24
Loudoun,Tribute at One Loudoun,Multicare,Pending Closure,2020-04-16,48,10,2020-06-24
Loudoun,Waltonwood at Ashburn,Multicare,Pending Closure,2020-04-13,9,*,2020-06-24
Martinsville,King's Grant Retirement Community,Nursing Home,Outbreak in Progress,2020-06-20,*,0,2020-06-24
Martinsville,Mulberry Creek Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-18,6,0,2020-06-24
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Pending Closure,2020-05-08,92,10,2020-06-24
Mecklenburg,Meadow View Terrace,Nursing Home,Pending Closure,2020-04-04,83,13,2020-06-24
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-05-14,*,0,2020-06-24
Newport News,The Gardens at Warwick Forest,Nursing Home,Pending Closure,2020-03-30,7,0,2020-06-24
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-03-28,*,0,2020-06-24
Norfolk,"Signature HealthCare, LLC",Nursing Home,Outbreak in Progress,2020-06-05,8,0,2020-06-24
Northampton,Heritage Hall - Nassawadox,Nursing Home,Pending Closure,2020-04-22,114,18,2020-06-24
Nottoway,Hickory Hill Retirement Community,Assisted Living,Outbreak in Progress,2020-05-28,55,*,2020-06-24
Orange,Dogwood Village of Orange County,Nursing Home,Outbreak in Progress,2020-06-03,*,0,2020-06-24
Orange,The Village at Gordon House,Assisted Living,Pending Closure,2020-05-28,5,0,2020-06-24
Page,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,Outbreak in Progress,2020-04-21,151,22,2020-06-24
Petersburg,Fillmore Place,Assisted Living,Outbreak in Progress,2020-06-08,*,0,2020-06-24
Petersburg,Petersburg Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-25,15,0,2020-06-24
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak Closed,2020-04-27,8,0,2020-06-24
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak in Progress,2020-05-06,*,0,2020-06-24
Prince Edward,Farmville Health and Rehab Center,Nursing Home,Outbreak Closed,2020-04-08,46,*,2020-06-24
Prince William,Arbor Terrace Sudley Manor,Assisted Living,Pending Closure,2020-04-18,22,9,2020-06-24
Prince William,Birmingham Green,Multicare,Pending Closure,2020-04-19,132,33,2020-06-24
Prince William,Envoy of Woodbridge,Nursing Home,Outbreak in Progress,2020-05-16,70,*,2020-06-24
Prince William,Gainesville Health and Rehabilitation,Nursing Home,Pending Closure,2020-04-18,67,8,2020-06-24
Prince William,Harbor Chase,Multicare,Outbreak in Progress,2020-05-09,14,6,2020-06-24
Prince William,Lake Manassas Health and Rehabilitation,Nursing Home,Pending Closure,2020-03-27,8,*,2020-06-24
Prince William,Manassas Health & Rehabilitation Center,Nursing Home,Pending Closure,2020-05-18,11,*,2020-06-24
Prince William,Potomac Place,Assisted Living,Pending Closure,2020-05-09,28,*,2020-06-24
Prince William,Tribute at the Glen,Assisted Living,Pending Closure,2020-05-09,9,*,2020-06-24
Prince William,Westminster at Lake Ridge,Multicare,Outbreak in Progress,2020-04-18,27,*,2020-06-24
Prince William,Willow Oaks Assisted Living at Birmingham Green,Assisted Living,Pending Closure,2020-04-17,28,*,2020-06-24
Richmond City,The Towers Retirement Home and Assisted Living Community,Assisted Living,Pending Closure,2020-04-20,*,0,2020-06-24
Richmond City,The Virginia Home,Nursing Home,Pending Closure,2020-03-28,13,0,2020-06-24
Richmond County,Riverside The Orchard Dogwood Manor,Multicare,Outbreak Closed,2020-04-17,15,*,2020-06-24
Roanoke City,South Roanoke Nursing Home,Nursing Home,Pending Closure,2020-04-19,55,13,2020-06-24
Rockingham,Sunnyside Retirement Community,Assisted Living,Outbreak in Progress,2020-06-02,6,*,2020-06-24
Salem,Richfield Recovery and Care Center,Nursing Home,Pending Closure,2020-04-24,5,0,2020-06-24
Shenandoah,Consulate Health Care of Woodstock,Nursing Home,Outbreak in Progress,2020-04-30,82,10,2020-06-24
Shenandoah,Dutch Haven Assisted Living,Assisted Living,Outbreak Closed,2020-05-03,47,11,2020-06-24
Shenandoah,Pine Meadow,Assisted Living,Outbreak Closed,2020-05-06,*,0,2020-06-24
Shenandoah,Skyline Terrace,Nursing Home,Outbreak Closed,2020-03-30,*,0,2020-06-24
Southampton,Courtland Healthcare,Nursing Home,Pending Closure,2020-04-15,47,*,2020-06-24
Spotsylvania,Carriage Hill Health & Rehab,Nursing Home,Outbreak in Progress,2020-06-02,93,14,2020-06-24
Spotsylvania,Paramount Senior Living (frmly Brookdate ALF),Assisted Living,Outbreak in Progress,2020-06-03,*,0,2020-06-24
Staunton,Ritenour Rest Home,Assisted Living,Pending Closure,2020-05-12,24,0,2020-06-24
Suffolk,Autumn Nursing Care,Nursing Home,Pending Closure,2020-04-08,70,11,2020-06-24
Suffolk,Bon Secours/Maryview Nursing Center,Nursing Home,Pending Closure,2020-04-09,95,11,2020-06-24
Suffolk,Nansemond Pointe Rehab,Nursing Home,Outbreak in Progress,2020-04-15,15,6,2020-06-24
Sussex,Waverly Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-05-10,59,*,2020-06-24
Virginia Beach,Accordius Health at River Pointe,Nursing Home,Pending Closure,2020-04-29,17,*,2020-06-24
Virginia Beach,Baylake Retirement and Assisted Living Community,Assisted Living,Outbreak in Progress,2020-05-15,*,0,2020-06-24
Virginia Beach,Beth Shalom Home of Eastern Virginia,Nursing Home,Outbreak in Progress,2020-04-23,*,0,2020-06-24
Virginia Beach,Harbourway at Atlantic Shores,Assisted Living,Pending Closure,2020-03-31,26,*,2020-06-24
Virginia Beach,Kings Grant House,Assisted Living,Outbreak in Progress,2020-05-30,20,*,2020-06-24
Virginia Beach,Marian Manor,Assisted Living,Outbreak in Progress,2020-06-04,*,0,2020-06-24
Virginia Beach,Our Lady of Perpetual Help,Multicare,Pending Closure,2020-04-11,33,6,2020-06-24
Virginia Beach,Sentara Nursing Center,Nursing Home,Outbreak in Progress,2020-05-01,*,0,2020-06-24
Virginia Beach,The Citadel,Nursing Home,Outbreak in Progress,2020-06-15,*,0,2020-06-24
Washington,English Meadows,Assisted Living,Pending Closure,2020-04-03,9,*,2020-06-24
Williamsburg,Envoy of Williamsburg,Nursing Home,Outbreak Closed,2020-03-31,29,*,2020-06-24
York,Regency Healthcare Center,Nursing Home,Outbreak Closed,2020-05-11,*,0,2020-06-24
