Facility Name,Facility Longitude,Facility Latitude,VA Confirmed,VA Deaths 
(521) BIRMINGHAM VAMC,-1649.2184869999992,636.5900029999998,19,3
(523) BOSTON HCS VAMC,-1137.7775905599997,677.2323904000002,232,15
(526) BRONX VAMC,-517.32190223,286.08362761999996,471,48
(528) UPSTATE NEW YORK HCS,-1497.4599741500003,816.0731830400003,124,7
(528A6) BATH VA MEDICAL CENTER,-1237.55527728,677.4951483200001,6,0
(528A7) SYRACUSE VA MEDICAL CENTER,-1142.073405,645.5793879000003,8,0
(528A8) SAMUEL S. STRATTON VAMC,-1180.4197256000002,682.42254144,25,4
(529) ABIE ABRAHAM VA CLINIC,-799.4130642999999,408.9045864,7,0
(531) BOISE VA MEDICAL CENTER,-1394.3373532800003,523.4310756000001,13,1
(534) CHARLESTON VAMC,-1199.2998286499997,491.7795675,3,0
(537) JESSE BROWN VAMC,-789.08741487,376.83838197,207,14
(538) CHILLICOTHE VA MEDICAL CENTER,-913.1395323599999,433.2989303499999,5,0
(539) CINCINNATI,-1521.1685746800003,704.52194184,46,1
(540) LOUIS A JOHNSON VAMC,-723.25281798,353.43305964,1,0
(541) CLEVELAND VAMC,-2366.782914259999,1203.866502579999,162,2
(542) COATESVILLE VA MEDICAL CENTER,-530.6329219099999,279.98125799,11,0
"(544) COLUMBIA, SC VAMC",-1376.35172438,577.6596203899999,92,3
(546) MIAMI VAMC,-1203.2425786499998,386.85656685,96,5
(548) WEST PALM BEACH VAMC,-720.9654428699998,241.07302953000004,34,2
(549) DALLAS VA MEDICAL CENTER,-3000.579869619999,1013.5173492399992,41,3
(550) ILLIANA HCS,-788.3304915599998,361.18611135000003,2,0
(552) DAYTON,-926.7856873000001,437.24334775000005,18,0
"(553) DETROIT, MI VAMC",-747.54307152,381.19626918,166,19
(554) ROCKY MOUNTAIN REGIONAL VAMC,-3564.253013999999,1351.3143599999999,190,3
(556) CAPTN JAMES LOVELL FED HLT CTR,-702.8997869599999,338.4673304,189,1
(557) DUBLIN VAMC,-912.3439587899998,357.9206838900001,9,0
(558) DURHAM VA MEDICAL CENTER,-1105.1222562800003,504.1366638000001,37,0
(561) EAST ORANGE-VA NEW JERSEY HCS,-1633.1558194600007,896.5851193199994,465,47
(562) ERIE VA MEDICAL CENTER,-800.6558028999999,421.0267314999999,4,0
(564) FAYETTEVILLE AR VAMC,-1224.0416000799996,469.00397206000014,2,1
(565) FAYETTEVILLE NC VAMC,-1893.0626971200006,842.1733288799995,27,0
(568) BLACK HILLS HCS,-1966.02238503,843.83791895,1,0
(570) FRESNO VA MEDICAL CENTER,-838.4547431399999,257.40608704999994,6,0
(573) N. FLORIDA/S. GEORGIA HCS,-3046.7661436699996,1096.6235446599999,26,0
(575) GRAND JUNCTION VAMC,-759.7850445500001,273.54090953,3,0
"(578) HINES, IL VAMC",-1317.61024455,627.9092427,81,7
(580) HOUSTON VAMC,-1526.21989968,475.3042140799999,26,4
(581) HUNTINGTON VAMC,-660.14333488,307.07234912000007,4,1
(583) RICHARD L. ROUDEBUSH VAMC,-1551.35623608,716.0360956200002,150,15
(585) IRON MOUNTAIN VAMC,-1056.7221119999997,549.72024,0,0
(586) JACKSON VAMC,-1623.0731760000006,581.8829039999998,11,0
(589) KANSAS CITY VAMC,-1606.9888061000006,664.1432652999998,59,1
"(589A4) COLUMBIA, MO VAMC",-1661.9127735600007,700.8767452799998,4,1
(589A5) EKHCS TOPEKA VAMC,-2105.9482754199994,858.6008428799996,20,0
(589A7) WICHITA VAMC,-1556.3760054400004,602.87676576,7,1
(590) HAMPTON VA MEDICAL CENTER,-992.33240808,481.1988759499999,59,1
(593) SOUTHERN NEVADA HCS,-1150.9868597,362.8298333999999,50,0
(595) LEBANON VA MEDICAL CENTER,-840.49187486,443.46309887,54,1
(596) LEXINGTON VAMC-LEESTOWN,-1098.9878343599999,494.9720913800001,6,0
(598) CENTRAL ARKANSAS HCS,-1661.7951334799993,625.4100579599999,34,2
(600) LONG BEACH VAMC,-1299.31922527,371.5286132799999,65,2
(603) ROBLEY REX VAMC,-1199.7184934000004,535.79109248,43,3
(605) LOMA LINDA HCS,-1524.2807322599997,442.6520065500001,30,0
(607) WILLIAM S. MIDDLETON VAMC,-1073.1723906000002,516.9017575199999,10,2
(608) MANCHESTER VAMC,-642.9540226500001,387.10759464,2,0
(610) MARION VA MEDICAL CENTER,-942.0086990600003,445.76105783,10,2
(612A4) SACRAMENTO VA MEDICAL CENTER,-2304.6378929899997,732.8700487700003,24,3
(613) MARTINSBURG VA MEDICAL CENTER,-934.9319589599999,473.0065464,30,0
(614) MEMPHIS VA MEDICAL CENTER,-1800.5079624000007,702.8497612,17,0
(618) MINNEAPOLIS VA HCS,-2143.6889577899997,1032.7427919600002,58,7
(619) CENTRAL ALABAMA HCS,-1034.9595127200002,388.5587528399999,12,0
(620) HUDSON VALLEY HCS VAMC,-1256.7490143699995,701.1673269600001,156,2
(621) JAMES H. QUILLEN VAMC,-1482.662214,653.6098800000001,9,0
(623) JACK C. MONTGOMERY VAMC,-1049.54971429,393.41386755,11,0
(626) TENNESSEE VALLEY HCS,-2604.1430210999993,1084.2700599000002,38,2
(629) SE LOUISIANA VETERANS HCS,-1081.0144335600003,359.56196687999994,465,34
(630) NEW YORK HHS,-961.7089847299998,529.5748519100001,559,60
(631) VA CNTRL WSTRN MASSCHUSETS HCS,-1017.6247122999997,592.8727365400001,35,0
(632) NORTHPORT VAMC,-879.6683986800002,490.7829847200001,137,15
(635) OKLAHOMA CITY VAMC,-2632.38443541,958.0261122,21,1
"(636) VA NWIHS, OMAHA DIVISION",-2207.410042870001,948.6384660999996,33,2
"(636A6) VA CIHS, DES MOINES DIVISION",-1311.2230248599997,582.7883642000002,15,1
(636A8) IOWA CITY HCS,-1739.41871175,791.6282251699998,19,1
(637) CHARLES GEORGE VAMC,-577.4009303999999,249.11101852000002,7,1
(640) PALO ALTO VA MEDICAL CENTER,-2442.7817125999995,748.0254078000002,31,3
"(642) PHILADELPHIA, PA VAMC",-827.2140615200002,439.4477115599999,198,8
(644) PHOENIX VAMC,-2129.2522905699993,636.40039991,38,2
(646) PITTSBURGH VAMC UNIVERSITY DR.,-879.55563454,444.89208137,34,2
(648) PORTLAND VA MEDICAL CENTER,-1962.9259532799995,727.9593831999998,10,1
(649) NORTHERN ARIZONA HCS,-1799.22678768,552.82323216,10,0
(650) PROVIDENCE VAMC,-571.47863848,334.67141704,21,2
(652) HUNTER HOLMES MCGUIRE HOSPITAL,-1007.1131857800002,487.48347829999994,69,5
(653) ROSEBURG VA MEDICAL CENTER,-986.9366959999999,345.82874167999995,3,0
(654) IOANNIS A. LOUGARIS VAMC,-1437.5819457599998,474.19598016000003,21,2
(655) ALEDA E. LUTZ VAMC,-1091.5054889699998,564.7679349000001,12,0
(656) ST. CLOUD VA HCS,-847.9600585200002,410.1092357400001,4,0
(657) ST. LOUIS VAMC,-1985.0572387799996,850.1127377600003,74,4
(657A4) POPLAR BLUFF MO VAMC,-994.5989304900003,404.4880423099999,1,0
(657A5) MARION IL VAMC,-1779.1203428000006,754.5949801999998,0,0
(658) SALEM VA MEDICAL CENTER,-800.2275392,372.7651387000001,4,0
(659) W.G. HEFNER SALISBURY VAMC,-965.8344051600002,428.20215,45,1
(660) GEORGE E. WAHLEN VAMC,-2124.93257084,774.4075658600002,15,0
(662) SAN FRANCISCO VAMC,-1960.0580472,604.49867024,24,2
(663) SEATTLE VA MEDICAL CENTER,-3180.086035880002,1236.6119942799994,66,0
(664) SAN DIEGO HCS,-1875.7027691199992,525.94915888,44,0
(666) SHERIDAN VA MEDICAL CENTER,-1390.8034908299999,582.75060389,0,0
(667) SHREVEPORT VAMC,-843.50564892,292.50006741000004,50,5
(668) MANN-GRANDSTAFF VAMC,-1409.7074468400003,572.4231433199999,29,0
(671) AUDIE L. MURPHY MEMORIAL HOSP,-3450.328983499999,1032.7946258000006,31,2
(672) SAN JUAN VA MEDICAL CENTER,-991.2493501500003,275.8645497,68,0
(673) TAMPA FL VAMC,-1895.8019530099996,645.47570254,16,3
(674) OLIN E. TEAGUE VET CENTER,-1654.9372256900006,528.3244138999997,15,0
(675) ORLANDO VAMC,-1625.5300678,567.3338314,69,1
(676) TOMAH VAMC,-814.44519036,396.00996561,4,0
(678) SOUTHERN ARIZONA VA HCS,-1775.4921193599994,514.9016470400001,23,2
(679) TUSCALOOSA,-612.4185611600001,232.35249009,2,0
(687) JONATHAN M. WAINWRIGHT VAMC,-1420.2637794000002,552.6318112799999,1,0
(688) WASHINGTON VA MEDICAL CENTER,-1848.2618652,934.3467287999995,223,16
(689) CONNECTICUT HCS,-1313.2316336400002,743.1184605600001,173,2
(691) WEST LA VAMC,-3079.919581440002,885.3621649600004,80,6
(692) WHITE CITY VA MEDICAL CENTER,-491.34563136,169.75929436,0,0
(693) WILKES-BARRE VAMC,-1137.5571526500003,618.72148875,53,1
(695) MILWAUKEE VAMC,-1319.64237045,645.2940943499999,68,4
(740) HARLINGEN VA CLINIC,-1465.0191214499998,392.55929610000004,2,0
(756) EL PASO VA HCS,-1064.6145004999996,318.188716,4,0
(757) COLUMBUS VAMC,-663.29465832,319.8509904,5,0
