Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths
Spotsylvania,Carriage Hill Health & Rehab,Assisted Living,Outbreak in Progress,2020-06-03,*,0
Staunton,Paramount Senior Living (frmly Brookdate A..,Assisted Living,Pending Closure,2020-05-12,24,0
Suffolk,Ritenour Rest Home,Nursing Home,Pending Closure,2020-04-08,70,11
Suffolk,Autumn Nursing Care,Nursing Home,Pending Closure,2020-04-09,95,11
Suffolk,Bon Secours/Maryview Nursing Center,Nursing Home,Outbreak in Progress,2020-04-15,15,6
Sussex,Nansemond Pointe Rehab,Nursing Home,Pending Closure,2020-05-10,59,*
Virginia Beach,Waverly Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-29,17,*
Virginia Beach,Accordius Health at River Pointe,Assisted Living,Outbreak in Progress,2020-05-15,*,0
Virginia Beach,Baylake Re rement and Assisted Living Com..,Nursing Home,Outbreak in Progress,2020-04-23,*,0
Virginia Beach,Beth Shalom Home of Eastern Virginia,Assisted Living,Pending Closure,2020-03-31,26,*
Virginia Beach,Harbourway at Atlati c Shores,Assisted Living,Outbreak in Progress,2020-05-30,19,*
Virginia Beach,Kings Grant House,Assisted Living,Outbreak in Progress,2020-06-04,*,0
Virginia Beach,Marian Manor,Multicare,Pending Closure,2020-04-11,33,6
Virginia Beach,Our Lady of Perpetual Help,Nursing Home,Outbreak in Progress,2020-05-01,*,0
Virginia Beach,Sentara Nursing Center,Nursing Home,Outbreak in Progress,2020-06-15,*,0
Washington,The Citadel,Assisted Living,Pending Closure,2020-04-03,9,*
Williamsburg,English Meadows,Nursing Home,Outbreak Closed,2020-03-31,28,*
Wythe,Envoy of Williamsburg,Nursing Home,Outbreak in Progress,2020-05-24,35,*
York,Regency Healthcare Center,Nursing Home,Pending Closure,2020-05-11,*,0
