"Healthcare Provider","Doses Administered","Doses Received"
"George Mason University MAP Clinic- Manassas",2699,3200
"Glade Pharmacy",1384,1075
"Greater Prince William CHC Evergreen",526,450
"Greater Prince William Community Health Center",887,1040
"Green Rock Correctional Center",1714,2000
"Greensville Correctional Center",1906,1700
"Gretna Drug Company",1021,900
"Guadalupe Free Clinic",555,520
"Halifax Pharmacy",673,800
"Haynesville Correctional Center",901,1000
"HCA - CJW Medical Center - Chippenham Campus",9789,9475
"HCA - Henrico Doctor's Hospital",7880,6910
"HCA - John Randolph Medical Center",1233,1115
"HCA - LewisGale Hospital Montgomery",1257,1175
"HCA - LewisGale Hospital Pulaski",626,575
"HCA - Lewis-Gale Medical Center",3460,3211
"HCA - Reston Hospital Center",3947,3755
"HCA - Spotsylvania Regional Medical Center",1452,1360
"HCA-Stonesprings Hospital Center-Employee Health",834,710
"Healthtrust Supply Chain - Richmond Shared Services",1025,3579
HealthWorks-Lynchburg,262,950
"Healthy Community Health Centers- Stone Port",614,800
"Highland Medical Center",600,720
"HMTHD-HAMPTONCITY-VICTORIA CENTER",7199,7620
HNVHD-HANOVERCOHD,10215,11900
"Hope Pharmacy",331,500
"Inova Occupational Health",156362,150190
"Jones & Counts Pharmacy",489,500
"Kaiser - Generic Site",24743,19975
"KROGER Unspecified on Peters Creek Rd In Roanoke",7785,5900
"Lawrenceville Correctional Center",364,500
LENHD-LEECO,625,600
LENHD-SCOTTCOHD,769,1000
LENHD-WISECO/CITYOFNORTON,7139,7710
"LFXHD-Frederick-Winchester HD-MED",7838,10500
"Longwood University",929,1600
"Loudoun County Fire & Rescue",973,0
LOUHD-LOUDOUNCOHD-HERITAGE,45417,45530
"LYNCHBURG FIRE DEPARTMENT",2888,2245
"Main Street Pharmacy",495,550
"Mansilla Medical Practice",444,500
"Marion Correctional",1545,3200
"Martin's Pharmacy of PULASKI",2605,3025
"Mary Washington Hospital (MediCorp Health System)",43567,44225
"MCV/VCU Health System",36654,36670
"Michael's Pharmacy",2235,2800
"MTRHD-SMYTH CO Health Department",22584,27365
"MY DR'S PHARMACY",499,500
"Neighborhood Health - 2 East Glebe",693,970
"Neighborhood Health - Casey",835,1005
"Neighborhood Health - Mt. Vernon - South County",1547,1058
"New Horizons Healthcare",557,570
"NORHD-NORFOLK CITY HD SOUTHAMPTON",12003,15550
"Northern Virginia Mental Health Institute- Employee Health",579,700
"Nottoway Correctional Center",1147,1600
"Novant Health - UVA Culpeper Medical Center",5664,5340
"Novant Health UVA Health System Bristow Run Family Medicine",529,380
"Novant Health UVA Health System Bull Run Family Medicine- Manassas",563,1410
"Novant Health UVA Health System Prince William Medical Center",18493,19570
"NRHD-MONTGOMERY CO Health Department",24409,22360
"Orange Family Physicians",1257,1800
"Otolaryngology Associates",617,0
"PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic",801,1140
"Patient First- Corporate",555,610
"PENINSULA HEALTH DISTRICT",14984,14700
"Peoples Pharmacy LLC",449,800
"PHARMHEALTH EXPRESS PHARMACY & WELLNESS",680,650
"Pitt/DanvilleHD-DANVILLE CITY HEALTH DEPARTMENT",2047,2900
"PORTSMOUTH HD-CLINIC",4866,5910
"PRINCE EDWARD HD",720,1640
"PRINCE WILLIAM HEALTH DEPT / WOODBRIDGE CLINIC",17485,21200
"Pulmonary Associates of Richmond",636,500
"RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT-ORANGE HD",11719,11500
"Red Onion State Prison",3503,3300
RICHD,25674,23520
"River Valley Healthcare Associates",541,950
"Riverside Doctors' Hospital Williamsburg",9017,11230
"Riverside Regional Medical Center",27900,30136
"Riverside Shore Memorial Hospital",4705,5433
"Riverside Tapphannock Hospital",786,1000
"Riverside Walter Reed Hospital",12188,13877
"ROAHD-RoanokeCity Health Department",18676,16995
"Rockbridge Area Health Center",987,1000
"Rotz Pharmacy",539,500
"Safeway RX-#1428",292,630
"Safeway Rx-#1702",961,2100
"Safeway Rx-#3250",330,750
"Seaside Health Center at Atlantic Shores Wellness Clinic",504,500
"Sentara CarePlex Occupational Health",4210,4816
"Sentara Clarksville Family Practice",649,700
"Sentara Family Medicine & Pediatrics - Edinburgh",923,0
"Sentara Family Medicine Physicians-Dumfries",659,700
"Sentara Family Medicine Physicians-Suffolk",965,80
"Sentara Halifax Primary Care",639,700
"Sentara Halifax Regional Hospital - Occupational Health",1143,645
"Sentara Internal Medicine Physicians - Kempsville",1250,2990
"Sentara Internal Medicine Physicians - Port Warwick",1092,5972
"Sentara Leigh Occupational Health",6164,5820
"Sentara Martha Jefferson Hospital- Occupational Health",4601,4905
"Sentara Mass Vaccination Hampton Roads",9575,0
"Sentara New Town Internal Medicine",1236,1091
"Sentara Northern VA Medical Ctr. - Occupational Health",2537,2230
"Sentara OBICI - Occupational Health",2843,5405
"Sentara Occupational Health",8466,16254
"Sentara Princess Anne - Occupational Health",4593,1790
"Sentara RMH Medical Center- Occupational Health",4456,3760
"Sentara Virginia Beach Occupational Health",5270,4495
"Sentara Williamsburg - Occupational Health",3063,2340
"Sheltering Arms Institute",1007,200
"Small Provider (<500 Doses)",253,244
"Small Provider (<500 Doses)",31,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",317,430
"Small Provider (<500 Doses)",141,300
"Small Provider (<500 Doses)",90,0
"Small Provider (<500 Doses)",46,60
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",251,200
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",22,0
"Small Provider (<500 Doses)",373,400
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",170,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",421,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",76,0
"Small Provider (<500 Doses)",1,100
"Small Provider (<500 Doses)",301,300
"Small Provider (<500 Doses)",198,200
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",229,300
"Small Provider (<500 Doses)",153,400
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",47,200
"Small Provider (<500 Doses)",109,0
"Small Provider (<500 Doses)",244,260
"Small Provider (<500 Doses)",50,50
"Small Provider (<500 Doses)",220,185
"Small Provider (<500 Doses)",273,0
"Small Provider (<500 Doses)",108,0
"Small Provider (<500 Doses)",321,230
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",100,100
"Small Provider (<500 Doses)",405,400
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",18,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",111,0
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",332,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",213,200
"Small Provider (<500 Doses)",230,400
"Small Provider (<500 Doses)",226,400
"Small Provider (<500 Doses)",360,490
"Small Provider (<500 Doses)",213,200
"Small Provider (<500 Doses)",39,100
"Small Provider (<500 Doses)",103,100
"Small Provider (<500 Doses)",269,245
"Small Provider (<500 Doses)",57,100
"Small Provider (<500 Doses)",49,0
"Small Provider (<500 Doses)",162,250
"Small Provider (<500 Doses)",19,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",168,0
"Small Provider (<500 Doses)",47,45
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",57,60
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",19,20
"Small Provider (<500 Doses)",30,70
"Small Provider (<500 Doses)",48,90
"Small Provider (<500 Doses)",53,60
"Small Provider (<500 Doses)",30,80
"Small Provider (<500 Doses)",19,20
"Small Provider (<500 Doses)",10,50
"Small Provider (<500 Doses)",30,0
"Small Provider (<500 Doses)",56,120
"Small Provider (<500 Doses)",48,80
"Small Provider (<500 Doses)",180,140
"Small Provider (<500 Doses)",147,80
"Small Provider (<500 Doses)",10,110
"Small Provider (<500 Doses)",77,0
"Small Provider (<500 Doses)",31,30
"Small Provider (<500 Doses)",12,40
"Small Provider (<500 Doses)",10,20
"Small Provider (<500 Doses)",110,100
"Small Provider (<500 Doses)",10,30
"Small Provider (<500 Doses)",55,60
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",100,100
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",30,0
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",47,400
"Small Provider (<500 Doses)",219,300
"Small Provider (<500 Doses)",73,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",86,0
"Small Provider (<500 Doses)",112,0
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",34,0
"Small Provider (<500 Doses)",28,0
"Small Provider (<500 Doses)",314,390
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",200,300
"Small Provider (<500 Doses)",108,0
"Small Provider (<500 Doses)",118,0
"Small Provider (<500 Doses)",99,200
"Small Provider (<500 Doses)",299,300
"Small Provider (<500 Doses)",172,320
"Small Provider (<500 Doses)",197,300
"Small Provider (<500 Doses)",5,10
"Small Provider (<500 Doses)",308,270
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",4,20
"Small Provider (<500 Doses)",340,185
"Small Provider (<500 Doses)",330,400
"Small Provider (<500 Doses)",18,20
"Small Provider (<500 Doses)",14,208
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",270,450
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",126,200
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",351,450
"Small Provider (<500 Doses)",116,200
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",40,0
"Small Provider (<500 Doses)",135,140
"Small Provider (<500 Doses)",456,400
"Small Provider (<500 Doses)",111,150
"Small Provider (<500 Doses)",478,465
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",205,220
"Small Provider (<500 Doses)",98,50
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",22,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",280,400
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",38,50
"Small Provider (<500 Doses)",27,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",55,100
"Small Provider (<500 Doses)",129,300
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",198,0
"Small Provider (<500 Doses)",33,0
"Small Provider (<500 Doses)",133,0
"Small Provider (<500 Doses)",124,0
"Small Provider (<500 Doses)",325,100
"Small Provider (<500 Doses)",330,0
"Small Provider (<500 Doses)",331,0
"Small Provider (<500 Doses)",392,100
"Small Provider (<500 Doses)",149,0
"Small Provider (<500 Doses)",240,0
"Small Provider (<500 Doses)",260,0
"Small Provider (<500 Doses)",475,0
"Small Provider (<500 Doses)",296,0
"Small Provider (<500 Doses)",289,100
"Small Provider (<500 Doses)",452,100
"Small Provider (<500 Doses)",106,100
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",26,0
"Small Provider (<500 Doses)",179,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",174,250
"Small Provider (<500 Doses)",37,0
"Small Provider (<500 Doses)",59,0
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",68,0
"Small Provider (<500 Doses)",25,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",98,100
"Small Provider (<500 Doses)",105,100
"Small Provider (<500 Doses)",201,200
"Small Provider (<500 Doses)",125,300
"Small Provider (<500 Doses)",125,130
"Small Provider (<500 Doses)",130,130
"Small Provider (<500 Doses)",60,0
"Small Provider (<500 Doses)",80,40
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",60,110
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",106,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",308,300
"Small Provider (<500 Doses)",44,160
"Small Provider (<500 Doses)",305,300
"Small Provider (<500 Doses)",343,100
"Small Provider (<500 Doses)",108,100
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",107,160
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",18,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",18,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",427,385
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",17,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",35,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",18,0
"Small Provider (<500 Doses)",26,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",39,0
"Small Provider (<500 Doses)",15,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",34,25
"Small Provider (<500 Doses)",233,300
"Small Provider (<500 Doses)",150,135
"Small Provider (<500 Doses)",404,200
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",12,0
"Small Provider (<500 Doses)",44,0
"Small Provider (<500 Doses)",63,0
"Small Provider (<500 Doses)",213,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",359,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",10,0
"Small Provider (<500 Doses)",298,250
"Small Provider (<500 Doses)",59,100
"Small Provider (<500 Doses)",0,300
"Small Provider (<500 Doses)",167,200
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",421,100
"Small Provider (<500 Doses)",186,100
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",160,100
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",419,400
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",30,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",156,0
"Small Provider (<500 Doses)",46,60
"Small Provider (<500 Doses)",134,200
"Small Provider (<500 Doses)",99,100
"Small Provider (<500 Doses)",137,200
"Small Provider (<500 Doses)",147,0
"Small Provider (<500 Doses)",165,150
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",345,300
"Small Provider (<500 Doses)",82,0
"Small Provider (<500 Doses)",110,100
"Small Provider (<500 Doses)",436,400
"Small Provider (<500 Doses)",36,0
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",168,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",277,320
"Small Provider (<500 Doses)",151,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",168,200
"Small Provider (<500 Doses)",133,150
"Small Provider (<500 Doses)",339,300
"Small Provider (<500 Doses)",77,100
"Small Provider (<500 Doses)",74,160
"Small Provider (<500 Doses)",300,0
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",182,200
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",33,0
"Small Provider (<500 Doses)",230,200
"Small Provider (<500 Doses)",62,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",113,100
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",190,211
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",241,400
"Small Provider (<500 Doses)",308,400
"Small Provider (<500 Doses)",54,100
"Small Provider (<500 Doses)",136,400
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",499,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",226,200
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",167,190
"Small Provider (<500 Doses)",26,0
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",96,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",31,0
"Small Provider (<500 Doses)",190,200
"Small Provider (<500 Doses)",197,100
"Small Provider (<500 Doses)",105,0
"Small Provider (<500 Doses)",149,200
"Small Provider (<500 Doses)",109,0
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",4,100
"Small Provider (<500 Doses)",366,300
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",109,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",115,200
"Small Provider (<500 Doses)",63,0
"Small Provider (<500 Doses)",253,200
"Small Provider (<500 Doses)",18,100
"Small Provider (<500 Doses)",189,200
"Small Provider (<500 Doses)",185,200
"Small Provider (<500 Doses)",12,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",14,0
"Small Provider (<500 Doses)",32,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",21,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",54,0
"Small Provider (<500 Doses)",17,0
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",0,0
"Small Provider (<500 Doses)",98,0
"Small Provider (<500 Doses)",113,110
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",95,100
"Small Provider (<500 Doses)",165,0
"Small Provider (<500 Doses)",37,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",50,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",73,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",95,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",191,0
"Small Provider (<500 Doses)",73,0
"Small Provider (<500 Doses)",63,0
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",71,0
"Small Provider (<500 Doses)",115,0
"Small Provider (<500 Doses)",21,0
"Small Provider (<500 Doses)",164,0
"Small Provider (<500 Doses)",43,0
"Small Provider (<500 Doses)",55,0
"Small Provider (<500 Doses)",85,0
"Small Provider (<500 Doses)",54,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",77,0
"Small Provider (<500 Doses)",25,0
"Small Provider (<500 Doses)",41,0
"Small Provider (<500 Doses)",413,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",36,0
"Small Provider (<500 Doses)",14,0
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",96,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",17,0
"Small Provider (<500 Doses)",35,0
"Small Provider (<500 Doses)",29,0
"Small Provider (<500 Doses)",15,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",368,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",122,0
"Small Provider (<500 Doses)",248,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",33,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",249,250
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",115,0
"Small Provider (<500 Doses)",11,0
