Healthcare Provider,Doses Administered,Doses Received,Date
CVHS - Buckingham,533,800,2021-02-24
CVS and Walgreens (includes LTCF & Community Administrations),175734,223670,2021-02-24
DAILY PLANET HEALTH CARE FOR THE HOMELESS CLINIC,2020,1800,2021-02-24
DC Military Clinic,521,0,2021-02-24
Deerfield Correctional Center,1635,1500,2021-02-24
ELKTON FAMILY PHARMACY,265,600,2021-02-24
Emergency Services Solutions Inc.,2012,2065,2021-02-24
EMS - Chesterfield Fire and EMS,3296,3257,2021-02-24
ESHD-ACCOMACKCOHD,2787,2855,2021-02-24
ESRH - Atlantic Community Health Center,952,350,2021-02-24
ESRH - Chincoteague Island Community Health,663,250,2021-02-24
ESRH - Eastville Community Health Center,1045,450,2021-02-24
ESRH - Onley Community Health Center,1110,3100,2021-02-24
EVMS Health Services - Occupational Health,2169,3900,2021-02-24
Fairfax County HD-Joseph Willard Health Center,88235,92193,2021-02-24
Fairfax County Public Safety Occupational Health Center,4356,5430,2021-02-24
Fairfax Pediatric Associates PC,534,0,2021-02-24
Family Medical Care of Smithfield,628,600,2021-02-24
Fauquier Hospital,4185,5475,2021-02-24
Fluvanna Correctional Center for Women,2277,2300,2021-02-24
Food City Pharmacy #820,355,1400,2021-02-24
Food City Pharmacy #823,245,600,2021-02-24
Food City Pharmacy #839,527,0,2021-02-24
Food City Pharmacy #858,531,700,2021-02-24
Food City Pharmacy #859,535,750,2021-02-24
Food City Pharmacy #890,352,1500,2021-02-24
Fort Norfolk Plaza Urgent Care & Primary Care,669,800,2021-02-24
FPN - Piedmont Family Practice,1486,1250,2021-02-24
FREDERICKSBURG CITY HD,9450,11940,2021-02-24
Gainesville Pharmacy,738,650,2021-02-24
George Mason University MAP Clinic- Manassas,2699,3200,2021-02-24
Glade Pharmacy,1384,1075,2021-02-24
Greater Prince William CHC Evergreen,526,450,2021-02-24
Greater Prince William Community Health Center,887,1040,2021-02-24
Green Rock Correctional Center,1714,2000,2021-02-24
Greensville Correctional Center,1906,1700,2021-02-24
Gretna Drug Company,1021,900,2021-02-24
Guadalupe Free Clinic,555,520,2021-02-24
Halifax Pharmacy,673,800,2021-02-24
Haynesville Correctional Center,901,1000,2021-02-24
HCA - CJW Medical Center - Chippenham Campus,9789,9475,2021-02-24
HCA - Henrico Doctor's Hospital,7880,6910,2021-02-24
HCA - John Randolph Medical Center,1233,1115,2021-02-24
HCA - LewisGale Hospital Montgomery,1257,1175,2021-02-24
HCA - LewisGale Hospital Pulaski,626,575,2021-02-24
HCA - Lewis-Gale Medical Center,3460,3211,2021-02-24
HCA - Reston Hospital Center,3947,3755,2021-02-24
HCA - Spotsylvania Regional Medical Center,1452,1360,2021-02-24
HCA-Stonesprings Hospital Center-Employee Health,834,710,2021-02-24
Healthtrust Supply Chain - Richmond Shared Services,1025,3579,2021-02-24
HealthWorks-Lynchburg,262,950,2021-02-24
Healthy Community Health Centers- Stone Port,614,800,2021-02-24
Highland Medical Center,600,720,2021-02-24
HMTHD-HAMPTONCITY-VICTORIA CENTER,7199,7620,2021-02-24
HNVHD-HANOVERCOHD,10215,11900,2021-02-24
Hope Pharmacy,331,500,2021-02-24
Inova Occupational Health,156362,150190,2021-02-24
Jones & Counts Pharmacy,489,500,2021-02-24
Kaiser - Generic Site,24743,19975,2021-02-24
KROGER Unspecified on Peters Creek Rd In Roanoke,7785,5900,2021-02-24
Lawrenceville Correctional Center,364,500,2021-02-24
LENHD-LEECO,625,600,2021-02-24
LENHD-SCOTTCOHD,769,1000,2021-02-24
LENHD-WISECO/CITYOFNORTON,7139,7710,2021-02-24
LFXHD-Frederick-Winchester HD-MED,7838,10500,2021-02-24
Longwood University,929,1600,2021-02-24
Loudoun County Fire & Rescue,973,0,2021-02-24
LOUHD-LOUDOUNCOHD-HERITAGE,45417,45530,2021-02-24
LYNCHBURG FIRE DEPARTMENT,2888,2245,2021-02-24
Main Street Pharmacy,495,550,2021-02-24
Mansilla Medical Practice,444,500,2021-02-24
Marion Correctional,1545,3200,2021-02-24
Martin's Pharmacy of PULASKI,2605,3025,2021-02-24
Mary Washington Hospital (MediCorp Health System),43567,44225,2021-02-24
MCV/VCU Health System,36654,36670,2021-02-24
Michael's Pharmacy,2235,2800,2021-02-24
MTRHD-SMYTH CO Health Department,22584,27365,2021-02-24
MY DR'S PHARMACY,499,500,2021-02-24
Neighborhood Health - 2 East Glebe,693,970,2021-02-24
Neighborhood Health - Casey,835,1005,2021-02-24
Neighborhood Health - Mt. Vernon - South County,1547,1058,2021-02-24
New Horizons Healthcare,557,570,2021-02-24
NORHD-NORFOLK CITY HD SOUTHAMPTON,12003,15550,2021-02-24
Northern Virginia Mental Health Institute- Employee Health,579,700,2021-02-24
Nottoway Correctional Center,1147,1600,2021-02-24
Novant Health - UVA Culpeper Medical Center,5664,5340,2021-02-24
Novant Health UVA Health System Bristow Run Family Medicine,529,380,2021-02-24
Novant Health UVA Health System Bull Run Family Medicine- Manassas,563,1410,2021-02-24
Novant Health UVA Health System Prince William Medical Center,18493,19570,2021-02-24
NRHD-MONTGOMERY CO Health Department,24409,22360,2021-02-24
Orange Family Physicians,1257,1800,2021-02-24
Otolaryngology Associates,617,0,2021-02-24
PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic,801,1140,2021-02-24
Patient First- Corporate,555,610,2021-02-24
PENINSULA HEALTH DISTRICT,14984,14700,2021-02-24
Peoples Pharmacy LLC,449,800,2021-02-24
PHARMHEALTH EXPRESS PHARMACY & WELLNESS,680,650,2021-02-24
Pitt/DanvilleHD-DANVILLE CITY HEALTH DEPARTMENT,2047,2900,2021-02-24
PORTSMOUTH HD-CLINIC,4866,5910,2021-02-24
PRINCE EDWARD HD,720,1640,2021-02-24
PRINCE WILLIAM HEALTH DEPT / WOODBRIDGE CLINIC,17485,21200,2021-02-24
Pulmonary Associates of Richmond,636,500,2021-02-24
RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT-ORANGE HD,11719,11500,2021-02-24
Red Onion State Prison,3503,3300,2021-02-24
RICHD,25674,23520,2021-02-24
River Valley Healthcare Associates,541,950,2021-02-24
Riverside Doctors' Hospital Williamsburg,9017,11230,2021-02-24
Riverside Regional Medical Center,27900,30136,2021-02-24
Riverside Shore Memorial Hospital,4705,5433,2021-02-24
Riverside Tapphannock Hospital,786,1000,2021-02-24
Riverside Walter Reed Hospital,12188,13877,2021-02-24
ROAHD-RoanokeCity Health Department,18676,16995,2021-02-24
Rockbridge Area Health Center,987,1000,2021-02-24
Rotz Pharmacy,539,500,2021-02-24
Safeway RX-#1428,292,630,2021-02-24
Safeway Rx-#1702,961,2100,2021-02-24
Safeway Rx-#3250,330,750,2021-02-24
Seaside Health Center at Atlantic Shores Wellness Clinic,504,500,2021-02-24
Sentara CarePlex Occupational Health,4210,4816,2021-02-24
Sentara Clarksville Family Practice,649,700,2021-02-24
Sentara Family Medicine & Pediatrics - Edinburgh,923,0,2021-02-24
Sentara Family Medicine Physicians-Dumfries,659,700,2021-02-24
Sentara Family Medicine Physicians-Suffolk,965,80,2021-02-24
Sentara Halifax Primary Care,639,700,2021-02-24
Sentara Halifax Regional Hospital - Occupational Health,1143,645,2021-02-24
Sentara Internal Medicine Physicians - Kempsville,1250,2990,2021-02-24
Sentara Internal Medicine Physicians - Port Warwick,1092,5972,2021-02-24
Sentara Leigh Occupational Health,6164,5820,2021-02-24
Sentara Martha Jefferson Hospital- Occupational Health,4601,4905,2021-02-24
Sentara Mass Vaccination Hampton Roads,9575,0,2021-02-24
Sentara New Town Internal Medicine,1236,1091,2021-02-24
Sentara Northern VA Medical Ctr. - Occupational Health,2537,2230,2021-02-24
Sentara OBICI - Occupational Health,2843,5405,2021-02-24
Sentara Occupational Health,8466,16254,2021-02-24
Sentara Princess Anne - Occupational Health,4593,1790,2021-02-24
Sentara RMH Medical Center- Occupational Health,4456,3760,2021-02-24
Sentara Virginia Beach Occupational Health,5270,4495,2021-02-24
Sentara Williamsburg - Occupational Health,3063,2340,2021-02-24
Sheltering Arms Institute,1007,200,2021-02-24
Small Provider (<500 Doses),253,244,2021-02-24
Small Provider (<500 Doses),31,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),317,430,2021-02-24
Small Provider (<500 Doses),141,300,2021-02-24
Small Provider (<500 Doses),90,0,2021-02-24
Small Provider (<500 Doses),46,60,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),251,200,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),22,0,2021-02-24
Small Provider (<500 Doses),373,400,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),170,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),421,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),76,0,2021-02-24
Small Provider (<500 Doses),1,100,2021-02-24
Small Provider (<500 Doses),301,300,2021-02-24
Small Provider (<500 Doses),198,200,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),229,300,2021-02-24
Small Provider (<500 Doses),153,400,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),47,200,2021-02-24
Small Provider (<500 Doses),109,0,2021-02-24
Small Provider (<500 Doses),244,260,2021-02-24
Small Provider (<500 Doses),50,50,2021-02-24
Small Provider (<500 Doses),220,185,2021-02-24
Small Provider (<500 Doses),273,0,2021-02-24
Small Provider (<500 Doses),108,0,2021-02-24
Small Provider (<500 Doses),321,230,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),100,100,2021-02-24
Small Provider (<500 Doses),405,400,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),18,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),111,0,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),332,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),213,200,2021-02-24
Small Provider (<500 Doses),230,400,2021-02-24
Small Provider (<500 Doses),226,400,2021-02-24
Small Provider (<500 Doses),360,490,2021-02-24
Small Provider (<500 Doses),213,200,2021-02-24
Small Provider (<500 Doses),39,100,2021-02-24
Small Provider (<500 Doses),103,100,2021-02-24
Small Provider (<500 Doses),269,245,2021-02-24
Small Provider (<500 Doses),57,100,2021-02-24
Small Provider (<500 Doses),49,0,2021-02-24
Small Provider (<500 Doses),162,250,2021-02-24
Small Provider (<500 Doses),19,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),168,0,2021-02-24
Small Provider (<500 Doses),47,45,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),57,60,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),19,20,2021-02-24
Small Provider (<500 Doses),30,70,2021-02-24
Small Provider (<500 Doses),48,90,2021-02-24
Small Provider (<500 Doses),53,60,2021-02-24
Small Provider (<500 Doses),30,80,2021-02-24
Small Provider (<500 Doses),19,20,2021-02-24
Small Provider (<500 Doses),10,50,2021-02-24
Small Provider (<500 Doses),30,0,2021-02-24
Small Provider (<500 Doses),56,120,2021-02-24
Small Provider (<500 Doses),48,80,2021-02-24
Small Provider (<500 Doses),180,140,2021-02-24
Small Provider (<500 Doses),147,80,2021-02-24
Small Provider (<500 Doses),10,110,2021-02-24
Small Provider (<500 Doses),77,0,2021-02-24
Small Provider (<500 Doses),31,30,2021-02-24
Small Provider (<500 Doses),12,40,2021-02-24
Small Provider (<500 Doses),10,20,2021-02-24
Small Provider (<500 Doses),110,100,2021-02-24
Small Provider (<500 Doses),10,30,2021-02-24
Small Provider (<500 Doses),55,60,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),100,100,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),30,0,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),47,400,2021-02-24
Small Provider (<500 Doses),219,300,2021-02-24
Small Provider (<500 Doses),73,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),86,0,2021-02-24
Small Provider (<500 Doses),112,0,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),34,0,2021-02-24
Small Provider (<500 Doses),28,0,2021-02-24
Small Provider (<500 Doses),314,390,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),200,300,2021-02-24
Small Provider (<500 Doses),108,0,2021-02-24
Small Provider (<500 Doses),118,0,2021-02-24
Small Provider (<500 Doses),99,200,2021-02-24
Small Provider (<500 Doses),299,300,2021-02-24
Small Provider (<500 Doses),172,320,2021-02-24
Small Provider (<500 Doses),197,300,2021-02-24
Small Provider (<500 Doses),5,10,2021-02-24
Small Provider (<500 Doses),308,270,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),4,20,2021-02-24
Small Provider (<500 Doses),340,185,2021-02-24
Small Provider (<500 Doses),330,400,2021-02-24
Small Provider (<500 Doses),18,20,2021-02-24
Small Provider (<500 Doses),14,208,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),270,450,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),126,200,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),351,450,2021-02-24
Small Provider (<500 Doses),116,200,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),40,0,2021-02-24
Small Provider (<500 Doses),135,140,2021-02-24
Small Provider (<500 Doses),456,400,2021-02-24
Small Provider (<500 Doses),111,150,2021-02-24
Small Provider (<500 Doses),478,465,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),205,220,2021-02-24
Small Provider (<500 Doses),98,50,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),22,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),280,400,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),38,50,2021-02-24
Small Provider (<500 Doses),27,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),55,100,2021-02-24
Small Provider (<500 Doses),129,300,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),198,0,2021-02-24
Small Provider (<500 Doses),33,0,2021-02-24
Small Provider (<500 Doses),133,0,2021-02-24
Small Provider (<500 Doses),124,0,2021-02-24
Small Provider (<500 Doses),325,100,2021-02-24
Small Provider (<500 Doses),330,0,2021-02-24
Small Provider (<500 Doses),331,0,2021-02-24
Small Provider (<500 Doses),392,100,2021-02-24
Small Provider (<500 Doses),149,0,2021-02-24
Small Provider (<500 Doses),240,0,2021-02-24
Small Provider (<500 Doses),260,0,2021-02-24
Small Provider (<500 Doses),475,0,2021-02-24
Small Provider (<500 Doses),296,0,2021-02-24
Small Provider (<500 Doses),289,100,2021-02-24
Small Provider (<500 Doses),452,100,2021-02-24
Small Provider (<500 Doses),106,100,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),26,0,2021-02-24
Small Provider (<500 Doses),179,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),174,250,2021-02-24
Small Provider (<500 Doses),37,0,2021-02-24
Small Provider (<500 Doses),59,0,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),68,0,2021-02-24
Small Provider (<500 Doses),25,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),98,100,2021-02-24
Small Provider (<500 Doses),105,100,2021-02-24
Small Provider (<500 Doses),201,200,2021-02-24
Small Provider (<500 Doses),125,300,2021-02-24
Small Provider (<500 Doses),125,130,2021-02-24
Small Provider (<500 Doses),130,130,2021-02-24
Small Provider (<500 Doses),60,0,2021-02-24
Small Provider (<500 Doses),80,40,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),60,110,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),106,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),308,300,2021-02-24
Small Provider (<500 Doses),44,160,2021-02-24
Small Provider (<500 Doses),305,300,2021-02-24
Small Provider (<500 Doses),343,100,2021-02-24
Small Provider (<500 Doses),108,100,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),107,160,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),18,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),18,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),427,385,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),17,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),35,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),18,0,2021-02-24
Small Provider (<500 Doses),26,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),39,0,2021-02-24
Small Provider (<500 Doses),15,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),34,25,2021-02-24
Small Provider (<500 Doses),233,300,2021-02-24
Small Provider (<500 Doses),150,135,2021-02-24
Small Provider (<500 Doses),404,200,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),12,0,2021-02-24
Small Provider (<500 Doses),44,0,2021-02-24
Small Provider (<500 Doses),63,0,2021-02-24
Small Provider (<500 Doses),213,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),359,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),10,0,2021-02-24
Small Provider (<500 Doses),298,250,2021-02-24
Small Provider (<500 Doses),59,100,2021-02-24
Small Provider (<500 Doses),0,300,2021-02-24
Small Provider (<500 Doses),167,200,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),421,100,2021-02-24
Small Provider (<500 Doses),186,100,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),160,100,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),419,400,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),30,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),156,0,2021-02-24
Small Provider (<500 Doses),46,60,2021-02-24
Small Provider (<500 Doses),134,200,2021-02-24
Small Provider (<500 Doses),99,100,2021-02-24
Small Provider (<500 Doses),137,200,2021-02-24
Small Provider (<500 Doses),147,0,2021-02-24
Small Provider (<500 Doses),165,150,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),345,300,2021-02-24
Small Provider (<500 Doses),82,0,2021-02-24
Small Provider (<500 Doses),110,100,2021-02-24
Small Provider (<500 Doses),436,400,2021-02-24
Small Provider (<500 Doses),36,0,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),168,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),277,320,2021-02-24
Small Provider (<500 Doses),151,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),168,200,2021-02-24
Small Provider (<500 Doses),133,150,2021-02-24
