Healthcare Provider,Doses Administered,Doses Received
Neighborhood Health - 2 East Glebe,323,700
Neighborhood Health - Casey,742,1005
Neighborhood Health - Mt. Vernon - South County,1113,554
New Horizons Healthcare,557,570
NORHD-NORFOLK CITY HD SOUTHAMPTON,9641,14575
Northern Virginia Mental Health Institute- Employee Health,493,700
Nottoway Correctional Center,1053,1600
Novant Health - UVA Culpeper Medical Center,3920,5340
Novant Health UVA Health System Bull Run Family Medicine- Manassas,553,1100
Novant Health UVA Health System Prince William Medical Center,13968,16955
NRHD-MONTGOMERY CO Health Department,19287,18960
Orange Family Physicians,1156,1800
PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic,0,1980
"PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic, Pediatric, Behavioral, & Women's Health)",757,0
Patient First- Corporate,115,510
PENINSULA HEALTH DISTRICT,14237,14700
Peoples Pharmacy LLC,373,800
PHARMHEALTH EXPRESS PHARMACY & WELLNESS,545,650
Pitt/DanvilleHD-DANVILLE CITY HEALTH DEPARTMENT,1938,2900
PORTSMOUTH HD-CLINIC,4142,7410
PRINCE EDWARD HD,587,1640
PRINCE WILLIAM HEALTH DEPT / WOODBRIDGE CLINIC,15096,21200
Pulmonary Associates of Richmond,538,700
RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT-ORANGE HD,10162,8150
Red Onion State Prison,3216,3300
RICHD,20645,25273
River Valley Healthcare Associates,419,1350
Riverside Doctors' Hospital Williamsburg,6357,7615
Riverside Regional Medical Center,23027,30580
Riverside Shore Memorial Hospital,3715,4980
Riverside Tapphannock Hospital,3811,1000
Riverside Walter Reed Hospital,6161,8735
ROAHD-RoanokeCity Health Department,15965,15745
Rockbridge Area Health Center,850,1000
Rotz Pharmacy,316,500
Safeway RX-#1428,292,530
Safeway Rx-#1702,961,2100
Safeway Rx-#3250,330,570
Seaside Health Center at Atlantic Shores Wellness Clinic,495,500
Sentara CarePlex Occupational Health,3132,3909
Sentara Clarksville Family Practice,498,700
Sentara Family Medicine & Pediatrics - Edinburgh,733,0
Sentara Family Medicine Physicians-Dumfries,540,700
Sentara Family Medicine Physicians-Suffolk,772,0
Sentara Halifax Primary Care,488,700
Sentara Halifax Regional Hospital - Occupational Health,1051,615
Sentara Internal Medicine Physicians - Kempsville,951,2920
Sentara Internal Medicine Physicians - Port Warwick,799,5770
Sentara Leigh Occupational Health,5854,5490
Sentara Martha Jefferson Hospital- Occupational Health,4483,6325
Sentara Mass Vaccination Hampton Roads,9575,0
Sentara New Town Internal Medicine,881,900
Sentara Northern VA Medical Ctr. - Occupational Health,2430,2170
Sentara OBICI - Occupational Health,2600,5405
Sentara Occupational Health,8114,13609
Sentara Princess Anne - Occupational Health,4267,1530
Sentara RMH Medical Center- Occupational Health,4337,4210
Sentara Virginia Beach Occupational Health,5007,4295
Sentara Williamsburg - Occupational Health,2800,2435
Sheltering Arms Institute,945,1000
Small Provider (<500),0,0
Small Provider (<500),0,0
Small Provider (<500),0,0
Small Provider (<500),0,0
Small Provider (<500),0,0
Small Provider (<500),0,0
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,100
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,200
Small Provider (<500),0,300
Small Provider (<500),0,300
Small Provider (<500),0,300
Small Provider (<500),0,400
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,0
Small Provider (<500),1,30
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,0
Small Provider (<500),2,100
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),3,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,0
Small Provider (<500),4,100
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,0
Small Provider (<500),5,10
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),6,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),7,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,0
Small Provider (<500),8,20
Small Provider (<500),9,0
Small Provider (<500),9,0
Small Provider (<500),9,0
Small Provider (<500),9,0
Small Provider (<500),9,0
Small Provider (<500),9,0
Small Provider (<500),9,40
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,0
Small Provider (<500),10,20
Small Provider (<500),10,30
Small Provider (<500),10,50
Small Provider (<500),10,110
Small Provider (<500),11,0
Small Provider (<500),11,0
Small Provider (<500),11,0
Small Provider (<500),11,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),12,0
Small Provider (<500),13,0
Small Provider (<500),13,0
Small Provider (<500),13,0
Small Provider (<500),13,0
Small Provider (<500),13,0
Small Provider (<500),13,0
Small Provider (<500),14,0
Small Provider (<500),14,0
Small Provider (<500),14,0
Small Provider (<500),14,0
Small Provider (<500),14,0
Small Provider (<500),14,113
Small Provider (<500),15,0
Small Provider (<500),15,0
Small Provider (<500),15,0
Small Provider (<500),15,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),16,0
Small Provider (<500),17,0
Small Provider (<500),17,0
Small Provider (<500),17,0
Small Provider (<500),17,0
Small Provider (<500),17,200
Small Provider (<500),18,0
Small Provider (<500),18,0
Small Provider (<500),18,0
Small Provider (<500),18,0
Small Provider (<500),18,20
Small Provider (<500),18,100
Small Provider (<500),19,0
Small Provider (<500),19,0
Small Provider (<500),19,0
Small Provider (<500),19,0
Small Provider (<500),19,20
Small Provider (<500),20,0
Small Provider (<500),20,0
Small Provider (<500),20,0
Small Provider (<500),20,0
Small Provider (<500),21,0
Small Provider (<500),21,0
Small Provider (<500),21,0
Small Provider (<500),21,0
Small Provider (<500),21,100
Small Provider (<500),22,0
Small Provider (<500),22,0
Small Provider (<500),22,100
Small Provider (<500),23,0
Small Provider (<500),23,0
Small Provider (<500),23,0
Small Provider (<500),23,150
Small Provider (<500),24,0
Small Provider (<500),24,0
Small Provider (<500),24,0
Small Provider (<500),24,0
Small Provider (<500),24,0
Small Provider (<500),24,0
Small Provider (<500),25,0
Small Provider (<500),25,0
Small Provider (<500),25,0
Small Provider (<500),26,0
Small Provider (<500),26,0
Small Provider (<500),26,0
Small Provider (<500),26,0
Small Provider (<500),27,0
Small Provider (<500),27,0
Small Provider (<500),27,0
Small Provider (<500),29,0
Small Provider (<500),29,0
Small Provider (<500),29,30
Small Provider (<500),30,0
Small Provider (<500),30,70
Small Provider (<500),30,80
Small Provider (<500),30,100
Small Provider (<500),31,0
Small Provider (<500),31,30
Small Provider (<500),31,140
Small Provider (<500),32,0
Small Provider (<500),32,0
Small Provider (<500),32,0
Small Provider (<500),33,0
Small Provider (<500),33,0
Small Provider (<500),33,30
Small Provider (<500),33,100
Small Provider (<500),34,0
Small Provider (<500),34,25
Small Provider (<500),36,0
Small Provider (<500),36,0
Small Provider (<500),36,0
Small Provider (<500),37,0
Small Provider (<500),37,0
Small Provider (<500),37,0
Small Provider (<500),38,0
Small Provider (<500),39,0
Small Provider (<500),39,60
Small Provider (<500),39,80
Small Provider (<500),39,100
Small Provider (<500),40,0
Small Provider (<500),40,0
Small Provider (<500),41,0
Small Provider (<500),41,0
Small Provider (<500),41,40
Small Provider (<500),42,70
Small Provider (<500),43,0
Small Provider (<500),44,0
Small Provider (<500),44,0
Small Provider (<500),44,0
Small Provider (<500),44,0
Small Provider (<500),44,0
Small Provider (<500),46,0
Small Provider (<500),46,0
Small Provider (<500),46,0
Small Provider (<500),46,60
Small Provider (<500),46,60
Small Provider (<500),47,0
Small Provider (<500),47,45
Small Provider (<500),47,400
Small Provider (<500),48,0
Small Provider (<500),48,0
Small Provider (<500),49,0
Small Provider (<500),51,0
Small Provider (<500),51,100
Small Provider (<500),52,0
Small Provider (<500),52,0
Small Provider (<500),53,0
Small Provider (<500),53,60
Small Provider (<500),54,0
Small Provider (<500),55,0
Small Provider (<500),55,100
Small Provider (<500),55,100
Small Provider (<500),56,120
Small Provider (<500),57,0
Small Provider (<500),57,0
Small Provider (<500),57,0
Small Provider (<500),59,0
Small Provider (<500),60,0
Small Provider (<500),60,0
Small Provider (<500),60,0
Small Provider (<500),60,100
Small Provider (<500),60,110
Small Provider (<500),61,0
Small Provider (<500),61,0
Small Provider (<500),61,200
Small Provider (<500),62,0
Small Provider (<500),63,0
Small Provider (<500),63,0
Small Provider (<500),64,450
Small Provider (<500),65,0
Small Provider (<500),66,0
Small Provider (<500),67,0
Small Provider (<500),67,0
Small Provider (<500),67,0
Small Provider (<500),67,100
Small Provider (<500),68,0
Small Provider (<500),70,0
Small Provider (<500),70,100
Small Provider (<500),70,200
Small Provider (<500),72,0
Small Provider (<500),72,130
Small Provider (<500),74,0
Small Provider (<500),74,0
Small Provider (<500),74,160
Small Provider (<500),76,0
Small Provider (<500),76,0
Small Provider (<500),77,0
Small Provider (<500),80,40
Small Provider (<500),81,0
Small Provider (<500),82,0
Small Provider (<500),85,200
Small Provider (<500),86,200
Small Provider (<500),87,0
Small Provider (<500),87,0
Small Provider (<500),88,75
Small Provider (<500),88,100
Small Provider (<500),88,300
Small Provider (<500),89,0
Small Provider (<500),89,130
Small Provider (<500),90,0
Small Provider (<500),90,0
Small Provider (<500),91,0
Small Provider (<500),91,0
Small Provider (<500),93,0
Small Provider (<500),93,250
Small Provider (<500),94,200
Small Provider (<500),96,0
Small Provider (<500),96,300
Small Provider (<500),97,0
Small Provider (<500),97,0
Small Provider (<500),98,0
Small Provider (<500),98,50
Small Provider (<500),99,100
Small Provider (<500),99,100
Small Provider (<500),99,200
Small Provider (<500),100,100
Small Provider (<500),100,300
Small Provider (<500),102,100
Small Provider (<500),102,200
Small Provider (<500),103,100
Small Provider (<500),103,100
Small Provider (<500),103,200
Small Provider (<500),104,0
Small Provider (<500),104,0
Small Provider (<500),104,100
Small Provider (<500),105,80
Small Provider (<500),105,85
Small Provider (<500),106,0
Small Provider (<500),107,150
Small Provider (<500),107,300
Small Provider (<500),108,0
Small Provider (<500),108,100
Small Provider (<500),110,0
Small Provider (<500),110,0
Small Provider (<500),111,150
Small Provider (<500),112,0
Small Provider (<500),112,0
Small Provider (<500),112,0
Small Provider (<500),112,0
Small Provider (<500),112,200
Small Provider (<500),113,0
Small Provider (<500),115,0
Small Provider (<500),115,0
Small Provider (<500),115,0
Small Provider (<500),116,100
Small Provider (<500),117,200
Small Provider (<500),118,0
Small Provider (<500),118,0
Small Provider (<500),120,0
Small Provider (<500),121,0
Small Provider (<500),123,0
Small Provider (<500),124,0
Small Provider (<500),125,200
Small Provider (<500),126,0
Small Provider (<500),126,200
Small Provider (<500),127,0
Small Provider (<500),127,200
Small Provider (<500),128,0
Small Provider (<500),129,0
Small Provider (<500),129,200
Small Provider (<500),129,200
Small Provider (<500),130,0
Small Provider (<500),130,0
Small Provider (<500),130,300
Small Provider (<500),134,400
Small Provider (<500),138,0
Small Provider (<500),139,211
Small Provider (<500),141,0
Small Provider (<500),142,0
Small Provider (<500),142,300
Small Provider (<500),144,320
Small Provider (<500),146,200
Small Provider (<500),150,0
Small Provider (<500),151,220
Small Provider (<500),152,200
Small Provider (<500),153,100
Small Provider (<500),153,200
Small Provider (<500),154,0
Small Provider (<500),154,0
Small Provider (<500),157,0
Small Provider (<500),159,0
Small Provider (<500),160,200
Small Provider (<500),161,200
Small Provider (<500),161,300
Small Provider (<500),162,250
Small Provider (<500),167,0
Small Provider (<500),168,0
Small Provider (<500),168,0
Small Provider (<500),168,0
Small Provider (<500),169,0
Small Provider (<500),169,200
Small Provider (<500),170,0
Small Provider (<500),174,250
Small Provider (<500),175,430
Small Provider (<500),176,250
Small Provider (<500),180,0
Small Provider (<500),180,0
Small Provider (<500),180,140
Small Provider (<500),181,200
Small Provider (<500),184,0
Small Provider (<500),185,100
Small Provider (<500),186,200
Small Provider (<500),186,300
Small Provider (<500),190,450
Small Provider (<500),192,200
Small Provider (<500),194,320
Small Provider (<500),196,260
Small Provider (<500),197,0
Small Provider (<500),197,100
Small Provider (<500),198,200
Small Provider (<500),200,300
Small Provider (<500),202,0
Small Provider (<500),202,300
Small Provider (<500),203,400
Small Provider (<500),204,200
Small Provider (<500),205,0
Small Provider (<500),206,200
Small Provider (<500),207,0
Small Provider (<500),208,0
Small Provider (<500),210,0
Small Provider (<500),210,300
Small Provider (<500),212,300
Small Provider (<500),213,0
Small Provider (<500),215,335
Small Provider (<500),216,0
Small Provider (<500),218,0
Small Provider (<500),219,0
Small Provider (<500),219,0
Small Provider (<500),219,100
Small Provider (<500),224,230
Small Provider (<500),225,200
Small Provider (<500),228,185
Small Provider (<500),234,0
Small Provider (<500),234,0
Small Provider (<500),238,0
Small Provider (<500),238,400
Small Provider (<500),239,0
Small Provider (<500),239,0
Small Provider (<500),250,200
Small Provider (<500),251,45
Small Provider (<500),254,100
Small Provider (<500),255,300
Small Provider (<500),260,400
Small Provider (<500),276,400
Small Provider (<500),276,400
Small Provider (<500),280,200
Small Provider (<500),280,300
Small Provider (<500),280,400
Small Provider (<500),281,0
Small Provider (<500),286,0
Small Provider (<500),288,200
Small Provider (<500),292,0
Small Provider (<500),296,0
Small Provider (<500),297,300
Small Provider (<500),298,0
Small Provider (<500),299,0
Small Provider (<500),300,0
Small Provider (<500),300,0
Small Provider (<500),301,0
Small Provider (<500),304,0
Small Provider (<500),307,0
Small Provider (<500),308,270
Small Provider (<500),312,100
Small Provider (<500),314,390
Small Provider (<500),316,425
Small Provider (<500),325,0
Small Provider (<500),327,0
Small Provider (<500),327,425
Small Provider (<500),330,0
Small Provider (<500),332,0
Small Provider (<500),337,300
Small Provider (<500),339,290
Small Provider (<500),341,0
Small Provider (<500),344,0
Small Provider (<500),345,100
Small Provider (<500),369,100
Small Provider (<500),369,400
Small Provider (<500),386,400
Small Provider (<500),401,0
Small Provider (<500),409,400
Small Provider (<500),416,400
Small Provider (<500),421,0
Small Provider (<500),427,385
Small Provider (<500),433,400
Small Provider (<500),440,0
Small Provider (<500),456,400
Small Provider (<500),460,0
Small Provider (<500),472,450
Small Provider (<500),478,0
Small Provider (<500),478,435
Small Provider (<500),493,0
Small Provider (<500),496,380
Small Provider (<500),499,0
SMJMG- Martha Jefferson Internal Medicine,461,500
SMJMG- Palmyra Medical Associates,402,500
South Hill Family Medicine,970,1020
Sovah Health - Danville Hospital,5804,10470
Sovah Health - Martinsville Hospital,1505,8850
Sovah Occupational Employee Health Danville Hospital,3016,0
SPOTSYLVANIA CO HD-CH COMPLEX,537,100
SRMG- South Main Health Center,577,800
SRMG- Timber Way Health Center,482,800
SSHD-MECKLENBURG COUNTY HD,2479,4100
State Farm EU,1642,2300
Strasburg Pharmacy,444,900
Sussex 2 State Prison,1844,1100
The Medicine Shoppe Pharmacy 1500,484,600
The Prescription Shoppe,827,900
TRHD - Middlesex County Health Department,4278,5430
Twin County Regional Hospital,2474,2650
UVA Health System,40045,48200
ValleyHealth-Winchester Medical Center,46233,51175
Vandorn Apothecary Pharmacy,2463,4470
VBHD-Virginia Beach Health Department,26412,32925
VCU Community Memorial Hospital,2507,2990
VDH-703,622,1000
VDH-704,623,1000
VDH-705,686,1000
VDH-706,748,900
VDH-724,367,500
VDH-729,77,900
VDH-794,524,0
Vibra Hospital Of Richmond,0,500
Virginia Hospital Center,16434,17650
WalMart - Parent,2853,0
Westwood Pharmacy,21967,26200
WPHD-HENRY/MARTINSVILLE Health Department,3713,4600
WTHD-SUFFOLK CITY HD,7559,9500
