Healthcare Provider,Doses Administered,Doses Received,Date
CVFP - Walk In Care-Forest,638,840,2021-02-18
CVFP- Internal Medicine,660,304,2021-02-18
CVHD-LYNCHBURGCITYHD,2008,2839,2021-02-18
CVHS - Buckingham,347,800,2021-02-18
CVS and Walgreens (includes LTCF & community administrations),166829,178425,2021-02-18
DAILY PLANET HEALTH CARE FOR THE HOMELESS CLINIC,1700,1600,2021-02-18
Davidson's Pharmacy,0,650,2021-02-18
Deerfield Correctional Center,1509,1500,2021-02-18
ELKTON FAMILY PHARMACY,151,600,2021-02-18
Emergency Services Solutions Inc.,946,1090,2021-02-18
EMS - Chesterfield Fire and EMS,2774,3185,2021-02-18
ESHD-ACCOMACKCOHD,1896,3025,2021-02-18
ESRH - Atlantic Community Health Center,714,350,2021-02-18
ESRH - Chincoteague Island Community Health,537,250,2021-02-18
ESRH - Eastville Community Health Center,807,450,2021-02-18
ESRH - Onley Community Health Center,771,2640,2021-02-18
EVMS Health Services - Occupational Health,1455,1950,2021-02-18
Fairfax County HD-Joseph Willard Health Center,75303,80351,2021-02-18
Fairfax County Public Safety Occupational Health Center,3768,4830,2021-02-18
Fauquier Hospital,3561,5475,2021-02-18
FFPC - Fairfax Family Practice,662,0,2021-02-18
Fluvanna Correctional Center for Women,2065,2300,2021-02-18
Food City Pharmacy #820,285,1400,2021-02-18
Food City Pharmacy #823,208,600,2021-02-18
Food City Pharmacy #858,441,800,2021-02-18
Food City Pharmacy #859,464,850,2021-02-18
Food City Pharmacy #890,276,1500,2021-02-18
Fort Norfolk Plaza Urgent Care & Primary Care,529,800,2021-02-18
FPN - Piedmont Family Practice,717,1250,2021-02-18
FREDERICKSBURG CITY HD,7586,12140,2021-02-18
Gainesville Pharmacy,631,650,2021-02-18
George Mason University MAP Clinic- Manassas,1639,3200,2021-02-18
Glade Pharmacy,1086,1075,2021-02-18
Greater Prince William Community Health Center,811,1040,2021-02-18
Green Rock Correctional Center,1348,2000,2021-02-18
Greensville Correctional Center,1893,1700,2021-02-18
Gretna Drug Company,955,900,2021-02-18
Guadalupe Free Clinic,448,520,2021-02-18
Halifax Pharmacy,388,800,2021-02-18
Haynesville Correctional Center,750,1000,2021-02-18
HCA - CJW Medical Center - Chippenham Campus,9544,8995,2021-02-18
HCA - Henrico Doctor's Hospital,6689,6615,2021-02-18
HCA - John Randolph Medical Center,1233,1095,2021-02-18
HCA - LewisGale Hospital Montgomery,1247,1175,2021-02-18
HCA - LewisGale Hospital Pulaski,567,575,2021-02-18
HCA - Lewis-Gale Medical Center,3429,3091,2021-02-18
HCA - Reston Hospital Center,3762,3555,2021-02-18
HCA - Spotsylvania Regional Medical Center,1304,1160,2021-02-18
HCA-Stonesprings Hospital Center-Employee Health,800,675,2021-02-18
Healthtrust Supply Chain - Richmond Shared Services,773,7194,2021-02-18
HealthWorks-Lynchburg,203,500,2021-02-18
Healthy Community Health Centers- Stone Port,406,800,2021-02-18
Highland Medical Center,0,600,2021-02-18
"Highland Medical Center, Inc.",599,0,2021-02-18
HMTHD-HAMPTONCITY-VICTORIA CENTER,6547,7400,2021-02-18
HNVHD-HANOVERCOHD,7760,11900,2021-02-18
Hope Pharmacy,0,500,2021-02-18
Inova Occupational Health,132529,135175,2021-02-18
Inova VIP 360 Falls Church,660,0,2021-02-18
Jones & Counts Pharmacy,366,500,2021-02-18
Kaiser Generic,18704,16350,2021-02-18
Kroger Generic,5937,6980,2021-02-18
Lawrenceville Correctional Center,244,500,2021-02-18
LENHD-LEECO,424,600,2021-02-18
LENHD-SCOTTCOHD,471,1000,2021-02-18
LENHD-WISECO/CITYOFNORTON,6267,8240,2021-02-18
LFXHD-Frederick-Winchester HD-MED,7593,10500,2021-02-18
Longwood University,622,1600,2021-02-18
Loudoun County Fire & Rescue,973,0,2021-02-18
LOUHD-LOUDOUNCOHD-HERITAGE,35570,38705,2021-02-18
LYNCHBURG FIRE DEPARTMENT,2266,1970,2021-02-18
Main Street Pharmacy,428,550,2021-02-18
Marion Correctional,1239,3200,2021-02-18
Martin's Pharmacy of PULASKI,2059,2775,2021-02-18
Mary Washington Hospital (MediCorp Health System),37035,42275,2021-02-18
MCV/VCU Health System,32795,32190,2021-02-18
Medical Associates of Southwest VA,341,500,2021-02-18
Michael's Pharmacy,1461,2800,2021-02-18
MTRHD-SMYTH CO Health Department,18760,25415,2021-02-18
MY DR'S PHARMACY,287,500,2021-02-18
Neighborhood Health - 2 East Glebe,323,700,2021-02-18
Neighborhood Health - Casey,742,1005,2021-02-18
Neighborhood Health - Mt. Vernon - South County,1113,554,2021-02-18
New Horizons Healthcare,557,570,2021-02-18
NORHD-NORFOLK CITY HD SOUTHAMPTON,9641,14575,2021-02-18
Northern Virginia Mental Health Institute- Employee Health,493,700,2021-02-18
Nottoway Correctional Center,1053,1600,2021-02-18
Novant Health - UVA Culpeper Medical Center,3920,5340,2021-02-18
Novant Health UVA Health System Bull Run Family Medicine- Manassas,553,1100,2021-02-18
Novant Health UVA Health System Prince William Medical Center,13968,16955,2021-02-18
NRHD-MONTGOMERY CO Health Department,19287,18960,2021-02-18
Orange Family Physicians,1156,1800,2021-02-18
PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic,0,1980,2021-02-18
"PATHS COMM. MED. CENTER-DANVILLE (Adult Clinic, Pediatric, Behavioral, & Women's Health)",757,0,2021-02-18
Patient First- Corporate,115,510,2021-02-18
PENINSULA HEALTH DISTRICT,14237,14700,2021-02-18
Peoples Pharmacy LLC,373,800,2021-02-18
PHARMHEALTH EXPRESS PHARMACY & WELLNESS,545,650,2021-02-18
Pitt/DanvilleHD-DANVILLE CITY HEALTH DEPARTMENT,1938,2900,2021-02-18
PORTSMOUTH HD-CLINIC,4142,7410,2021-02-18
PRINCE EDWARD HD,587,1640,2021-02-18
PRINCE WILLIAM HEALTH DEPT / WOODBRIDGE CLINIC,15096,21200,2021-02-18
Pulmonary Associates of Richmond,538,700,2021-02-18
RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT-ORANGE HD,10162,8150,2021-02-18
Red Onion State Prison,3216,3300,2021-02-18
RICHD,20645,25273,2021-02-18
River Valley Healthcare Associates,419,1350,2021-02-18
Riverside Doctors' Hospital Williamsburg,6357,7615,2021-02-18
Riverside Regional Medical Center,23027,30580,2021-02-18
Riverside Shore Memorial Hospital,3715,4980,2021-02-18
Riverside Tapphannock Hospital,3811,1000,2021-02-18
Riverside Walter Reed Hospital,6161,8735,2021-02-18
ROAHD-RoanokeCity Health Department,15965,15745,2021-02-18
Rockbridge Area Health Center,850,1000,2021-02-18
Rotz Pharmacy,316,500,2021-02-18
Safeway RX-#1428,292,530,2021-02-18
Safeway Rx-#1702,961,2100,2021-02-18
Safeway Rx-#3250,330,570,2021-02-18
Seaside Health Center at Atlantic Shores Wellness Clinic,495,500,2021-02-18
Sentara CarePlex Occupational Health,3132,3909,2021-02-18
Sentara Clarksville Family Practice,498,700,2021-02-18
Sentara Family Medicine & Pediatrics - Edinburgh,733,0,2021-02-18
Sentara Family Medicine Physicians-Dumfries,540,700,2021-02-18
Sentara Family Medicine Physicians-Suffolk,772,0,2021-02-18
Sentara Halifax Primary Care,488,700,2021-02-18
Sentara Halifax Regional Hospital - Occupational Health,1051,615,2021-02-18
Sentara Internal Medicine Physicians - Kempsville,951,2920,2021-02-18
Sentara Internal Medicine Physicians - Port Warwick,799,5770,2021-02-18
Sentara Leigh Occupational Health,5854,5490,2021-02-18
Sentara Martha Jefferson Hospital- Occupational Health,4483,6325,2021-02-18
Sentara Mass Vaccination Hampton Roads,9575,0,2021-02-18
Sentara New Town Internal Medicine,881,900,2021-02-18
Sentara Northern VA Medical Ctr. - Occupational Health,2430,2170,2021-02-18
Sentara OBICI - Occupational Health,2600,5405,2021-02-18
Sentara Occupational Health,8114,13609,2021-02-18
Sentara Princess Anne - Occupational Health,4267,1530,2021-02-18
Sentara RMH Medical Center- Occupational Health,4337,4210,2021-02-18
Sentara Virginia Beach Occupational Health,5007,4295,2021-02-18
Sentara Williamsburg - Occupational Health,2800,2435,2021-02-18
Sheltering Arms Institute,945,1000,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,0,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,100,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,200,2021-02-18
Small Provider (<500),0,300,2021-02-18
Small Provider (<500),0,300,2021-02-18
Small Provider (<500),0,300,2021-02-18
Small Provider (<500),0,400,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,0,2021-02-18
Small Provider (<500),1,30,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,0,2021-02-18
Small Provider (<500),2,100,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),3,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,0,2021-02-18
Small Provider (<500),4,100,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,0,2021-02-18
Small Provider (<500),5,10,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),6,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),7,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,0,2021-02-18
Small Provider (<500),8,20,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,0,2021-02-18
Small Provider (<500),9,40,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,0,2021-02-18
Small Provider (<500),10,20,2021-02-18
Small Provider (<500),10,30,2021-02-18
Small Provider (<500),10,50,2021-02-18
Small Provider (<500),10,110,2021-02-18
Small Provider (<500),11,0,2021-02-18
Small Provider (<500),11,0,2021-02-18
Small Provider (<500),11,0,2021-02-18
Small Provider (<500),11,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),12,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),13,0,2021-02-18
Small Provider (<500),14,0,2021-02-18
Small Provider (<500),14,0,2021-02-18
Small Provider (<500),14,0,2021-02-18
Small Provider (<500),14,0,2021-02-18
Small Provider (<500),14,0,2021-02-18
Small Provider (<500),14,113,2021-02-18
Small Provider (<500),15,0,2021-02-18
Small Provider (<500),15,0,2021-02-18
Small Provider (<500),15,0,2021-02-18
Small Provider (<500),15,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),16,0,2021-02-18
Small Provider (<500),17,0,2021-02-18
Small Provider (<500),17,0,2021-02-18
Small Provider (<500),17,0,2021-02-18
Small Provider (<500),17,0,2021-02-18
Small Provider (<500),17,200,2021-02-18
Small Provider (<500),18,0,2021-02-18
Small Provider (<500),18,0,2021-02-18
Small Provider (<500),18,0,2021-02-18
Small Provider (<500),18,0,2021-02-18
Small Provider (<500),18,20,2021-02-18
Small Provider (<500),18,100,2021-02-18
Small Provider (<500),19,0,2021-02-18
Small Provider (<500),19,0,2021-02-18
Small Provider (<500),19,0,2021-02-18
Small Provider (<500),19,0,2021-02-18
Small Provider (<500),19,20,2021-02-18
Small Provider (<500),20,0,2021-02-18
Small Provider (<500),20,0,2021-02-18
Small Provider (<500),20,0,2021-02-18
Small Provider (<500),20,0,2021-02-18
Small Provider (<500),21,0,2021-02-18
Small Provider (<500),21,0,2021-02-18
Small Provider (<500),21,0,2021-02-18
Small Provider (<500),21,0,2021-02-18
Small Provider (<500),21,100,2021-02-18
Small Provider (<500),22,0,2021-02-18
Small Provider (<500),22,0,2021-02-18
Small Provider (<500),22,100,2021-02-18
Small Provider (<500),23,0,2021-02-18
Small Provider (<500),23,0,2021-02-18
Small Provider (<500),23,0,2021-02-18
Small Provider (<500),23,150,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),24,0,2021-02-18
Small Provider (<500),25,0,2021-02-18
Small Provider (<500),25,0,2021-02-18
Small Provider (<500),25,0,2021-02-18
Small Provider (<500),26,0,2021-02-18
Small Provider (<500),26,0,2021-02-18
Small Provider (<500),26,0,2021-02-18
Small Provider (<500),26,0,2021-02-18
Small Provider (<500),27,0,2021-02-18
Small Provider (<500),27,0,2021-02-18
Small Provider (<500),27,0,2021-02-18
Small Provider (<500),29,0,2021-02-18
Small Provider (<500),29,0,2021-02-18
Small Provider (<500),29,30,2021-02-18
Small Provider (<500),30,0,2021-02-18
Small Provider (<500),30,70,2021-02-18
Small Provider (<500),30,80,2021-02-18
Small Provider (<500),30,100,2021-02-18
Small Provider (<500),31,0,2021-02-18
Small Provider (<500),31,30,2021-02-18
Small Provider (<500),31,140,2021-02-18
Small Provider (<500),32,0,2021-02-18
Small Provider (<500),32,0,2021-02-18
Small Provider (<500),32,0,2021-02-18
Small Provider (<500),33,0,2021-02-18
Small Provider (<500),33,0,2021-02-18
Small Provider (<500),33,30,2021-02-18
Small Provider (<500),33,100,2021-02-18
Small Provider (<500),34,0,2021-02-18
Small Provider (<500),34,25,2021-02-18
Small Provider (<500),36,0,2021-02-18
Small Provider (<500),36,0,2021-02-18
Small Provider (<500),36,0,2021-02-18
Small Provider (<500),37,0,2021-02-18
Small Provider (<500),37,0,2021-02-18
Small Provider (<500),37,0,2021-02-18
Small Provider (<500),38,0,2021-02-18
Small Provider (<500),39,0,2021-02-18
Small Provider (<500),39,60,2021-02-18
Small Provider (<500),39,80,2021-02-18
Small Provider (<500),39,100,2021-02-18
