Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Madison, WI HCS",1621,23,1519,79,17395,13590,893
"Iowa City, IA HCS",1575,30,1465,80,13866,10225,514
"Dublin, GA HCS",1561,13,1497,51,12920,9427,482
New Mexico HCS,1512,15,1407,90,24245,19488,1101
"El Paso, TX HCS",1480,22,1352,106,9576,6383,<10
"Columbus, OH HCS",1472,30,1369,73,11872,8747,566
"Hampton, VA HCS",1471,25,1416,30,11099,6859,776
Northern Indiana HCS,1470,32,1375,63,12485,10011,472
Western New York HCS,1448,41,1326,81,19356,17410,25
"Puget Sound, WA HCS",1431,42,1332,57,35943,27542,584
"Fargo, ND HCS",1395,29,1255,111,17273,14426,124
"Lexington, KY HCS",1388,15,1278,95,14235,12618,292
"Wichita, KS HCS",1371,14,1286,71,9228,6813,152
"Sioux Falls, SD HCS",1367,42,1250,75,9328,7865,503
"Memphis, TN HCS",1347,16,1254,77,15590,13315,414
"St. Cloud, MN HCS",1342,38,1245,59,19824,14692,1184
"Martinsburg, WV HCS",1339,57,1224,58,14849,10107,508
Eastern Kansas HCS,1318,13,1266,39,14453,10273,584
"Amarillo, TX HCS",1294,15,1217,62,7144,6034,173
Central Iowa HCS,1283,22,1195,66,12008,8717,453
Montana HCS,1231,10,1168,53,10590,7603,297
"Portland, OR HCS",1217,19,1148,50,31844,26435,576
"Jackson, MS HCS",1195,13,1105,77,11208,9016,739
"Providence, RI HCS",1192,32,1080,80,14261,10415,24
"Poplar Bluff, MO HCS",1162,10,1071,81,4297,3475,329
"Salem, VA HCS",1136,12,1050,74,11087,7662,845
"Alexandria, LA HCS",1133,14,1070,49,8328,6246,107
"San Juan, PR HCS",1133,67,1016,50,29961,23027,522
"Battle Creek, MI HCS",1114,39,1006,69,12187,8314,1160
"Wilkes-Barre, PA HCS",1089,37,984,68,14335,9949,692
"Reno, NV HCS",1053,12,974,67,11057,8363,547
"Northport, NY HCS",1051,53,931,67,12708,10740,<10
"Black Hills, SD HCS",1040,9,993,38,7899,7171,144
"Altoona, PA HCS",1037,22,962,53,10236,7286,419
"Marion, IL HCS",1006,14,936,56,7631,5653,589
"Wilmington, DE HCS",994,25,930,39,15721,13201,606
"Syracuse, NY HCS",987,23,902,62,14049,10414,108
"Tomah, WI HCS",938,3,906,29,10889,8553,434
"Detroit, MI HCS",924,60,779,85,11823,7959,133
Northern Arizona HCS,876,6,826,44,10201,7309,262
"Saginaw, MI HCS",867,65,752,50,10833,7966,523
"Huntington, WV HCS",860,12,779,69,10412,8098,270
"Hudson Valley, NY HCS",853,20,798,35,11357,9413,547
"Danville, IL HCS",849,16,781,52,7692,6202,221
"Bedford, MA HCS",810,10,752,48,17314,15459,<10
"Finger Lakes, NY HCS",779,19,725,35,12566,9579,462
Central Western Massachusetts HCS,757,13,691,53,10487,7444,634
"Erie, PA HCS",728,10,684,34,7904,5961,418
"Anchorage, AK HCS",724,18,693,13,5286,4421,623
"Iron Mountain, MI HCS",705,7,668,30,8314,7563,415
"Cheyenne, WY HCS",695,20,647,28,7081,5496,120
"Tuscaloosa, AL HCS",693,4,651,38,5487,4124,44
"San Francisco, CA HCS",689,7,645,37,14363,12011,883
"Albany, NY HCS",674,23,608,43,11117,8529,629
"Chillicothe, OH HCS",652,8,624,20,8810,7228,430
"Manchester, NH HCS",632,25,575,32,8835,5518,565
"Togus, ME HCS",597,23,547,27,14667,8748,1172
"Big Spring, TX HCS",574,4,525,45,4105,3352,362
"Clarksburg, WV HCS",552,18,494,40,6804,5531,187
"Butler, PA HCS",544,16,512,16,7370,5936,317
"Coatesville, PA HCS",493,13,458,22,7297,5302,358
"Grand Junction, CO HCS",472,5,440,27,5596,4947,254
"Walla Walla, WA HCS",422,5,391,26,5527,4255,499
"Sheridan, WY HCS",358,5,347,6,3854,3182,109
"Honolulu, HI HCS",326,16,296,14,13014,10676,682
"Beckley, WV HCS",315,11,291,13,5295,4236,87
"Spokane, WA HCS",279,1,257,21,8786,5892,524
"Roseburg, OR HCS",274,8,256,10,8538,5123,50
"White River Junction, VT HCS",265,16,238,11,8707,6545,484
"White City, OR HCS",249,17,209,23,5921,4024,42
"Manila, PI HCS",3,0,3,0,0,0,0
,0,0,0,0,781,754,0
