FacilityLatitude,FacilityLongitude,VA Confirmed,VA Deaths with 0,Facility
37.40127039,-122.13908563,23,2,(640) PALO ALTO VA MEDICAL CENTER
38.57210783,-121.29673121,22,2,(612A4) SACRAMENTO VA MEDICAL CENTER
29.70651338,-95.38874373,22,3,(580) HOUSTON VAMC
34.05015435,-117.25236402,21,0,(605) LOMA LINDA HCS
40.44473467,-79.95960314,21,1,(646) PITTSBURGH VAMC UNIVERSITY DR.
36.0097617,-78.93730402,21,0,(558) DURHAM VA MEDICAL CENTER
29.50841788,-98.5808281,18,2,(671) AUDIE L. MURPHY MEMORIAL HOSP
33.42865254,-82.17254965,18,1,(509) AUGUSTA VAMC
35.6835125,-80.48620043,18,1,(659) W.G. HEFNER SALISBURY VAMC
39.73876796,-75.60562471,18,1,(460) WILMINGTON VA MEDICAL CENTER
29.63847418,-82.34503091,17,0,(573) N. FLORIDA/S. GEORGIA HCS
37.78116689,-122.50362795,16,2,(662) SAN FRANCISCO VAMC
32.18135294,-110.96825746,16,1,(678) SOUTHERN ARIZONA VA HCS
35.09055537,-78.87761238,16,0,(565) FAYETTEVILLE VA MEDICAL CENTER
39.51633168,-119.79849548,15,2,(654) IOANNIS A. LOUGARIS VAMC
39.02731104,-95.72492161,15,0,(589A5) EKHCS TOPEKA VAMC
39.74939525,-84.2532443,15,0,(552) DAYTON
41.24809925,-75.83714351,14,0,(693) WILKES-BARRE VAMC
41.66464343,-91.54835325,13,0,(636A8) IOWA CITY HCS
27.81385727,-82.77945771,13,0,(516) C.W. BILL YOUNG DEPT OF VAMC
42.65140884,-73.77623285,12,3,(528A8) SAMUEL S. STRATTON VAMC
41.83392713,-71.43482981,12,1,(650) PROVIDENCE VAMC
33.49475789,-112.06591003,11,2,(644) PHOENIX VAMC
40.75829294,-111.83855636,11,0,(660) GEORGE E. WAHLEN VAMC
35.4824486,-97.49571983,11,0,(635) OKLAHOMA CITY VAMC
31.0779067,-97.34924857,11,0,(674) OLIN E. TEAGUE VET CENTER
35.14248806,-90.02539812,11,0,(614) MEMPHIS VA MEDICAL CENTER
28.06416098,-82.42617187,11,2,(673) TAMPA FL VAMC
39.28972861,-76.6237359,11,0,(512) VA MARYLAND HEALTH CARE SYS
34.55145201,-112.45167423,10,0,(649) NORTHERN ARIZONA HCS
35.05519308,-106.57768405,10,0,(501) RAYMOND G. MURPHY VAMC
41.6277403,-93.65878749,9,1,"(636A6) VA CIHS, DES MOINES DIVISION"
43.07514646,-89.43103255,9,2,(607) WILLIAM S. MIDDLETON VAMC
32.37989607,-86.24662606,9,0,(619) CENTRAL ALABAMA HCS
43.6192563,-116.19477944,8,0,(531) BOISE VA MEDICAL CENTER
41.145728,-104.7895949,8,0,(442) CHEYENNE VA MEDICAL
36.31166,-82.370123,8,0,(621) JAMES H. QUILLEN VAMC
45.49746145,-122.68287208,7,1,(648) PORTLAND VA MEDICAL CENTER
47.70192861,-117.47562057,7,0,(668) MANN-GRANDSTAFF VAMC
37.67979786,-97.27350034,7,1,(589A7) WICHITA VAMC
35.76489705,-95.41361039,7,0,(623) JACK C. MONTGOMERY VAMC
31.35521394,-92.43432659,7,0,(502) ALEXANDRIA VA MEDICAL CENTER
40.52373253,-85.63715446,7,0,(610) MARION VA MEDICAL CENTER
41.2451507,-95.97434969,6,0,"(636) VA NWIHS, OMAHA DIVISION"
33.504737,-86.800973,6,1,(521) BIRMINGHAM VAMC
39.4172122,-77.91099658,6,0,(613) MARTINSBURG VA MEDICAL CENTER
38.07477626,-84.53752572,5,0,(596) LEXINGTON VAMC-LEESTOWN
32.53824399,-82.94035989,5,0,(557) DUBLIN VAMC
43.64789696,-72.34237506,5,1,(405) WHITE RIVER JCT VAMROC
61.23135664,-149.74462798,4,0,(463) ANCHORAGE VA MEDICAL CENTER
36.77229815,-119.77924902,4,0,(570) FRESNO VA MEDICAL CENTER
43.53301147,-96.75644977,4,0,(438) SIOUX FALLS VA HCS
44.00110729,-90.49391004,4,0,(676) TOMAH VAMC
32.326828,-90.170732,4,0,(586) JACKSON VAMC
42.3472301,-85.2979339,4,0,(515) BATTLE CREEK VA MEDICAL CENTER
39.9813738,-82.91183229,4,0,(757) COLUMBUS VAMC
35.58728836,-82.4858472,4,1,(637) CHARLES GEORGE VAMC
40.89045864,-79.94130643,4,0,(529) ABIE ABRAHAM VA CLINIC
43.03862586,-76.138227,4,0,(528A7) SYRACUSE VA MEDICAL CENTER
44.2802701,-69.70413586,4,0,(402) VA MAINE HCS
43.22859271,-123.367087,3,0,(653) ROSEBURG VA MEDICAL CENTER
38.93759696,-92.32848742,3,1,"(589A4) COLUMBIA, MO VAMC"
39.39081185,-83.01268476,3,0,(538) CHILLICOTHE VA MEDICAL CENTER
38.38404364,-82.51791686,3,1,(581) HUNTINGTON VAMC
42.34344677,-77.34720483,3,0,(528A6) BATH VA MEDICAL CENTER
39.99732257,-75.80470313,3,0,(542) COATESVILLE VA MEDICAL CENTER
21.36125986,-157.88884555,2,0,(459) SPARK M. MATSUNAGA VAMC
46.90650677,-96.77679948,2,1,(437) FARGO VA HCS
30.40901091,-88.94720983,2,1,(520) BILOXI VA MEDICAL CENTER
37.27651387,-80.02275392,2,0,(658) SALEM VA MEDICAL CENTER
46.05265094,-118.35531495,1,0,(687) JONATHAN M. WAINWRIGHT VAMC
46.61762327,-112.10183061,1,0,(436) FORT HARRISON MEDICAL CENTER
39.07727279,-108.54072065,1,0,(575) GRAND JUNCTION VAMC
44.41252205,-103.47486237,1,0,(568) BLACK HILLS HCS
35.20328346,-101.90510057,1,0,(504) AMARILLO HCS
36.77164021,-90.41808459,1,0,(657A4) POPLAR BLUFF MO VAMC
40.13179015,-87.59227684,1,0,(550) ILLIANA HCS
33.19321287,-87.48836588,1,0,(679) TUSCALOOSA
39.27033996,-80.36142422,1,0,(540) LOUIS A JOHNSON VAMC
42.10267315,-80.06558029,1,0,(562) ERIE VA MEDICAL CENTER
