"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-15,"Virginia Beach","Not Hispanic or Latino",617,95,24
2020-06-15,"Prince William","Hispanic or Latino",3400,454,38
2020-06-15,"Virginia Beach","Not Reported",192,5,2
2020-06-15,"Central Shenandoah","Hispanic or Latino",723,45,3
2020-06-15,Pittsylvania-Danville,"Hispanic or Latino",17,1,0
2020-06-15,"Mount Rogers","Not Hispanic or Latino",371,58,21
2020-06-15,Piedmont,"Not Reported",382,13,2
2020-06-15,Southside,"Not Hispanic or Latino",116,18,16
2020-06-15,"Thomas Jefferson","Hispanic or Latino",181,6,0
2020-06-15,Pittsylvania-Danville,"Not Reported",20,6,0
2020-06-15,Norfolk,"Hispanic or Latino",122,13,0
2020-06-15,Portsmouth,"Not Hispanic or Latino",166,45,10
2020-06-15,"West Piedmont","Not Reported",53,3,1
2020-06-15,Richmond,"Not Hispanic or Latino",509,105,24
2020-06-15,"West Piedmont","Hispanic or Latino",92,5,0
2020-06-15,"Prince William","Not Reported",3620,23,1
2020-06-15,"Rappahannock Rapidan","Not Reported",445,17,2
2020-06-15,Chickahominy,"Hispanic or Latino",36,3,0
2020-06-15,Lenowisco,"Not Reported",21,5,2
2020-06-15,"New River","Hispanic or Latino",15,1,0
2020-06-15,Crater,"Not Reported",746,32,7
2020-06-15,Chickahominy,"Not Reported",282,22,3
2020-06-15,Loudoun,"Hispanic or Latino",808,81,6
2020-06-15,"Rappahannock Rapidan","Hispanic or Latino",614,45,5
2020-06-15,Roanoke,"Not Reported",86,0,1
2020-06-15,Rappahannock,"Hispanic or Latino",723,68,3
2020-06-15,Lenowisco,"Hispanic or Latino",0,0,0
2020-06-15,"Virginia Beach","Hispanic or Latino",90,8,1
2020-06-15,"Prince William","Not Hispanic or Latino",1286,267,102
2020-06-15,"Central Virginia","Not Reported",167,4,0
2020-06-15,"Central Shenandoah","Not Hispanic or Latino",822,93,25
2020-06-15,Hampton,"Hispanic or Latino",29,2,0
2020-06-15,Roanoke,"Hispanic or Latino",81,1,0
