Report Date,Status,Locality,FIPS,Facility,Facility Type,Date VDH Notified,Cases,Deaths,Active
2020-07-05,Pending Closure,Hanover,51085,Ashland Convalescent Center,Nursing Home,2020-05-06,12,*,0
2020-07-05,Outbreak Closed,Hanover,51085,Autumn Care of Mechanicsville,Nursing Home,2020-04-05,45,9,0
2020-07-05,Outbreak in Progress,Hanover,51085,Covenant Woods Nursing Home,Multicare,2020-05-20,*,0,1
2020-07-05,Outbreak Closed,Hanover,51085,The Crossings at Hanover,Assisted Living,2020-04-03,60,12,0
2020-07-05,Pending Closure,Harrisonburg,51660,Accordius Health at Harrisonburg,Nursing Home,2020-04-08,112,23,0
2020-07-05,Outbreak in Progress,Harrisonburg,51660,Harrisonburg Health and Rehabilitation Center,Nursing Home,2020-05-27,79,*,1
2020-07-05,Outbreak Closed,Henrico,51087,Beth Sholom Home of Virginia,Multicare,2020-04-17,*,*,0
2020-07-05,Pending Closure,Henrico,51087,Beth Sholom Home of Virginia,Multicare,2020-03-28,74,17,0
2020-07-05,Outbreak Closed,Henrico,51087,Canterbury Health and Rehab,Nursing Home,2020-03-17,154,49,0
2020-07-05,Pending Closure,Henrico,51087,Cedarfield Retirement Community,Assisted Living,2020-04-24,19,*,0
2020-07-05,Outbreak in Progress,Henrico,51087,Chestnut Grove Assisted Living Facility,Assisted Living,2020-06-02,*,0,1
2020-07-05,Outbreak in Progress,Henrico,51087,Discovery Village At The West End,Multicare,2020-04-12,62,*,1
2020-07-05,Pending Closure,Henrico,51087,Glenburnie Nursing & Rehab,Nursing Home,2020-04-30,90,12,0
2020-07-05,Pending Closure,Henrico,51087,Henrico Health and Rehabilitation Center,Nursing Home,2020-04-05,114,16,0
2020-07-05,Outbreak Closed,Henrico,51087,Lakewood Manor Baptist Retirement Community,Multicare,2020-04-09,10,*,0
2020-07-05,Pending Closure,Henrico,51087,Manor Care Health Services,Nursing Home,2020-04-01,9,*,0
2020-07-05,Outbreak Closed,Henrico,51087,Masonic Home of Virginia,Assisted Living,2020-03-28,45,6,0
2020-07-05,Outbreak in Progress,Henrico,51087,Our Lady of Hope,Multicare,2020-05-26,8,0,1
2020-07-05,Pending Closure,Henrico,51087,Westminster Canterbury ALF,Assisted Living,2020-03-18,9,0,0
2020-07-05,Outbreak in Progress,Henrico,51087,Westport Rehabilitation & Nursing Center,Nursing Home,2020-04-24,98,7,1
2020-07-05,Outbreak in Progress,Hopewell,51670,Hopewell Healthcare Center,Nursing Home,2020-05-10,25,*,1
2020-07-05,Outbreak Closed,Isle of Wight,51093,Consulate Health Care of Windsor,Nursing Home,2020-03-31,54,9,0
2020-07-05,Outbreak Closed,James City,51095,Chambrel at Williamsburg Assisted Living,Assisted Living,2020-04-16,20,*,0
2020-07-05,Outbreak Closed,James City,51095,Consulate Health Care of Williamsburg,Nursing Home,2020-04-06,9,*,0
2020-07-05,Outbreak Closed,James City,51095,WindsorMeade of Williamsburg,Multicare,2020-04-23,5,0,0
2020-07-05,Outbreak Closed,King George,51099,Heritage Hall - King George,Nursing Home,2020-05-02,10,0,0
2020-07-05,Outbreak in Progress,Lee,51105,Lee Health & Rehabilitation,Nursing Home,2020-07-04,*,0,1
2020-07-05,Outbreak in Progress,Loudoun,51107,Ashby Ponds,Multicare,2020-04-06,62,10,1
2020-07-05,Pending Closure,Loudoun,51107,Ashleigh at Lansdowne,Multicare,2020-04-23,31,9,0
2020-07-05,Pending Closure,Loudoun,51107,Atria Sterling,Assisted Living,2020-04-23,19,*,0
2020-07-05,Pending Closure,Loudoun,51107,Heritage Hall Nursing and Rehab,Nursing Home,2020-05-19,90,14,0
2020-07-05,Outbreak in Progress,Loudoun,51107,Johnson Center at Falcons Landing,Multicare,2020-03-28,71,*,1
2020-07-05,Outbreak in Progress,Loudoun,51107,Poet's Walk - A Spring Hill Memory Care Community,Assisted Living,2020-04-23,29,6,1
2020-07-05,Pending Closure,Loudoun,51107,Potomac Falls Health and Rehab Center,Multicare,2020-04-10,86,21,0
2020-07-05,Pending Closure,Loudoun,51107,Sunrise at Countryside,Assisted Living,2020-04-07,14,5,0
2020-07-05,Pending Closure,Loudoun,51107,Tribute at One Loudoun,Multicare,2020-04-16,48,10,0
2020-07-05,Pending Closure,Loudoun,51107,Waltonwood at Ashburn,Multicare,2020-04-13,9,*,0
2020-07-05,Outbreak in Progress,Martinsville,51690,King's Grant Retirement Community,Nursing Home,2020-06-20,*,0,1
2020-07-05,Pending Closure,Martinsville,51690,Mulberry Creek Nursing and Rehab,Nursing Home,2020-05-18,6,0,0
2020-07-05,Pending Closure,Mecklenburg,51117,Chase City Health and Rehab Center,Nursing Home,2020-05-08,92,12,0
2020-07-05,Pending Closure,Mecklenburg,51117,Meadow View Terrace,Nursing Home,2020-04-04,83,13,0
2020-07-05,Outbreak Closed,Newport News,51700,James River Convalescent and Rehabilitation Center,Nursing Home,2020-05-14,*,0,0
2020-07-05,Outbreak Closed,Newport News,51700,The Gardens at Warwick Forest,Nursing Home,2020-03-30,7,0,0
2020-07-05,Outbreak in Progress,Norfolk,51710,Consulate Health Care of Norfolk,Nursing Home,2020-06-29,6,*,1
2020-07-05,Outbreak in Progress,Norfolk,51710,Norfolk Health and Rehab Center,Nursing Home,2020-03-28,*,0,1
2020-07-05,Outbreak in Progress,Norfolk,51710,Pelican Health Care,Assisted Living,2020-06-25,*,0,1
2020-07-05,Outbreak in Progress,Norfolk,51710,"Signature HealthCare, LLC",Nursing Home,2020-06-05,25,*,1
2020-07-05,Pending Closure,Northampton,51131,Heritage Hall - Nassawadox,Nursing Home,2020-04-22,113,18,0
2020-07-05,Outbreak in Progress,Nottoway,51135,Hickory Hill Retirement Community,Assisted Living,2020-05-28,55,*,1
2020-07-05,Outbreak in Progress,Orange,51137,Dogwood Village of Orange County,Nursing Home,2020-06-03,*,0,1
2020-07-05,Pending Closure,Orange,51137,The Village at Gordon House,Assisted Living,2020-05-28,5,0,0
2020-07-05,Pending Closure,Page,51139,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,2020-04-21,153,22,0
2020-07-05,Outbreak in Progress,Petersburg,51730,Battlefield Park Healthcare Center,Nursing Home,2020-07-02,*,0,1
2020-07-05,Outbreak in Progress,Petersburg,51730,Fillmore Place,Assisted Living,2020-06-08,5,0,1
2020-07-05,Outbreak in Progress,Petersburg,51730,Petersburg Healthcare Center,Nursing Home,2020-05-25,38,*,1
2020-07-05,Outbreak in Progress,Portsmouth,51740,Mayfair House Assisted Living,Assisted Living,2020-05-06,*,0,1
2020-07-05,Outbreak Closed,Portsmouth,51740,Mayfair House Assisted Living,Assisted Living,2020-04-27,8,*,0
2020-07-05,Outbreak Closed,Prince Edward,51147,Farmville Health and Rehab Center,Nursing Home,2020-04-08,46,*,0
2020-07-05,Pending Closure,Prince William,51153,Arbor Terrace Sudley Manor,Assisted Living,2020-04-18,22,9,0
2020-07-05,Pending Closure,Prince William,51153,Birmingham Green,Multicare,2020-04-19,132,33,0
2020-07-05,Pending Closure,Prince William,51153,Envoy of Woodbridge,Nursing Home,2020-05-16,70,*,0
2020-07-05,Pending Closure,Prince William,51153,Gainesville Health and Rehabilitation,Nursing Home,2020-04-18,67,8,0
2020-07-05,Pending Closure,Prince William,51153,Harbor Chase,Multicare,2020-05-09,14,6,0
2020-07-05,Pending Closure,Prince William,51153,Lake Manassas Health and Rehabilitation,Nursing Home,2020-03-27,8,*,0
2020-07-05,Pending Closure,Prince William,51153,Manassas Health & Rehabilitation Center,Nursing Home,2020-05-18,11,*,0
2020-07-05,Pending Closure,Prince William,51153,Potomac Place,Assisted Living,2020-05-09,28,*,0
2020-07-05,Pending Closure,Prince William,51153,Tribute at the Glen,Assisted Living,2020-05-09,9,*,0
2020-07-05,Pending Closure,Prince William,51153,Westminster at Lake Ridge,Multicare,2020-04-18,27,*,0
2020-07-05,Pending Closure,Prince William,51153,Willow Oaks Assisted Living at Birmingham Green,Assisted Living,2020-04-17,28,*,0
2020-07-05,Pending Closure,Richmond City,51760,The Towers Retirement Home and Assisted Living Community,Assisted Living,2020-04-20,*,0,0
2020-07-05,Pending Closure,Richmond City,51760,The Virginia Home,Nursing Home,2020-03-28,13,0,0
2020-07-05,Outbreak Closed,Richmond County,51159,Riverside The Orchard Dogwood Manor,Multicare,2020-04-17,15,*,0
2020-07-05,Pending Closure,Roanoke City,51770,South Roanoke Nursing Home,Nursing Home,2020-04-19,56,13,0
2020-07-05,Outbreak in Progress,Roanoke County,51161,Friendship Health and Rehab,Nursing Home,2020-06-24,*,0,1
2020-07-05,Pending Closure,Rockingham,51165,Sunnyside Retirement Community,Nursing Home,2020-06-02,7,*,0
2020-07-05,Pending Closure,Salem,51775,Richfield Recovery and Care Center,Nursing Home,2020-04-24,5,0,0
2020-07-05,Pending Closure,Shenandoah,51171,Consulate Health Care of Woodstock,Nursing Home,2020-04-30,94,15,0
2020-07-05,Outbreak Closed,Shenandoah,51171,Dutch Haven Assisted Living,Assisted Living,2020-05-03,47,11,0
2020-07-05,Outbreak in Progress,Shenandoah,51171,Life Care Center of New Market,Nursing Home,2020-06-21,14,*,1
2020-07-05,Outbreak Closed,Shenandoah,51171,Pine Meadow,Assisted Living,2020-05-06,*,0,0
2020-07-05,Outbreak Closed,Shenandoah,51171,Skyline Terrace,Nursing Home,2020-03-30,*,0,0
2020-07-05,Outbreak Closed,Southampton,51175,Courtland Healthcare,Nursing Home,2020-04-15,48,5,0
2020-07-05,Outbreak in Progress,Spotsylvania,51177,Carriage Hill Health & Rehab,Nursing Home,2020-06-02,103,18,1
2020-07-05,Outbreak in Progress,Spotsylvania,51177,Paramount Senior Living (frmly Brookdate ALF),Assisted Living,2020-06-03,*,0,1
2020-07-05,Pending Closure,Staunton,51790,Ritenour Rest Home,Assisted Living,2020-05-13,25,0,0
2020-07-05,Pending Closure,Suffolk,51800,Autumn Nursing Care,Nursing Home,2020-04-08,70,11,0
2020-07-05,Outbreak Closed,Suffolk,51800,Bon Secours/Maryview Nursing Center,Nursing Home,2020-04-09,96,14,0
2020-07-05,Outbreak Closed,Suffolk,51800,Nansemond Pointe Rehab,Nursing Home,2020-04-15,15,6,0
2020-07-05,Pending Closure,Sussex,51183,Waverly Health and Rehabilitation Center,Nursing Home,2020-05-10,92,*,0
2020-07-05,Pending Closure,Virginia Beach,51810,Accordius Health at River Pointe,Nursing Home,2020-04-29,17,*,0
2020-07-05,Outbreak in Progress,Virginia Beach,51810,Baylake Retirement and Assisted Living Community,Assisted Living,2020-05-15,*,0,1
2020-07-05,Outbreak in Progress,Virginia Beach,51810,Beth Shalom Home of Eastern Virginia,Nursing Home,2020-04-23,*,0,1
2020-07-05,Pending Closure,Virginia Beach,51810,Harbourway at Atlantic Shores,Assisted Living,2020-03-31,27,*,0
2020-07-05,Pending Closure,Virginia Beach,51810,Kings Grant House,Assisted Living,2020-05-30,22,6,0
2020-07-05,Pending Closure,Virginia Beach,51810,Marian Manor,Assisted Living,2020-06-04,*,0,0
2020-07-05,Pending Closure,Virginia Beach,51810,Our Lady of Perpetual Help,Multicare,2020-04-11,33,6,0
2020-07-05,Outbreak in Progress,Virginia Beach,51810,Sentara Nursing Center,Nursing Home,2020-05-01,*,0,1
2020-07-05,Outbreak in Progress,Virginia Beach,51810,The Citadel,Nursing Home,2020-06-15,*,0,1
2020-07-05,Outbreak in Progress,Warren,51187,Woods Cove (frmly Royal Haven of Front Royal),Assisted Living,2020-06-18,42,*,1
2020-07-05,Pending Closure,Washington,51191,English Meadows,Assisted Living,2020-04-03,9,*,0
2020-07-05,Outbreak Closed,Williamsburg,51830,Envoy of Williamsburg,Nursing Home,2020-03-31,29,*,0
2020-07-05,Outbreak Closed,York,51199,Regency Healthcare Center,Nursing Home,2020-05-11,*,0,0
