Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS,Report Date
Fairfax,Chesterbrook Residences,Assisted Living,Outbreak Pending Closure,2020-04-07,31,7,0,51059,2020-09-17
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,23,0,51059,2020-09-17
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-04-17,71,14,0,51059,2020-09-17
Fairfax,Gardens at Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-05-21,14,*,0,51059,2020-09-17
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Outbreak Pending Closure,2020-04-24,28,*,0,51059,2020-09-17
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6,0,51059,2020-09-17
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak Pending Closure,2020-04-17,68,20,0,51059,2020-09-17
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak in Progress,2020-08-06,7,0,1,51059,2020-09-17
Fairfax,Harmony at Chantilly,Assisted Living,Outbreak Pending Closure,2020-05-01,19,*,0,51059,2020-09-17
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,*,0,1,51059,2020-09-17
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak Pending Closure,2020-04-11,50,11,0,51059,2020-09-17
Fairfax,Hunter's Woods at Trails Edge,Multicare,Outbreak Pending Closure,2020-06-04,10,*,0,51059,2020-09-17
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,13,0,51059,2020-09-17
Fairfax,Larmax Homes,Assisted Living,Outbreak Pending Closure,2020-04-17,17,*,0,51059,2020-09-17
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,9,*,0,51059,2020-09-17
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Pending Closure,2020-04-09,114,35,0,51059,2020-09-17
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-24,79,8,0,51059,2020-09-17
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Outbreak Pending Closure,2020-05-04,136,13,0,51059,2020-09-17
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-04-09,79,15,0,51059,2020-09-17
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0,0,51059,2020-09-17
Fairfax,Renaissance of Annandale,Assisted Living,Outbreak Closed,2020-05-12,27,*,0,51059,2020-09-17
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Pending Closure,2020-05-12,14,*,0,51059,2020-09-17
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Pending Closure,2020-07-24,31,0,0,51059,2020-09-17
Fairfax,Stevenson's Place,Assisted Living,Outbreak Closed,2020-06-04,*,0,0,51059,2020-09-17
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14,0,51059,2020-09-17
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak Closed,2020-04-07,16,*,0,51059,2020-09-17
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak in Progress,2020-08-28,*,*,1,51059,2020-09-17
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0,1,51059,2020-09-17
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-09-04,*,0,1,51059,2020-09-17
Fairfax,Sunrise of Springfield,Assisted Living,Outbreak Pending Closure,2020-04-10,22,*,0,51059,2020-09-17
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0,1,51059,2020-09-17
Fairfax,Tall Oaks,Assisted Living,Outbreak Pending Closure,2020-04-30,47,11,0,51059,2020-09-17
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Pending Closure,2020-04-24,11,*,0,51059,2020-09-17
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Pending Closure,2020-07-14,16,*,0,51059,2020-09-17
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak Pending Closure,2020-03-17,27,*,0,51059,2020-09-17
Fairfax,The Lincolnian,Assisted Living,Outbreak Closed,2020-04-24,26,*,0,51059,2020-09-17
Fairfax,The Virginian Retirement Community,Multicare,Outbreak Pending Closure,2020-04-09,141,26,0,51059,2020-09-17
Fairfax,Tysons Woods Assisted Living,Assisted Living,Outbreak Pending Closure,2020-05-20,10,*,0,51059,2020-09-17
Fauquier,Brookside Rehab & Nursing Ctr (Oak Springs),Nursing Home,Outbreak in Progress,2020-08-14,88,12,1,51061,2020-09-17
Floyd,Skyline Manor Nursing and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-25,*,0,1,51063,2020-09-17
Floyd,Skyline Manor Nursing and Rehab Center,Nursing Home,Outbreak in Progress,2020-08-24,11,0,1,51063,2020-09-17
Fluvanna,Envoy at the Village,Nursing Home,Outbreak Closed,2020-04-08,65,8,0,51065,2020-09-17
Franklin City,Village At Woods Edge,Assisted Living,Outbreak Closed,2020-06-23,9,*,0,51620,2020-09-17
Frederick,Hilltop House,Assisted Living,Outbreak Closed,2020-07-03,15,*,0,51069,2020-09-17
Frederick,The Village at Orchard Ridge,Assisted Living,Outbreak Closed,2020-07-17,16,0,0,51069,2020-09-17
Fredericksburg,Hughes Home for Adults,Assisted Living,Outbreak Pending Closure,2020-07-15,39,*,0,51630,2020-09-17
Fredericksburg,Poets Walk,Assisted Living,Outbreak Closed,2020-06-03,15,0,0,51630,2020-09-17
Fredericksburg,Poets Walk Memory Care,Assisted Living,Outbreak in Progress,2020-08-25,*,0,1,51630,2020-09-17
Galax,Galax Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-27,92,19,0,51640,2020-09-17
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,12,0,1,51640,2020-09-17
Gloucester,Walter Reed Convalescent Center- Gloucester,Nursing Home,Outbreak in Progress,2020-08-14,*,0,1,51073,2020-09-17
Grayson,Grayson Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-08-30,52,0,1,51077,2020-09-17
Greene,Grace Health and Rehab Center of Greene County,Nursing Home,Outbreak Pending Closure,2020-07-06,7,0,0,51079,2020-09-17
Hampton,Coliseum Park Conv and Rehab Center,Nursing Home,Outbreak in Progress,2020-07-22,*,*,1,51650,2020-09-17
Hampton,Golden Care Assisted Living,Assisted Living,Outbreak in Progress,2020-08-24,7,0,1,51650,2020-09-17
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,37,0,0,51650,2020-09-17
Hampton,Northampton Convalescent & Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-08-09,*,0,1,51650,2020-09-17
Hampton,Riverside Convalescent Center - Hampton,Nursing Home,Outbreak in Progress,2020-07-22,*,0,1,51650,2020-09-17
Hanover,Ashland Convalescent Center,Nursing Home,Outbreak Pending Closure,2020-05-06,18,*,0,51085,2020-09-17
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,45,11,0,51085,2020-09-17
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,*,0,1,51085,2020-09-17
Hanover,Hanover Healthcare,Nursing Home,Outbreak Pending Closure,2020-08-10,*,0,0,51085,2020-09-17
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,60,12,0,51085,2020-09-17
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Outbreak in Progress,2020-04-08,112,25,1,51660,2020-09-17
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-05-27,93,5,0,51660,2020-09-17
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-03-28,76,17,0,51087,2020-09-17
Henrico,Beth Sholom Parkside,Assisted Living,Outbreak Closed,2020-04-17,*,*,0,51087,2020-09-17
Henrico,Blue Ridge Senior Living,Assisted Living,Outbreak in Progress,2020-08-21,19,*,1,51087,2020-09-17
Henrico,Brookdale West End,Multicare,Outbreak Closed,2020-07-27,22,*,0,51087,2020-09-17
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,177,51,0,51087,2020-09-17
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-07-06,*,0,0,51087,2020-09-17
Henrico,Cedarfield Retirement Community,Assisted Living,Outbreak Closed,2020-04-14,27,*,0,51087,2020-09-17
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak Closed,2020-06-02,*,0,0,51087,2020-09-17
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Outbreak Closed,2020-04-30,96,22,0,51087,2020-09-17
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-05,114,17,0,51087,2020-09-17
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-09-04,5,0,1,51087,2020-09-17
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,15,*,0,51087,2020-09-17
Henrico,Manor Care Health Services,Nursing Home,Outbreak Closed,2020-04-01,11,*,0,51087,2020-09-17
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,45,6,0,51087,2020-09-17
Henrico,Our Lady of Hope,Multicare,Outbreak Closed,2020-05-26,8,0,0,51087,2020-09-17
Henrico,Spring Arbor of Richmond,Assisted Living,Outbreak in Progress,2020-08-17,9,*,1,51087,2020-09-17
Henrico,Sunrise Villa Tuckahoe,Assisted Living,Outbreak in Progress,2020-08-17,*,0,1,51087,2020-09-17
Henrico,The Village at Manor Care,Assisted Living,Outbreak in Progress,2020-08-13,5,0,1,51087,2020-09-17
Henrico,Westminster Canterbury,Multicare,Outbreak Pending Closure,2020-07-07,19,0,0,51087,2020-09-17
Henrico,Westport Rehabilitation & Nursing Center,Nursing Home,Outbreak Closed,2020-04-05,127,11,0,51087,2020-09-17
Henry,Martinsville Health and Rehabilitation,Nursing Home,Outbreak in Progress,2020-09-01,26,0,1,51089,2020-09-17
Henry,Stanleytown Healthcare Center,Nursing Home,Outbreak in Progress,2020-07-15,80,8,1,51089,2020-09-17
Hopewell,Hopewell Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-10,29,*,1,51670,2020-09-17
Hopewell,River View on the Appomattox Health & Rehab,Nursing Home,Outbreak in Progress,2020-07-31,*,0,1,51670,2020-09-17
Isle of Wight,Consulate Health Care of Windsor,Nursing Home,Outbreak Closed,2020-03-31,56,9,0,51093,2020-09-17
James City,Chambrel at Williamsburg Assisted Living,Assisted Living,Outbreak Closed,2020-04-16,20,*,0,51095,2020-09-17
James City,Consulate Health Care of Williamsburg,Nursing Home,Outbreak Closed,2020-04-06,9,*,0,51095,2020-09-17
James City,Edgeworth Park at New Town,Assisted Living,Outbreak Closed,2020-07-08,*,0,0,51095,2020-09-17
James City,WindsorMeade of Williamsburg,Multicare,Outbreak Closed,2020-04-23,5,0,0,51095,2020-09-17
King George,Heritage Hall - King George,Nursing Home,Outbreak Closed,2020-05-02,10,0,0,51099,2020-09-17
King George,Heritage Hall - King George,Nursing Home,Outbreak in Progress,2020-08-23,*,0,1,51099,2020-09-17
King William,Riverside Convalescent Center - West Point,Nursing Home,Outbreak in Progress,2020-09-01,*,0,1,51101,2020-09-17
Lancaster,Rappahannock Westminster Canterbury,Nursing Home,Outbreak in Progress,2020-07-17,7,0,1,51103,2020-09-17
Lee,Lee Health & Rehabilitation,Nursing Home,Outbreak in Progress,2020-07-04,13,*,1,51105,2020-09-17
Loudoun,Ashby Ponds,Multicare,Outbreak Pending Closure,2020-04-06,62,10,0,51107,2020-09-17
Loudoun,Ashleigh at Lansdowne,Multicare,Outbreak Pending Closure,2020-04-23,31,9,0,51107,2020-09-17
Loudoun,Atria Sterling,Assisted Living,Outbreak Pending Closure,2020-04-23,19,*,0,51107,2020-09-17
Loudoun,Heritage Hall Nursing and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-19,90,16,0,51107,2020-09-17
Loudoun,Inova Loudoun Nursing and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-09-04,*,0,0,51107,2020-09-17
Loudoun,Johnson Center at Falcons Landing,Multicare,Outbreak Pending Closure,2020-03-28,71,6,0,51107,2020-09-17
Loudoun,Poet's Walk - A Spring Hill Memory Care Community,Assisted Living,Outbreak Pending Closure,2020-04-23,29,6,0,51107,2020-09-17
Loudoun,Potomac Falls Health and Rehab Center,Multicare,Outbreak Pending Closure,2020-04-10,86,22,0,51107,2020-09-17
Loudoun,Sunrise at Countryside,Assisted Living,Outbreak Pending Closure,2020-04-07,17,5,0,51107,2020-09-17
Loudoun,Tribute at One Loudoun,Multicare,Outbreak Pending Closure,2020-04-16,48,11,0,51107,2020-09-17
Loudoun,Waltonwood at Ashburn,Multicare,Outbreak Pending Closure,2020-04-13,9,*,0,51107,2020-09-17
Lunenburg,Jan's Residential of Lunenburg,Assisted Living,Outbreak Pending Closure,2020-08-12,5,*,0,51111,2020-09-17
Lynchburg,Guggenheimer Nursing Facility,Nursing Home,Outbreak Closed,2020-06-23,5,0,0,51680,2020-09-17
Lynchburg,Heartland Health Care Center,Multicare,Outbreak in Progress,2020-09-04,8,0,1,51680,2020-09-17
Lynchburg,Lynchburg Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-07-04,19,*,0,51680,2020-09-17
Madison,Countryside Assisted Living,Assisted Living,Outbreak in Progress,2020-08-12,10,*,1,51113,2020-09-17
Martinsville,King's Grant Retirement Community,Nursing Home,Outbreak in Progress,2020-06-20,*,0,1,51690,2020-09-17
Martinsville,Mulberry Creek Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-18,28,0,1,51690,2020-09-17
Martinsville,Piedmont ICF/ID Home,Assisted Living,Outbreak in Progress,2020-07-17,*,0,1,51690,2020-09-17
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-05-08,94,13,0,51117,2020-09-17
Mecklenburg,Hundley Center LTCF,Nursing Home,Outbreak in Progress,2020-09-14,*,0,1,51117,2020-09-17
Mecklenburg,Meadow View Terrace,Nursing Home,Outbreak Pending Closure,2020-04-04,84,14,0,51117,2020-09-17
Middlesex,Dockside Health & Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-31,53,6,1,51119,2020-09-17
Newport News,Hilton Plaza,Assisted Living,Outbreak in Progress,2020-07-11,*,*,1,51700,2020-09-17
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-05-14,*,0,0,51700,2020-09-17
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-09-01,25,0,1,51700,2020-09-17
Newport News,Newport News Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-08,8,*,1,51700,2020-09-17
Newport News,The Gardens at Warwick Forest,Nursing Home,Outbreak Closed,2020-03-30,7,0,0,51700,2020-09-17
Newport News,The Gardens at Warwick Forest,Nursing Home,Outbreak Pending Closure,2020-07-19,27,*,0,51700,2020-09-17
Norfolk,Autumn Care of Norfolk,Nursing Home,Outbreak in Progress,2020-07-08,*,0,1,51710,2020-09-17
Norfolk,Commonwealth Leigh Hall,Assisted Living,Outbreak in Progress,2020-07-07,*,*,1,51710,2020-09-17
Norfolk,Consulate Health Care of Norfolk,Nursing Home,Outbreak Pending Closure,2020-06-29,81,*,0,51710,2020-09-17
Norfolk,Harbor's Edge,Assisted Living,Outbreak Pending Closure,2020-07-13,*,0,0,51710,2020-09-17
Norfolk,Lake Taylor Transitional Care Hospital,Nursing Home,Outbreak in Progress,2020-07-13,16,0,1,51710,2020-09-17
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-03-28,*,0,0,51710,2020-09-17
Norfolk,Pelican Health Care,Assisted Living,Outbreak Pending Closure,2020-06-25,*,0,0,51710,2020-09-17
Norfolk,"Signature HealthCare, LLC",Nursing Home,Outbreak Pending Closure,2020-06-05,43,7,0,51710,2020-09-17
Norfolk,St. Marys Home for Disabled Children,Nursing Home,Outbreak Pending Closure,2020-07-07,*,0,0,51710,2020-09-17
Norfolk,The Ballentine,Assisted Living,Outbreak Pending Closure,2020-07-05,7,*,0,51710,2020-09-17
Northampton,Heritage Hall - Nassawadox,Nursing Home,Outbreak Closed,2020-04-22,114,19,0,51131,2020-09-17
Nottoway,Heritage Hall Nursing Home,Nursing Home,Outbreak Pending Closure,2020-07-15,*,0,0,51135,2020-09-17
Nottoway,Hickory Hill Retirement Community,Assisted Living,Outbreak Pending Closure,2020-05-28,57,7,0,51135,2020-09-17
Orange,Dogwood Village of Orange County,Nursing Home,Outbreak Closed,2020-06-03,*,0,0,51137,2020-09-17
Orange,The Village at Gordon House,Assisted Living,Outbreak Closed,2020-05-28,*,0,0,51137,2020-09-17
Page,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,Outbreak Closed,2020-04-21,154,23,0,51139,2020-09-17
