"Report Date",FIPS,Locality,"VDH Health District","Total Cases",Hospitalizations,Deaths
2020-05-22,51079,Greene,"Thomas Jefferson",21,3,1
2020-05-22,51081,Greensville,Crater,55,14,7
2020-05-22,51083,Halifax,Southside,29,3,0
2020-05-22,51085,Hanover,Chickahominy,246,46,19
2020-05-22,51087,Henrico,Henrico,1375,174,117
2020-05-22,51089,Henry,"West Piedmont",59,6,2
2020-05-22,51091,Highland,"Central Shenandoah",3,0,0
2020-05-22,51093,"Isle of Wight","Western Tidewater",122,11,3
2020-05-22,51095,"James City",Peninsula,191,55,16
2020-05-22,51097,"King and Queen","Three Rivers",7,1,0
2020-05-22,51099,"King George",Rappahannock,50,14,4
2020-05-22,51101,"King William","Three Rivers",19,2,0
2020-05-22,51103,Lancaster,"Three Rivers",10,1,0
2020-05-22,51105,Lee,Lenowisco,9,1,0
2020-05-22,51107,Loudoun,Loudoun,1807,149,51
2020-05-22,51109,Louisa,"Thomas Jefferson",67,9,1
2020-05-22,51111,Lunenburg,Piedmont,7,0,0
2020-05-22,51113,Madison,"Rappahannock Rapidan",27,3,1
2020-05-22,51115,Mathews,"Three Rivers",5,2,0
2020-05-22,51117,Mecklenburg,Southside,192,26,20
2020-05-22,51119,Middlesex,"Three Rivers",12,1,0
2020-05-22,51121,Montgomery,"New River",67,9,1
2020-05-22,51125,Nelson,"Thomas Jefferson",13,0,0
2020-05-22,51127,"New Kent",Chickahominy,26,6,1
2020-05-22,51131,Northampton,"Eastern Shore",206,19,16
2020-05-22,51133,Northumberland,"Three Rivers",22,0,1
2020-05-22,51135,Nottoway,Piedmont,19,3,0
2020-05-22,51137,Orange,"Rappahannock Rapidan",73,4,0
2020-05-22,51139,Page,"Lord Fairfax",172,20,19
2020-05-22,51141,Patrick,"West Piedmont",12,0,0
2020-05-22,51143,Pittsylvania,Pittsylvania-Danville,27,10,1
2020-05-22,51145,Powhatan,Chesterfield,26,0,0
2020-05-22,51147,"Prince Edward",Piedmont,104,10,2
2020-05-22,51149,"Prince George",Crater,56,5,0
2020-05-22,51153,"Prince William","Prince William",4315,411,80
2020-05-22,51155,Pulaski,"New River",10,2,0
2020-05-22,51157,Rappahannock,"Rappahannock Rapidan",12,0,0
2020-05-22,51159,"Richmond County","Three Rivers",267,9,4
2020-05-22,51161,"Roanoke County",Alleghany,90,8,5
2020-05-22,51163,Rockbridge,"Central Shenandoah",13,0,0
2020-05-22,51165,Rockingham,"Central Shenandoah",444,47,6
2020-05-22,51167,Russell,"Cumberland Plateau",8,2,0
2020-05-22,51169,Scott,Lenowisco,7,2,2
2020-05-22,51171,Shenandoah,"Lord Fairfax",358,34,12
2020-05-22,51173,Smyth,"Mount Rogers",15,4,0
2020-05-22,51175,Southampton,"Western Tidewater",137,4,2
2020-05-22,51177,Spotsylvania,Rappahannock,373,31,4
2020-05-22,51179,Stafford,Rappahannock,552,66,4
2020-05-22,51181,Surry,Crater,6,2,1
2020-05-22,51183,Sussex,Crater,100,5,1
2020-05-22,51185,Tazewell,"Cumberland Plateau",6,0,0
2020-05-22,51187,Warren,"Lord Fairfax",110,12,2
2020-05-22,51191,Washington,"Mount Rogers",51,8,4
2020-05-22,51193,Westmoreland,"Three Rivers",43,7,0
2020-05-22,51195,Wise,Lenowisco,24,10,2
2020-05-22,51197,Wythe,"Mount Rogers",17,1,1
2020-05-22,51199,York,Peninsula,67,9,3
2020-05-22,51510,Alexandria,Alexandria,1657,175,37
2020-05-22,51520,Bristol,"Mount Rogers",4,1,0
2020-05-22,51530,"Buena Vista City","Central Shenandoah",12,1,0
2020-05-22,51540,Charlottesville,"Thomas Jefferson",74,15,2
2020-05-22,51550,Chesapeake,Chesapeake,419,82,13
2020-05-22,51570,"Colonial Heights",Chesterfield,83,2,8
2020-05-22,51580,Covington,Alleghany,3,0,0
2020-05-22,51590,Danville,Pittsylvania-Danville,46,14,2
2020-05-22,51595,Emporia,Crater,60,11,3
2020-05-22,51600,"Fairfax City",Fairfax,51,7,4
2020-05-22,51610,"Falls Church",Fairfax,46,10,5
2020-05-22,51620,"Franklin City","Western Tidewater",34,2,1
2020-05-22,51630,Fredericksburg,Rappahannock,109,15,0
2020-05-22,51640,Galax,"Mount Rogers",85,1,0
2020-05-22,51650,Hampton,Hampton,169,30,3
2020-05-22,51660,Harrisonburg,"Central Shenandoah",704,51,21
2020-05-22,51670,Hopewell,Crater,66,11,0
2020-05-22,51678,Lexington,"Central Shenandoah",6,0,0
2020-05-22,51680,Lynchburg,"Central Virginia",77,6,1
2020-05-22,51683,"Manassas City","Prince William",764,58,7
2020-05-22,51685,"Manassas Park","Prince William",228,27,4
2020-05-22,51690,Martinsville,"West Piedmont",25,4,0
2020-05-22,51700,"Newport News",Peninsula,224,38,10
2020-05-22,51710,Norfolk,Norfolk,388,59,6
2020-05-22,51720,Norton,Lenowisco,2,2,0
2020-05-22,51730,Petersburg,Crater,84,22,2
2020-05-22,51735,Poquoson,Peninsula,7,2,0
2020-05-22,51740,Portsmouth,Portsmouth,251,40,11
2020-05-22,51750,Radford,"New River",4,0,0
2020-05-22,51760,"Richmond City",Richmond,934,127,20
2020-05-22,51770,"Roanoke City",Roanoke,140,7,9
2020-05-22,51775,Salem,Alleghany,32,3,3
2020-05-22,51790,Staunton,"Central Shenandoah",34,3,0
2020-05-22,51800,Suffolk,"Western Tidewater",283,43,25
2020-05-22,51810,"Virginia Beach","Virginia Beach",591,90,19
2020-05-22,51820,Waynesboro,"Central Shenandoah",36,2,0
2020-05-22,51830,Williamsburg,Peninsula,43,9,3
2020-05-22,51840,Winchester,"Lord Fairfax",121,7,1
2020-05-21,51001,Accomack,"Eastern Shore",709,40,11
2020-05-21,51003,Albemarle,"Thomas Jefferson",142,19,4
2020-05-21,51005,Alleghany,Alleghany,9,4,0
2020-05-21,51007,Amelia,Piedmont,22,7,1
2020-05-21,51009,Amherst,"Central Virginia",25,3,0
2020-05-21,51011,Appomattox,"Central Virginia",25,1,0
2020-05-21,51013,Arlington,Arlington,1763,346,89
2020-05-21,51015,Augusta,"Central Shenandoah",85,2,1
2020-05-21,51017,Bath,"Central Shenandoah",0,0,0
2020-05-21,51019,Bedford,"Central Virginia",41,2,1
2020-05-21,51021,Bland,"Mount Rogers",0,0,0
2020-05-21,51023,Botetourt,Alleghany,31,9,3
2020-05-21,51025,Brunswick,Southside,21,5,1
2020-05-21,51027,Buchanan,"Cumberland Plateau",18,0,0
2020-05-21,51029,Buckingham,Piedmont,438,16,2
2020-05-21,51031,Campbell,"Central Virginia",13,3,1
2020-05-21,51033,Caroline,Rappahannock,45,5,2
2020-05-21,51035,Carroll,"Mount Rogers",64,3,1
2020-05-21,51036,"Charles City",Chickahominy,25,9,1
2020-05-21,51037,Charlotte,Piedmont,16,2,0
2020-05-21,51041,Chesterfield,Chesterfield,1132,71,29
2020-05-21,51043,Clarke,"Lord Fairfax",19,2,0
2020-05-21,51045,Craig,Alleghany,5,0,0
2020-05-21,51047,Culpeper,"Rappahannock Rapidan",526,43,5
2020-05-21,51049,Cumberland,Piedmont,25,3,0
2020-05-21,51051,Dickenson,"Cumberland Plateau",0,0,0
2020-05-21,51053,Dinwiddie,Crater,47,11,0
2020-05-21,51057,Essex,"Three Rivers",36,3,0
2020-05-21,51059,Fairfax,Fairfax,8580,1165,309
2020-05-21,51061,Fauquier,"Rappahannock Rapidan",261,20,5
2020-05-21,51063,Floyd,"New River",4,1,0
2020-05-21,51065,Fluvanna,"Thomas Jefferson",83,22,6
2020-05-21,51067,"Franklin County","West Piedmont",30,3,1
2020-05-21,51069,Frederick,"Lord Fairfax",245,20,3
2020-05-21,51071,Giles,"New River",5,0,0
2020-05-21,51073,Gloucester,"Three Rivers",30,7,1
2020-05-21,51075,Goochland,Chickahominy,89,16,5
2020-05-21,51077,Grayson,"Mount Rogers",22,1,0
2020-05-21,51079,Greene,"Thomas Jefferson",20,3,1
2020-05-21,51081,Greensville,Crater,55,14,7
2020-05-21,51083,Halifax,Southside,29,3,0
2020-05-21,51085,Hanover,Chickahominy,244,46,19
2020-05-21,51087,Henrico,Henrico,1339,174,114
2020-05-21,51089,Henry,"West Piedmont",53,6,2
2020-05-21,51091,Highland,"Central Shenandoah",3,0,0
2020-05-21,51093,"Isle of Wight","Western Tidewater",121,10,3
2020-05-21,51095,"James City",Peninsula,189,55,15
2020-05-21,51097,"King and Queen","Three Rivers",7,1,0
2020-05-21,51099,"King George",Rappahannock,49,14,4
2020-05-21,51101,"King William","Three Rivers",16,2,0
2020-05-21,51103,Lancaster,"Three Rivers",8,1,0
2020-05-21,51105,Lee,Lenowisco,10,1,0
2020-05-21,51107,Loudoun,Loudoun,1700,147,49
2020-05-21,51109,Louisa,"Thomas Jefferson",64,9,0
2020-05-21,51111,Lunenburg,Piedmont,7,0,0
2020-05-21,51113,Madison,"Rappahannock Rapidan",27,3,1
2020-05-21,51115,Mathews,"Three Rivers",5,2,0
2020-05-21,51117,Mecklenburg,Southside,185,26,20
2020-05-21,51119,Middlesex,"Three Rivers",12,1,0
2020-05-21,51121,Montgomery,"New River",67,9,1
2020-05-21,51125,Nelson,"Thomas Jefferson",13,0,0
2020-05-21,51127,"New Kent",Chickahominy,26,6,1
2020-05-21,51131,Northampton,"Eastern Shore",206,18,16
2020-05-21,51133,Northumberland,"Three Rivers",21,0,1
2020-05-21,51135,Nottoway,Piedmont,19,3,0
2020-05-21,51137,Orange,"Rappahannock Rapidan",73,4,0
2020-05-21,51139,Page,"Lord Fairfax",166,19,19
2020-05-21,51141,Patrick,"West Piedmont",12,0,0
2020-05-21,51143,Pittsylvania,Pittsylvania-Danville,26,10,1
2020-05-21,51145,Powhatan,Chesterfield,26,0,0
2020-05-21,51147,"Prince Edward",Piedmont,99,10,2
2020-05-21,51149,"Prince George",Crater,56,5,0
2020-05-21,51153,"Prince William","Prince William",4183,408,79
2020-05-21,51155,Pulaski,"New River",10,2,0
2020-05-21,51157,Rappahannock,"Rappahannock Rapidan",12,0,0
2020-05-21,51159,"Richmond County","Three Rivers",263,9,4
2020-05-21,51161,"Roanoke County",Alleghany,89,7,3
2020-05-21,51163,Rockbridge,"Central Shenandoah",12,0,0
2020-05-21,51165,Rockingham,"Central Shenandoah",434,46,6
2020-05-21,51167,Russell,"Cumberland Plateau",8,2,0
2020-05-21,51169,Scott,Lenowisco,8,2,2
2020-05-21,51171,Shenandoah,"Lord Fairfax",355,34,12
2020-05-21,51173,Smyth,"Mount Rogers",15,4,0
2020-05-21,51175,Southampton,"Western Tidewater",138,4,2
2020-05-21,51177,Spotsylvania,Rappahannock,366,31,4
2020-05-21,51179,Stafford,Rappahannock,540,65,4
2020-05-21,51181,Surry,Crater,6,2,1
2020-05-21,51183,Sussex,Crater,100,5,1
2020-05-21,51185,Tazewell,"Cumberland Plateau",6,0,0
2020-05-21,51187,Warren,"Lord Fairfax",110,11,2
2020-05-21,51191,Washington,"Mount Rogers",51,8,4
2020-05-21,51193,Westmoreland,"Three Rivers",43,7,0
2020-05-21,51195,Wise,Lenowisco,24,10,2
2020-05-21,51197,Wythe,"Mount Rogers",16,1,1
2020-05-21,51199,York,Peninsula,65,9,3
2020-05-21,51510,Alexandria,Alexandria,1627,171,37
2020-05-21,51520,Bristol,"Mount Rogers",4,1,0
2020-05-21,51530,"Buena Vista City","Central Shenandoah",12,1,0
2020-05-21,51540,Charlottesville,"Thomas Jefferson",72,15,2
2020-05-21,51550,Chesapeake,Chesapeake,412,81,13
2020-05-21,51570,"Colonial Heights",Chesterfield,82,2,7
2020-05-21,51580,Covington,Alleghany,3,0,0
2020-05-21,51590,Danville,Pittsylvania-Danville,45,13,1
2020-05-21,51595,Emporia,Crater,58,11,3
2020-05-21,51600,"Fairfax City",Fairfax,51,6,3
2020-05-21,51610,"Falls Church",Fairfax,46,10,5
2020-05-21,51620,"Franklin City","Western Tidewater",34,2,1
2020-05-21,51630,Fredericksburg,Rappahannock,107,15,0
2020-05-21,51640,Galax,"Mount Rogers",82,1,0
2020-05-21,51650,Hampton,Hampton,167,30,3
2020-05-21,51660,Harrisonburg,"Central Shenandoah",695,51,21
2020-05-21,51670,Hopewell,Crater,62,11,0
2020-05-21,51678,Lexington,"Central Shenandoah",6,0,0
2020-05-21,51680,Lynchburg,"Central Virginia",75,6,1
2020-05-21,51683,"Manassas City","Prince William",743,56,6
2020-05-21,51685,"Manassas Park","Prince William",223,27,3
2020-05-21,51690,Martinsville,"West Piedmont",21,4,0
2020-05-21,51700,"Newport News",Peninsula,215,38,10
2020-05-21,51710,Norfolk,Norfolk,377,59,6
2020-05-21,51720,Norton,Lenowisco,2,2,0
2020-05-21,51730,Petersburg,Crater,84,22,2
2020-05-21,51735,Poquoson,Peninsula,7,2,0
2020-05-21,51740,Portsmouth,Portsmouth,245,40,11
2020-05-21,51750,Radford,"New River",4,0,0
2020-05-21,51760,"Richmond City",Richmond,888,123,20
2020-05-21,51770,"Roanoke City",Roanoke,135,7,8
2020-05-21,51775,Salem,Alleghany,33,4,0
2020-05-21,51790,Staunton,"Central Shenandoah",34,3,0
2020-05-21,51800,Suffolk,"Western Tidewater",278,42,25
2020-05-21,51810,"Virginia Beach","Virginia Beach",584,87,19
2020-05-21,51820,Waynesboro,"Central Shenandoah",33,1,0
2020-05-21,51830,Williamsburg,Peninsula,43,9,3
2020-05-21,51840,Winchester,"Lord Fairfax",110,7,1
2020-05-20,51001,Accomack,"Eastern Shore",709,39,11
2020-05-20,51003,Albemarle,"Thomas Jefferson",142,18,4
2020-05-20,51005,Alleghany,Alleghany,10,4,0
2020-05-20,51007,Amelia,Piedmont,21,7,1
2020-05-20,51009,Amherst,"Central Virginia",25,3,0
2020-05-20,51011,Appomattox,"Central Virginia",24,1,0
2020-05-20,51013,Arlington,Arlington,1728,334,81
2020-05-20,51015,Augusta,"Central Shenandoah",88,4,1
2020-05-20,51017,Bath,"Central Shenandoah",0,0,0
2020-05-20,51019,Bedford,"Central Virginia",41,2,1
2020-05-20,51021,Bland,"Mount Rogers",0,0,0
2020-05-20,51023,Botetourt,Alleghany,31,9,3
2020-05-20,51025,Brunswick,Southside,21,5,1
2020-05-20,51027,Buchanan,"Cumberland Plateau",18,0,0
2020-05-20,51029,Buckingham,Piedmont,419,15,2
2020-05-20,51031,Campbell,"Central Virginia",13,3,1
2020-05-20,51033,Caroline,Rappahannock,45,5,2
2020-05-20,51035,Carroll,"Mount Rogers",64,3,1
2020-05-20,51036,"Charles City",Chickahominy,24,9,1
2020-05-20,51037,Charlotte,Piedmont,15,2,0
2020-05-20,51041,Chesterfield,Chesterfield,1100,70,29
2020-05-20,51043,Clarke,"Lord Fairfax",19,2,0
2020-05-20,51045,Craig,Alleghany,4,0,0
2020-05-20,51047,Culpeper,"Rappahannock Rapidan",494,37,5
2020-05-20,51049,Cumberland,Piedmont,25,3,0
2020-05-20,51051,Dickenson,"Cumberland Plateau",0,0,0
2020-05-20,51053,Dinwiddie,Crater,47,11,0
2020-05-20,51057,Essex,"Three Rivers",35,3,0
2020-05-20,51059,Fairfax,Fairfax,8163,1133,302
2020-05-20,51061,Fauquier,"Rappahannock Rapidan",251,20,5
2020-05-20,51063,Floyd,"New River",4,1,0
2020-05-20,51065,Fluvanna,"Thomas Jefferson",82,22,6
2020-05-20,51067,"Franklin County","West Piedmont",30,3,1
2020-05-20,51069,Frederick,"Lord Fairfax",234,19,3
2020-05-20,51071,Giles,"New River",5,0,0
2020-05-20,51073,Gloucester,"Three Rivers",29,7,1
2020-05-20,51075,Goochland,Chickahominy,88,15,5
2020-05-20,51077,Grayson,"Mount Rogers",22,1,0
2020-05-20,51079,Greene,"Thomas Jefferson",20,3,1
2020-05-20,51081,Greensville,Crater,55,14,7
2020-05-20,51083,Halifax,Southside,29,3,0
2020-05-20,51085,Hanover,Chickahominy,238,46,19
2020-05-20,51087,Henrico,Henrico,1321,173,114
2020-05-20,51089,Henry,"West Piedmont",50,6,2
2020-05-20,51091,Highland,"Central Shenandoah",2,0,0
2020-05-20,51093,"Isle of Wight","Western Tidewater",120,10,3
2020-05-20,51095,"James City",Peninsula,189,54,15
2020-05-20,51097,"King and Queen","Three Rivers",7,1,0
2020-05-20,51099,"King George",Rappahannock,48,14,4
2020-05-20,51101,"King William","Three Rivers",15,1,0
2020-05-20,51103,Lancaster,"Three Rivers",7,1,0
2020-05-20,51105,Lee,Lenowisco,10,1,0
2020-05-20,51107,Loudoun,Loudoun,1579,146,49
2020-05-20,51109,Louisa,"Thomas Jefferson",61,9,0
2020-05-20,51111,Lunenburg,Piedmont,7,0,0
2020-05-20,51113,Madison,"Rappahannock Rapidan",27,3,1
2020-05-20,51115,Mathews,"Three Rivers",5,2,0
2020-05-20,51117,Mecklenburg,Southside,178,26,19
2020-05-20,51119,Middlesex,"Three Rivers",12,1,0
2020-05-20,51121,Montgomery,"New River",66,9,1
2020-05-20,51125,Nelson,"Thomas Jefferson",13,0,0
2020-05-20,51127,"New Kent",Chickahominy,27,6,1
2020-05-20,51131,Northampton,"Eastern Shore",205,17,15
2020-05-20,51133,Northumberland,"Three Rivers",21,0,1
2020-05-20,51135,Nottoway,Piedmont,18,3,0
2020-05-20,51137,Orange,"Rappahannock Rapidan",69,3,0
2020-05-20,51139,Page,"Lord Fairfax",166,19,17
2020-05-20,51141,Patrick,"West Piedmont",10,0,0
2020-05-20,51143,Pittsylvania,Pittsylvania-Danville,26,10,1
2020-05-20,51145,Powhatan,Chesterfield,25,0,0
2020-05-20,51147,"Prince Edward",Piedmont,86,10,2
2020-05-20,51149,"Prince George",Crater,56,5,0
2020-05-20,51153,"Prince William","Prince William",4054,384,79
2020-05-20,51155,Pulaski,"New River",10,2,0
2020-05-20,51157,Rappahannock,"Rappahannock Rapidan",12,0,0
2020-05-20,51159,"Richmond County","Three Rivers",263,8,4
2020-05-20,51161,"Roanoke County",Alleghany,88,6,3
2020-05-20,51163,Rockbridge,"Central Shenandoah",13,0,0
2020-05-20,51165,Rockingham,"Central Shenandoah",414,40,5
2020-05-20,51167,Russell,"Cumberland Plateau",8,2,0
2020-05-20,51169,Scott,Lenowisco,7,2,2
2020-05-20,51171,Shenandoah,"Lord Fairfax",345,33,12
2020-05-20,51173,Smyth,"Mount Rogers",15,4,0
2020-05-20,51175,Southampton,"Western Tidewater",137,4,2
2020-05-20,51177,Spotsylvania,Rappahannock,351,30,4
2020-05-20,51179,Stafford,Rappahannock,514,63,4
2020-05-20,51181,Surry,Crater,6,2,1
2020-05-20,51183,Sussex,Crater,99,5,1
2020-05-20,51185,Tazewell,"Cumberland Plateau",6,0,0
2020-05-20,51187,Warren,"Lord Fairfax",105,11,2
2020-05-20,51191,Washington,"Mount Rogers",50,8,4
2020-05-20,51193,Westmoreland,"Three Rivers",42,7,0
2020-05-20,51195,Wise,Lenowisco,23,10,2
2020-05-20,51197,Wythe,"Mount Rogers",16,1,1
2020-05-20,51199,York,Peninsula,63,9,3
2020-05-20,51510,Alexandria,Alexandria,1577,169,34
2020-05-20,51520,Bristol,"Mount Rogers",3,0,0
2020-05-20,51530,"Buena Vista City","Central Shenandoah",11,1,0
2020-05-20,51540,Charlottesville,"Thomas Jefferson",72,15,2
2020-05-20,51550,Chesapeake,Chesapeake,401,79,12
2020-05-20,51570,"Colonial Heights",Chesterfield,80,2,7
2020-05-20,51580,Covington,Alleghany,3,0,0
2020-05-20,51590,Danville,Pittsylvania-Danville,45,13,1
2020-05-20,51595,Emporia,Crater,58,11,3
2020-05-20,51600,"Fairfax City",Fairfax,47,6,3
2020-05-20,51610,"Falls Church",Fairfax,44,9,5
2020-05-20,51620,"Franklin City","Western Tidewater",32,2,1
2020-05-20,51630,Fredericksburg,Rappahannock,101,14,0
2020-05-20,51640,Galax,"Mount Rogers",82,1,0
2020-05-20,51650,Hampton,Hampton,165,30,3
2020-05-20,51660,Harrisonburg,"Central Shenandoah",675,47,21
2020-05-20,51670,Hopewell,Crater,61,11,0
2020-05-20,51678,Lexington,"Central Shenandoah",6,0,0
2020-05-20,51680,Lynchburg,"Central Virginia",75,7,1
2020-05-20,51683,"Manassas City","Prince William",699,51,6
2020-05-20,51685,"Manassas Park","Prince William",207,27,3
2020-05-20,51690,Martinsville,"West Piedmont",20,4,0
2020-05-20,51700,"Newport News",Peninsula,211,38,10
2020-05-20,51710,Norfolk,Norfolk,370,58,6
2020-05-20,51720,Norton,Lenowisco,2,2,0
2020-05-20,51730,Petersburg,Crater,80,22,2
2020-05-20,51735,Poquoson,Peninsula,7,2,0
2020-05-20,51740,Portsmouth,Portsmouth,241,39,11
2020-05-20,51750,Radford,"New River",4,0,0
2020-05-20,51760,"Richmond City",Richmond,835,123,19
2020-05-20,51770,"Roanoke City",Roanoke,135,7,8
2020-05-20,51775,Salem,Alleghany,33,4,0
2020-05-20,51790,Staunton,"Central Shenandoah",33,3,0
2020-05-20,51800,Suffolk,"Western Tidewater",274,41,25
2020-05-20,51810,"Virginia Beach","Virginia Beach",564,87,19
2020-05-20,51820,Waynesboro,"Central Shenandoah",29,1,0
2020-05-20,51830,Williamsburg,Peninsula,43,9,3
2020-05-20,51840,Winchester,"Lord Fairfax",104,7,1
2020-05-19,51001,Accomack,"Eastern Shore",701,34,9
2020-05-19,51003,Albemarle,"Thomas Jefferson",141,18,4
2020-05-19,51005,Alleghany,Alleghany,9,4,0
2020-05-19,51007,Amelia,Piedmont,20,7,1
2020-05-19,51009,Amherst,"Central Virginia",25,3,0
2020-05-19,51011,Appomattox,"Central Virginia",24,1,0
2020-05-19,51013,Arlington,Arlington,1688,331,79
2020-05-19,51015,Augusta,"Central Shenandoah",87,4,1
2020-05-19,51017,Bath,"Central Shenandoah",0,0,0
2020-05-19,51019,Bedford,"Central Virginia",41,2,1
2020-05-19,51021,Bland,"Mount Rogers",0,0,0
2020-05-19,51023,Botetourt,Alleghany,31,9,3
2020-05-19,51025,Brunswick,Southside,21,5,1
2020-05-19,51027,Buchanan,"Cumberland Plateau",18,0,0
2020-05-19,51029,Buckingham,Piedmont,419,15,2
2020-05-19,51031,Campbell,"Central Virginia",13,3,1
2020-05-19,51033,Caroline,Rappahannock,44,5,2
2020-05-19,51035,Carroll,"Mount Rogers",50,3,0
2020-05-19,51036,"Charles City",Chickahominy,24,8,1
2020-05-19,51037,Charlotte,Piedmont,14,2,0
2020-05-19,51041,Chesterfield,Chesterfield,1043,70,29
2020-05-19,51043,Clarke,"Lord Fairfax",19,2,0
2020-05-19,51045,Craig,Alleghany,4,0,0
2020-05-19,51047,Culpeper,"Rappahannock Rapidan",452,33,5
2020-05-19,51049,Cumberland,Piedmont,25,3,0
2020-05-19,51051,Dickenson,"Cumberland Plateau",0,0,0
2020-05-19,51053,Dinwiddie,Crater,45,10,0
2020-05-19,51057,Essex,"Three Rivers",35,3,0
2020-05-19,51059,Fairfax,Fairfax,8020,1113,292
2020-05-19,51061,Fauquier,"Rappahannock Rapidan",243,20,5
2020-05-19,51063,Floyd,"New River",4,1,0
2020-05-19,51065,Fluvanna,"Thomas Jefferson",82,22,6
2020-05-19,51067,"Franklin County","West Piedmont",30,3,1
2020-05-19,51069,Frederick,"Lord Fairfax",223,19,3
2020-05-19,51071,Giles,"New River",5,0,0
2020-05-19,51073,Gloucester,"Three Rivers",28,7,1
2020-05-19,51075,Goochland,Chickahominy,88,15,5
2020-05-19,51077,Grayson,"Mount Rogers",21,1,0
2020-05-19,51079,Greene,"Thomas Jefferson",19,2,1
2020-05-19,51081,Greensville,Crater,54,14,7
2020-05-19,51083,Halifax,Southside,29,3,0
2020-05-19,51085,Hanover,Chickahominy,232,45,19
2020-05-19,51087,Henrico,Henrico,1299,171,114
2020-05-19,51089,Henry,"West Piedmont",46,6,2
2020-05-19,51091,Highland,"Central Shenandoah",2,0,0
2020-05-19,51093,"Isle of Wight","Western Tidewater",119,10,3
2020-05-19,51095,"James City",Peninsula,189,54,15
2020-05-19,51097,"King and Queen","Three Rivers",7,1,0
2020-05-19,51099,"King George",Rappahannock,48,14,4
2020-05-19,51101,"King William","Three Rivers",15,1,0
2020-05-19,51103,Lancaster,"Three Rivers",7,1,0
2020-05-19,51105,Lee,Lenowisco,10,1,0
2020-05-19,51107,Loudoun,Loudoun,1527,140,48
2020-05-19,51109,Louisa,"Thomas Jefferson",60,9,0
2020-05-19,51111,Lunenburg,Piedmont,7,0,0
2020-05-19,51113,Madison,"Rappahannock Rapidan",27,3,1
2020-05-19,51115,Mathews,"Three Rivers",5,1,0
2020-05-19,51117,Mecklenburg,Southside,178,26,17
2020-05-19,51119,Middlesex,"Three Rivers",12,1,0
2020-05-19,51121,Montgomery,"New River",66,9,1
2020-05-19,51125,Nelson,"Thomas Jefferson",13,0,0
2020-05-19,51127,"New Kent",Chickahominy,27,6,1
2020-05-19,51131,Northampton,"Eastern Shore",204,17,11
2020-05-19,51133,Northumberland,"Three Rivers",20,0,1
2020-05-19,51135,Nottoway,Piedmont,18,2,0
2020-05-19,51137,Orange,"Rappahannock Rapidan",67,3,0
2020-05-19,51139,Page,"Lord Fairfax",165,19,17
2020-05-19,51141,Patrick,"West Piedmont",9,0,0
2020-05-19,51143,Pittsylvania,Pittsylvania-Danville,26,10,1
2020-05-19,51145,Powhatan,Chesterfield,25,0,0
2020-05-19,51147,"Prince Edward",Piedmont,83,10,2
2020-05-19,51149,"Prince George",Crater,56,5,0
2020-05-19,51153,"Prince William","Prince William",3934,374,73
2020-05-19,51155,Pulaski,"New River",10,2,0
