Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak in Progress,2020-06-15,*,0
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,39,7
Chesterfield,Elmcroft of Chesterfield,Assisted Living,Outbreak in Progress,2020-06-24,*,0
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,5
Chesterfield,Laurels of Willow Creek,Nursing Home,Pending Closure,2020-05-27,23,6
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak in Progress,2020-04-14,31,8
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Pending Closure,2020-04-07,49,14
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,*,*
Danville,Brookdale Danville Piedmont,Assisted Living,Pending Closure,2020-04-16,*,*
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,12,0
Emporia,Accordius Health and Rehab,Nursing Home,Pending Closure,2020-04-20,55,*
Emporia,Emporia/Greensville Manor,Nursing Home,Pending Closure,2020-05-30,10,*
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-04-09,*,0
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-09,156,55
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak in Progress,2020-05-12,5,*
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Pending Closure,2020-04-17,5,*
Fairfax,Arleigh Burke Pavilion,Multicare,Pending Closure,2020-04-15,46,7
Fairfax,Bright View Woodburn,Assisted Living,Pending Closure,2020-04-28,29,9
Fairfax,Brightview of Great Falls,Assisted Living,Outbreak Closed,2020-04-24,7,*
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,22
Fairfax,Chesterbrook Residences,Assisted Living,Pending Closure,2020-04-07,31,7
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,22
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-17,71,12
Fairfax,Gardens at Fair Oaks,Assisted Living,Pending Closure,2020-05-21,14,*
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Pending Closure,2020-04-24,28,*
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak in Progress,2020-04-17,68,20
Fairfax,Harmony at Chantilly,Assisted Living,Pending Closure,2020-05-01,19,*
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,*,0
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak in Progress,2020-04-11,50,11
Fairfax,Hunter's Woods at Trails Edge,Multicare,Pending Closure,2020-06-04,10,*
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,12
Fairfax,Larmax Homes,Assisted Living,Pending Closure,2020-04-17,17,*
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,*,*
Fairfax,Leewood Healthcare Center,Multicare,Outbreak in Progress,2020-04-09,114,35
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak in Progress,2020-04-24,79,7
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Pending Closure,2020-05-04,136,12
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-04-09,79,15
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0
Fairfax,Renaissance of Annandale,Assisted Living,Outbreak Closed,2020-05-12,27,*
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak in Progress,2020-05-12,*,0
Fairfax,Stevenson's Place,Assisted Living,Outbreak Closed,2020-06-04,*,0
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak Closed,2020-04-07,16,*
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0
Fairfax,Sunrise of Springfield,Assisted Living,Pending Closure,2020-04-10,22,*
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0
Fairfax,Tall Oaks,Assisted Living,Pending Closure,2020-04-30,47,11
Fairfax,The Fairfax at Belvoir Woods,Multicare,Pending Closure,2020-04-24,11,*
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak in Progress,2020-03-17,27,5
Fairfax,The Lincolnian,Assisted Living,Outbreak Closed,2020-04-24,26,*
Fairfax,The Virginian Retirement Community,Multicare,Pending Closure,2020-04-09,141,26
Fairfax,Tysons Woods Assisted Living,Assisted Living,Pending Closure,2020-05-20,10,*
Fluvanna,Envoy at the Village,Nursing Home,Pending Closure,2020-04-08,54,7
Franklin City,The Village at Manor Care,Assisted Living,Outbreak in Progress,2020-06-23,*,0
Fredericksburg,Poets Walk,Assisted Living,Outbreak in Progress,2020-06-03,15,0
Galax,Galax Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-27,56,11
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,12,0
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,37,0
Hanover,Ashland Convalescent Center,Nursing Home,Pending Closure,2020-05-06,12,*
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,45,8
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,*,0
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,60,12
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Pending Closure,2020-04-08,112,22
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-05-27,61,*
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-04-17,*,*
Henrico,Beth Sholom Home of Virginia,Multicare,Pending Closure,2020-03-28,74,17
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,154,49
Henrico,Cedarfield Retirement Community,Assisted Living,Pending Closure,2020-04-24,19,*
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak in Progress,2020-06-02,*,0
Henrico,Discovery Village At The West End,Multicare,Outbreak in Progress,2020-04-12,62,*
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Pending Closure,2020-04-30,89,11
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-05,114,15
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,10,*
Henrico,Manor Care Health Services,Nursing Home,Pending Closure,2020-04-01,9,*
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,45,5
Henrico,Our Lady of Hope,Multicare,Outbreak in Progress,2020-05-26,8,0
Henrico,Westport Rehabilitation & Nursing Center,Nursing Home,Outbreak in Progress,2020-04-24,97,6
Hopewell,Hopewell Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-10,25,*
Isle of Wight,Consulate Health Care of Windsor,Nursing Home,Outbreak Closed,2020-03-31,53,8
James City,Chambrel at Williamsburg Assisted Living,Assisted Living,Outbreak Closed,2020-04-16,20,*
James City,Consulate Health Care of Williamsburg,Nursing Home,Outbreak Closed,2020-04-06,9,*
James City,WindsorMeade of Williamsburg,Multicare,Outbreak Closed,2020-04-23,5,0
King George,Heritage Hall - King George,Nursing Home,Outbreak Closed,2020-05-02,10,0
Loudoun,Ashby Ponds,Multicare,Outbreak in Progress,2020-04-06,62,10
Loudoun,Atria Sterling,Assisted Living,Pending Closure,2020-04-23,19,*
Loudoun,Heritage Hall Nursing and Rehab,Nursing Home,Pending Closure,2020-05-19,90,14
Loudoun,Johnson Center at Falcons Landing,Multicare,Pending Closure,2020-03-28,50,*
Loudoun,Potomac Falls Health and Rehab Center,Multicare,Pending Closure,2020-04-10,86,21
Loudoun,Sunrise at Countryside,Assisted Living,Pending Closure,2020-04-07,14,5
Loudoun,Tribute at One Loudoun,Multicare,Pending Closure,2020-04-16,48,10
Loudoun,Waltonwood at Ashburn,Multicare,Pending Closure,2020-04-13,9,*
Martinsville,King's Grant Retirement Community,Nursing Home,Outbreak in Progress,2020-06-20,*,0
Martinsville,Mulberry Creek Nursing and Rehab,Nursing Home,Pending Closure,2020-05-18,6,0
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Pending Closure,2020-05-08,92,12
Mecklenburg,Meadow View Terrace,Nursing Home,Pending Closure,2020-04-04,83,13
Newport News,James River Convalescent and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-05-14,*,0
Newport News,The Gardens at Warwick Forest,Nursing Home,Outbreak Closed,2020-03-30,7,0
Norfolk,Consulate Health Care of Norfolk,Nursing Home,Outbreak in Progress,2020-06-29,6,*
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-03-28,*,0
Norfolk,Pelican Health Care,Assisted Living,Outbreak in Progress,2020-06-25,*,0
Norfolk,"Signature HealthCare, LLC",Nursing Home,Outbreak in Progress,2020-06-05,21,*
Northampton,Heritage Hall - Nassawadox,Nursing Home,Pending Closure,2020-04-22,113,18
Nottoway,Hickory Hill Retirement Community,Assisted Living,Outbreak in Progress,2020-05-28,55,*
Orange,Dogwood Village of Orange County,Nursing Home,Outbreak in Progress,2020-06-03,*,0
Orange,The Village at Gordon House,Assisted Living,Pending Closure,2020-05-28,5,0
Page,Skyview Springs Nursing Home (frmly Montvue),Nursing Home,Pending Closure,2020-04-21,153,22
Petersburg,Fillmore Place,Assisted Living,Outbreak in Progress,2020-06-08,*,0
Petersburg,Petersburg Healthcare Center,Nursing Home,Outbreak in Progress,2020-05-25,20,*
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak in Progress,2020-05-06,*,0
Portsmouth,Mayfair House Assisted Living,Assisted Living,Outbreak Closed,2020-04-27,8,*
Prince Edward,Farmville Health and Rehab Center,Nursing Home,Outbreak Closed,2020-04-08,46,*
Prince William,Arbor Terrace Sudley Manor,Assisted Living,Pending Closure,2020-04-18,22,9
Prince William,Birmingham Green,Multicare,Pending Closure,2020-04-19,132,33
Prince William,Envoy of Woodbridge,Nursing Home,Pending Closure,2020-05-16,70,*
Prince William,Gainesville Health and Rehabilitation,Nursing Home,Pending Closure,2020-04-18,67,8
Prince William,Harbor Chase,Multicare,Pending Closure,2020-05-09,14,6
Prince William,Lake Manassas Health and Rehabilitation,Nursing Home,Pending Closure,2020-03-27,8,*
Prince William,Manassas Health & Rehabilitation Center,Nursing Home,Pending Closure,2020-05-18,11,*
Prince William,Potomac Place,Assisted Living,Pending Closure,2020-05-09,28,*
Prince William,Tribute at the Glen,Assisted Living,Pending Closure,2020-05-09,9,*
Prince William,Westminster at Lake Ridge,Multicare,Pending Closure,2020-04-18,27,*
Prince William,Willow Oaks Assisted Living at Birmingham Green,Assisted Living,Pending Closure,2020-04-17,28,*
Richmond City,The Towers Retirement Home and Assisted Living Community,Assisted Living,Pending Closure,2020-04-20,*,0
Richmond City,The Virginia Home,Nursing Home,Pending Closure,2020-03-28,13,0
Richmond County,Riverside The Orchard Dogwood Manor,Multicare,Outbreak Closed,2020-04-17,15,*
Roanoke City,South Roanoke Nursing Home,Nursing Home,Pending Closure,2020-04-19,56,13
Roanoke County,Friendship Health and Rehab,Nursing Home,Outbreak in Progress,2020-06-24,*,0
Rockingham,Sunnyside Retirement Community,Nursing Home,Outbreak in Progress,2020-06-02,7,*
Salem,Richfield Recovery and Care Center,Nursing Home,Pending Closure,2020-04-24,5,0
Shenandoah,Consulate Health Care of Woodstock,Nursing Home,Pending Closure,2020-04-30,91,12
Shenandoah,Dutch Haven Assisted Living,Assisted Living,Outbreak Closed,2020-05-03,47,11
Shenandoah,Pine Meadow,Assisted Living,Outbreak Closed,2020-05-06,*,0
Shenandoah,Skyline Terrace,Nursing Home,Outbreak Closed,2020-03-30,*,0
Southampton,Courtland Healthcare,Nursing Home,Outbreak Closed,2020-04-15,48,5
Spotsylvania,Carriage Hill Health & Rehab,Nursing Home,Outbreak in Progress,2020-06-02,103,18
Spotsylvania,Paramount Senior Living (frmly Brookdate ALF),Assisted Living,Outbreak in Progress,2020-06-03,*,0
Staunton,Ritenour Rest Home,Assisted Living,Pending Closure,2020-05-13,25,0
Suffolk,Autumn Nursing Care,Nursing Home,Pending Closure,2020-04-08,70,11
Suffolk,Bon Secours/Maryview Nursing Center,Nursing Home,Outbreak Closed,2020-04-09,96,13
Suffolk,Nansemond Pointe Rehab,Nursing Home,Outbreak Closed,2020-04-15,15,6
Sussex,Waverly Health and Rehabilitation Center,Nursing Home,Pending Closure,2020-05-10,92,*
Virginia Beach,Accordius Health at River Pointe,Nursing Home,Pending Closure,2020-04-29,17,*
Virginia Beach,Baylake Retirement and Assisted Living Community,Assisted Living,Outbreak in Progress,2020-05-15,*,0
Virginia Beach,Beth Shalom Home of Eastern Virginia,Nursing Home,Outbreak in Progress,2020-04-23,*,0
Virginia Beach,Harbourway at Atlantic Shores,Assisted Living,Pending Closure,2020-03-31,26,*
Virginia Beach,Kings Grant House,Assisted Living,Outbreak in Progress,2020-05-30,22,6
Virginia Beach,Marian Manor,Assisted Living,Pending Closure,2020-06-04,*,0
Virginia Beach,Our Lady of Perpetual Help,Multicare,Pending Closure,2020-04-11,33,6
Virginia Beach,Sentara Nursing Center,Nursing Home,Outbreak in Progress,2020-05-01,*,0
Virginia Beach,The Citadel,Nursing Home,Outbreak in Progress,2020-06-15,*,0
Warren,Woods Cove (frmly Royal Haven of Front Royal),Assisted Living,Outbreak in Progress,2020-06-18,42,*
Washington,English Meadows,Assisted Living,Pending Closure,2020-04-03,9,*
Williamsburg,Envoy of Williamsburg,Nursing Home,Outbreak Closed,2020-03-31,29,*
York,Regency Healthcare Center,Nursing Home,Outbreak Closed,2020-05-11,*,0
