"Administration Date",FIPS,Locality,"Health District","Facility Type","Vaccine Manufacturer","Dose Number","Vaccine Doses Administered Count"
12/30/2020,51730,Petersburg,Crater,Hospitals,Pfizer,1,5
02/09/2021,51023,Botetourt,Alleghany,"Local Health Departments",Pfizer,2,7
02/03/2021,"Not Reported","Not Reported","Not Reported",Hospitals,Pfizer,2,684
01/11/2021,51171,Shenandoah,"Lord Fairfax","Local Health Departments",Moderna,1,24
02/12/2021,51680,Lynchburg,"Central Virginia","Medical Practices",Pfizer,1,99
12/21/2020,51077,Grayson,"Mount Rogers",Hospitals,Pfizer,1,9
01/21/2021,51059,Fairfax,Fairfax,"Medical Practices",Pfizer,1,5
01/05/2021,51019,Bedford,"Central Virginia","Medical Practices",Moderna,1,14
12/15/2020,51191,Washington,"Mount Rogers","Other Community Health Providers",Moderna,1,1
02/15/2021,51143,Pittsylvania,Pittsylvania-Danville,"Federal LTCF Program",Pfizer,1,1
02/03/2021,51013,Arlington,Arlington,"Federal LTCF Program",Pfizer,2,89
02/03/2021,51800,Suffolk,"Western Tidewater","Medical Practices",Pfizer,1,154
01/06/2021,51079,Greene,"Blue Ridge","Other Community Health Providers",Pfizer,2,5
01/09/2021,51015,Augusta,"Central Shenandoah","Medical Practices",Pfizer,1,1
01/08/2021,51119,Middlesex,"Three Rivers",Hospitals,Pfizer,2,1
02/04/2021,51790,Staunton,"Central Shenandoah","Local Health Departments",Moderna,1,2
01/28/2021,51037,Charlotte,Piedmont,"Medical Practices",Moderna,1,11
01/27/2021,51161,"Roanoke County",Alleghany,"Other Community Health Providers",Moderna,1,1
01/08/2021,51550,Chesapeake,Chesapeake,"Medical Practices",Pfizer,2,20
01/18/2021,51131,Northampton,"Eastern Shore","Other Community Health Providers",Moderna,1,22
01/06/2021,51099,"King George",Rappahannock,Hospitals,Moderna,1,1
01/26/2021,51159,"Richmond County","Three Rivers","Local Health Departments",Moderna,1,3
02/12/2021,51183,Sussex,Crater,"Other Community Health Providers",Moderna,1,30
01/19/2021,51195,Wise,Lenowisco,"Other Community Health Providers",Moderna,1,62
01/13/2021,51047,Culpeper,"Rappahannock Rapidan","Federal LTCF Program",Pfizer,1,18
01/24/2021,51107,Loudoun,Loudoun,"Federal LTCF Program",Pfizer,2,7
02/03/2021,51191,Washington,"Mount Rogers",Pharmacies,Moderna,1,2
01/15/2021,51157,Rappahannock,"Rappahannock Rapidan",Hospitals,Moderna,1,8
12/29/2020,51067,"Franklin County","West Piedmont",Hospitals,Pfizer,1,7
02/08/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,27
01/26/2021,51009,Amherst,"Central Virginia","Local Health Departments",Moderna,1,2
02/03/2021,51029,Buckingham,Piedmont,"Medical Practices",Moderna,2,1
01/05/2021,51660,Harrisonburg,"Central Shenandoah","Local Health Departments",Moderna,1,10
01/14/2021,51770,"Roanoke City",Roanoke,"Medical Practices",Pfizer,1,2
02/16/2021,51011,Appomattox,"Central Virginia","Local Health Departments",Moderna,2,1
01/20/2021,51163,Rockbridge,"Central Shenandoah",Hospitals,Pfizer,2,6
01/13/2021,51167,Russell,"Cumberland Plateau","Other Community Health Providers",Pfizer,1,13
02/06/2021,51073,Gloucester,"Three Rivers",Hospitals,Pfizer,1,39
02/03/2021,51770,"Roanoke City",Roanoke,"Medical Practices",Moderna,2,31
01/11/2021,51005,Alleghany,Alleghany,Hospitals,Pfizer,2,9
12/28/2020,51027,Buchanan,"Cumberland Plateau","Local Health Departments",Moderna,1,12
02/05/2021,51057,Essex,"Three Rivers","Local Health Departments",Moderna,2,1
02/08/2021,51089,Henry,"West Piedmont","Local Health Departments",Moderna,1,3
01/18/2021,51005,Alleghany,Alleghany,"Local Health Departments",Moderna,1,1
01/27/2021,51730,Petersburg,Crater,"Local Health Departments",Moderna,1,4
01/13/2021,51770,"Roanoke City",Roanoke,Hospitals,Moderna,1,1
01/26/2021,51041,Chesterfield,Chesterfield,"Local Health Departments",Pfizer,2,1
12/29/2020,51195,Wise,Lenowisco,Hospitals,Pfizer,1,32
01/22/2021,51199,York,Peninsula,"Local Health Departments",Pfizer,1,1
02/03/2021,51033,Caroline,Rappahannock,Hospitals,Pfizer,2,4
02/04/2021,51043,Clarke,"Lord Fairfax","Local Health Departments",Moderna,2,12
01/14/2021,51019,Bedford,"Central Virginia",Pharmacies,Moderna,1,9
02/11/2021,51099,"King George",Rappahannock,Hospitals,Pfizer,2,2
01/14/2021,51700,"Newport News",Peninsula,"Local Health Departments",Moderna,1,29
01/26/2021,51169,Scott,Lenowisco,"Federal LTCF Program",Pfizer,1,3
01/11/2021,51710,Norfolk,Norfolk,"Medical Practices",Pfizer,2,2
02/11/2021,51121,Montgomery,"New River","Medical Practices",Moderna,2,4
01/16/2021,51033,Caroline,Rappahannock,"Federal LTCF Program",Pfizer,1,2
01/29/2021,51047,Culpeper,"Rappahannock Rapidan","Medical Practices",Moderna,1,4
01/28/2021,51053,Dinwiddie,Crater,"Federal LTCF Program",Pfizer,1,9
02/16/2021,51107,Loudoun,Loudoun,"Local Health Departments",Moderna,1,58
02/14/2021,51019,Bedford,"Central Virginia","Federal LTCF Program",Pfizer,1,3
12/18/2020,51510,Alexandria,Alexandria,Hospitals,Pfizer,1,28
01/23/2021,51683,"Manassas City","Prince William","Local Health Departments",Moderna,2,1
01/16/2021,51810,"Virginia Beach","Virginia Beach",Hospitals,Pfizer,2,116
01/20/2021,51033,Caroline,Rappahannock,"Other Community Health Providers",Moderna,1,1
02/06/2021,51135,Nottoway,Piedmont,Pharmacies,Moderna,1,2
01/28/2021,51181,Surry,Crater,"Medical Practices",Moderna,2,1
01/26/2021,51047,Culpeper,"Rappahannock Rapidan","Local Health Departments",Pfizer,1,1
02/02/2021,51051,Dickenson,"Cumberland Plateau","Other Community Health Providers",Pfizer,2,4
01/29/2021,51027,Buchanan,"Cumberland Plateau","Other Community Health Providers",Pfizer,1,10
01/29/2021,51165,Rockingham,"Central Shenandoah",Hospitals,Pfizer,2,1
02/04/2021,51735,Poquoson,Peninsula,Hospitals,Pfizer,2,4
01/08/2021,51003,Albemarle,"Blue Ridge","Other Community Health Providers",Pfizer,2,30
02/04/2021,51149,"Prince George",Crater,Hospitals,Moderna,2,1
01/12/2021,51660,Harrisonburg,"Central Shenandoah",Hospitals,Pfizer,2,6
12/30/2020,51510,Alexandria,Alexandria,"Medical Practices",Moderna,1,18
02/16/2021,51115,Mathews,"Three Rivers","Medical Practices",Pfizer,1,5
01/26/2021,51173,Smyth,"Mount Rogers",Pharmacies,Moderna,1,22
02/11/2021,51071,Giles,"New River",Pharmacies,Moderna,1,2
01/22/2021,51147,"Prince Edward",Piedmont,"Local Health Departments",Pfizer,1,3
01/15/2021,51127,"New Kent",Chickahominy,Hospitals,Pfizer,1,12
01/19/2021,51099,"King George",Rappahannock,Hospitals,Moderna,1,1
01/27/2021,51081,Greensville,Crater,Hospitals,Moderna,2,7
01/02/2021,51540,Charlottesville,"Blue Ridge","Local Health Departments",Moderna,1,4
02/05/2021,51027,Buchanan,"Cumberland Plateau","Other Community Health Providers",Pfizer,2,1
12/30/2020,51177,Spotsylvania,Rappahannock,"Other Community Health Providers",Moderna,1,4
01/18/2021,"Out of State","Out of State","Out of State","Medical Practices",Moderna,1,9
02/17/2021,51033,Caroline,Rappahannock,Hospitals,Pfizer,2,7
01/13/2021,51145,Powhatan,Chesterfield,Hospitals,Pfizer,1,3
02/02/2021,51107,Loudoun,Loudoun,"Local Health Departments",Moderna,1,17
02/04/2021,51023,Botetourt,Alleghany,"Medical Practices",Moderna,2,6
02/03/2021,51007,Amelia,Piedmont,"Federal LTCF Program",Pfizer,1,4
02/11/2021,51027,Buchanan,"Cumberland Plateau","Federal LTCF Program",Moderna,1,6
02/04/2021,51710,Norfolk,Norfolk,"Local Health Departments",Pfizer,1,235
01/04/2021,51109,Louisa,"Blue Ridge",Hospitals,Moderna,1,1
01/29/2021,51051,Dickenson,"Cumberland Plateau","Other Community Health Providers",Moderna,1,79
01/06/2021,51087,Henrico,Henrico,"Medical Practices",Pfizer,1,3
12/30/2020,51083,Halifax,Southside,Hospitals,Moderna,1,3
02/04/2021,51185,Tazewell,"Cumberland Plateau","Local Health Departments",Moderna,1,72
02/11/2021,51015,Augusta,"Central Shenandoah",Pharmacies,Moderna,1,1
01/14/2021,51730,Petersburg,Crater,"Local Health Departments",Moderna,1,34
01/28/2021,51740,Portsmouth,Portsmouth,"Local Health Departments",Moderna,2,5
01/25/2021,51033,Caroline,Rappahannock,"Federal LTCF Program",Pfizer,1,2
02/12/2021,"Out of State","Out of State","Out of State",Pharmacies,Moderna,2,14
01/13/2021,51053,Dinwiddie,Crater,"Federal LTCF Program",Pfizer,1,26
02/09/2021,"Not Reported","Not Reported","Not Reported","Local Health Departments",Pfizer,1,158
02/10/2021,51610,"Falls Church",Fairfax,"Other Community Health Providers",Pfizer,1,1
02/11/2021,"Not Reported","Not Reported","Not Reported",Pharmacies,Moderna,1,74
02/11/2021,51077,Grayson,"Mount Rogers","Local Health Departments",Moderna,2,9
01/30/2021,51165,Rockingham,"Central Shenandoah","Medical Practices",Pfizer,2,1
01/20/2021,51071,Giles,"New River","Medical Practices",Moderna,1,2
02/12/2021,51115,Mathews,"Three Rivers","Federal LTCF Program",Pfizer,2,1
12/28/2020,51810,"Virginia Beach","Virginia Beach","Other Community Health Providers",Pfizer,1,2
01/23/2021,51093,"Isle of Wight","Western Tidewater",Pharmacies,Moderna,1,1
02/01/2021,51009,Amherst,"Central Virginia","Other Community Health Providers",Pfizer,1,52
02/15/2021,51775,Salem,Alleghany,"Local Health Departments",Moderna,1,3
12/16/2020,51730,Petersburg,Crater,Hospitals,Pfizer,1,8
01/31/2021,51770,"Roanoke City",Roanoke,"Federal LTCF Program",Pfizer,2,76
12/19/2020,51195,Wise,Lenowisco,Hospitals,Pfizer,1,45
01/18/2021,51650,Hampton,Hampton,Hospitals,Pfizer,1,58
12/18/2020,51185,Tazewell,"Cumberland Plateau",Hospitals,Pfizer,1,41
01/26/2021,51137,Orange,"Rappahannock Rapidan","Federal LTCF Program",Pfizer,1,15
01/12/2021,51735,Poquoson,Peninsula,"Local Health Departments",Moderna,1,4
01/26/2021,51081,Greensville,Crater,"Other Community Health Providers",Moderna,2,1
02/16/2021,51069,Frederick,"Lord Fairfax",Pharmacies,Moderna,1,14
02/16/2021,51167,Russell,"Cumberland Plateau","Federal LTCF Program",Pfizer,2,5
12/28/2020,51119,Middlesex,"Three Rivers",Hospitals,Moderna,1,6
01/27/2021,51059,Fairfax,Fairfax,"Medical Practices",Pfizer,1,79
01/21/2021,51187,Warren,"Lord Fairfax","Medical Practices",Moderna,1,12
02/12/2021,51053,Dinwiddie,Crater,Hospitals,Moderna,2,4
01/19/2021,51021,Bland,"Mount Rogers",Pharmacies,Moderna,1,9
02/16/2021,51125,Nelson,"Blue Ridge","Local Health Departments",Moderna,1,3
01/18/2021,51075,Goochland,Chickahominy,Hospitals,Moderna,2,1
02/06/2021,51810,"Virginia Beach","Virginia Beach","Federal LTCF Program",Pfizer,2,205
01/25/2021,51810,"Virginia Beach","Virginia Beach",Hospitals,Pfizer,2,97
01/29/2021,51177,Spotsylvania,Rappahannock,"Local Health Departments",Moderna,1,223
02/16/2021,51101,"King William","Three Rivers",Hospitals,Pfizer,1,2
12/29/2020,51075,Goochland,Chickahominy,Hospitals,Pfizer,1,2
01/11/2021,51840,Winchester,"Lord Fairfax","Local Health Departments",Moderna,1,218
02/13/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,9
01/20/2021,51019,Bedford,"Central Virginia","Medical Practices",Moderna,1,52
12/20/2020,51520,Bristol,"Mount Rogers","Medical Practices",Pfizer,1,2
12/19/2020,51073,Gloucester,"Three Rivers",Hospitals,Pfizer,1,69
01/09/2021,51700,"Newport News",Peninsula,"Medical Practices",Pfizer,1,124
12/21/2020,51113,Madison,"Rappahannock Rapidan",Hospitals,Pfizer,1,6
01/13/2021,51037,Charlotte,Piedmont,"Medical Practices",Moderna,1,2
01/18/2021,51167,Russell,"Cumberland Plateau",Hospitals,Pfizer,2,13
01/11/2021,51031,Campbell,"Central Virginia","Other Community Health Providers",Pfizer,1,1
02/12/2021,51087,Henrico,Henrico,Hospitals,Pfizer,1,24
02/06/2021,51053,Dinwiddie,Crater,"Medical Practices",Moderna,1,1
02/01/2021,51073,Gloucester,"Three Rivers",Hospitals,Moderna,2,1
02/06/2021,51800,Suffolk,"Western Tidewater","Local Health Departments",Moderna,1,32
01/27/2021,51093,"Isle of Wight","Western Tidewater",Hospitals,Pfizer,1,12
01/15/2021,51009,Amherst,"Central Virginia","Local Health Departments",Moderna,1,3
01/22/2021,51650,Hampton,Hampton,Hospitals,Pfizer,2,7
02/16/2021,"Out of State","Out of State","Out of State","Medical Practices",Moderna,2,22
01/29/2021,51041,Chesterfield,Chesterfield,"Medical Practices",Moderna,2,1
12/27/2020,51087,Henrico,Henrico,Hospitals,Moderna,1,37
01/21/2021,51003,Albemarle,"Blue Ridge","Local Health Departments",Pfizer,1,4
12/31/2020,51061,Fauquier,"Rappahannock Rapidan","Other Community Health Providers",Pfizer,1,1
12/30/2020,51630,Fredericksburg,Rappahannock,"Local Health Departments",Moderna,1,4
02/07/2021,51510,Alexandria,Alexandria,Hospitals,Pfizer,1,7
02/11/2021,51149,"Prince George",Crater,"Local Health Departments",Pfizer,1,3
02/09/2021,51650,Hampton,Hampton,"Medical Practices",Moderna,1,7
01/16/2021,51149,"Prince George",Crater,"Other Community Health Providers",Moderna,1,2
02/16/2021,51087,Henrico,Henrico,Hospitals,Pfizer,2,266
12/29/2020,51181,Surry,Crater,"Local Health Departments",Moderna,1,1
01/14/2021,51015,Augusta,"Central Shenandoah","Local Health Departments",Moderna,1,25
01/26/2021,51083,Halifax,Southside,"Local Health Departments",Moderna,2,4
01/11/2021,51169,Scott,Lenowisco,"Medical Practices",Pfizer,2,10
02/06/2021,51179,Stafford,Rappahannock,"Other Community Health Providers",Moderna,1,2
01/27/2021,51770,"Roanoke City",Roanoke,"Medical Practices",Pfizer,1,1
12/28/2020,51187,Warren,"Lord Fairfax","Federal LTCF Program",Pfizer,1,5
01/25/2021,51520,Bristol,"Mount Rogers","Medical Practices",Moderna,2,1
01/14/2021,51075,Goochland,Chickahominy,"Other Community Health Providers",Pfizer,1,1
02/05/2021,51800,Suffolk,"Western Tidewater",Pharmacies,Moderna,1,43
01/26/2021,51107,Loudoun,Loudoun,"Federal LTCF Program",Pfizer,2,13
02/16/2021,51199,York,Peninsula,"Local Health Departments",Moderna,2,6
01/26/2021,51610,"Falls Church",Fairfax,"Local Health Departments",Moderna,2,14
02/15/2021,51127,"New Kent",Chickahominy,"Federal LTCF Program",Pfizer,2,2
12/19/2020,51121,Montgomery,"New River","Other Community Health Providers",Pfizer,1,1
12/18/2020,51139,Page,"Lord Fairfax","Medical Practices",Pfizer,1,1
02/01/2021,51095,"James City",Peninsula,"Medical Practices",Pfizer,2,71
02/16/2021,51013,Arlington,Arlington,"Medical Practices",Pfizer,2,20
01/30/2021,51033,Caroline,Rappahannock,Hospitals,Pfizer,2,1
02/15/2021,51103,Lancaster,"Three Rivers","Local Health Departments",Pfizer,1,1
02/10/2021,51185,Tazewell,"Cumberland Plateau","Federal LTCF Program",Pfizer,1,4
01/18/2021,51157,Rappahannock,"Rappahannock Rapidan",Hospitals,Pfizer,1,4
02/09/2021,51061,Fauquier,"Rappahannock Rapidan","Local Health Departments",Moderna,2,42
12/30/2020,51775,Salem,Alleghany,"Other Community Health Providers",Pfizer,1,1
01/28/2021,51540,Charlottesville,"Blue Ridge","Medical Practices",Moderna,1,2
02/09/2021,51045,Craig,Alleghany,"Local Health Departments",Pfizer,1,3
02/13/2021,51107,Loudoun,Loudoun,"Federal LTCF Program",Pfizer,2,29
01/30/2021,51085,Hanover,Chickahominy,"Other Community Health Providers",Pfizer,1,1
02/11/2021,51127,"New Kent",Chickahominy,"Medical Practices",Pfizer,1,1
01/12/2021,51530,"Buena Vista City","Central Shenandoah",Hospitals,Moderna,1,1
02/06/2021,51117,Mecklenburg,Southside,"Medical Practices",Pfizer,2,2
01/27/2021,51079,Greene,"Blue Ridge","Other Community Health Providers",Moderna,2,18
01/20/2021,51137,Orange,"Rappahannock Rapidan",Hospitals,Moderna,1,166
01/10/2021,51065,Fluvanna,"Blue Ridge","Other Community Health Providers",Pfizer,1,9
01/19/2021,51107,Loudoun,Loudoun,"Local Health Departments",Moderna,1,1022
02/07/2021,51680,Lynchburg,"Central Virginia","Federal LTCF Program",Pfizer,1,11
01/26/2021,51037,Charlotte,Piedmont,"Other Community Health Providers",Moderna,1,24
01/20/2021,51007,Amelia,Piedmont,"Federal LTCF Program",Pfizer,1,4
02/10/2021,51680,Lynchburg,"Central Virginia","Other Community Health Providers",Moderna,1,12
02/06/2021,51510,Alexandria,Alexandria,"Local Health Departments",Moderna,1,39
01/12/2021,51193,Westmoreland,"Three Rivers","Other Community Health Providers",Moderna,1,3
01/14/2021,51111,Lunenburg,Piedmont,"Federal LTCF Program",Pfizer,1,4
01/25/2021,51053,Dinwiddie,Crater,Hospitals,Moderna,2,10
12/28/2020,51127,"New Kent",Chickahominy,Hospitals,Pfizer,1,4
02/04/2021,51107,Loudoun,Loudoun,"Other Community Health Providers",Moderna,1,64
01/24/2021,51095,"James City",Peninsula,Hospitals,Pfizer,2,1
02/12/2021,51540,Charlottesville,"Blue Ridge",Hospitals,Pfizer,1,6
01/28/2021,51099,"King George",Rappahannock,"Other Community Health Providers",Moderna,1,1
02/16/2021,51161,"Roanoke County",Alleghany,"Medical Practices",Pfizer,2,1
12/27/2020,51095,"James City",Peninsula,Hospitals,Moderna,1,1
01/21/2021,51159,"Richmond County","Three Rivers","Other Community Health Providers",Moderna,1,3
02/16/2021,51760,"Richmond City",Richmond,"Other Community Health Providers",Moderna,1,4
02/13/2021,51683,"Manassas City","Prince William",Hospitals,Pfizer,2,9
01/25/2021,51550,Chesapeake,Chesapeake,"Medical Practices",Moderna,2,1
01/27/2021,51790,Staunton,"Central Shenandoah","Other Community Health Providers",Moderna,1,8
01/22/2021,51650,Hampton,Hampton,"Medical Practices",Moderna,1,20
02/16/2021,51810,"Virginia Beach","Virginia Beach","Local Health Departments",Moderna,2,883
02/05/2021,51109,Louisa,"Blue Ridge","Federal LTCF Program",Pfizer,1,12
01/24/2021,51620,"Franklin City","Western Tidewater","Federal LTCF Program",Pfizer,1,2
01/11/2021,51650,Hampton,Hampton,"Federal LTCF Program",Pfizer,1,55
01/22/2021,51570,"Colonial Heights",Chesterfield,Hospitals,Moderna,2,2
02/16/2021,51800,Suffolk,"Western Tidewater","Federal LTCF Program",Pfizer,1,3
01/08/2021,51079,Greene,"Blue Ridge","Federal LTCF Program",Pfizer,1,4
12/16/2020,51630,Fredericksburg,Rappahannock,"Other Community Health Providers",Pfizer,1,11
01/30/2021,51157,Rappahannock,"Rappahannock Rapidan",Pharmacies,Moderna,1,1
01/23/2021,51177,Spotsylvania,Rappahannock,"Federal LTCF Program",Pfizer,1,16
01/22/2021,51175,Southampton,"Western Tidewater","Medical Practices",Moderna,1,2
01/14/2021,51077,Grayson,"Mount Rogers","Other Community Health Providers",Moderna,1,1
01/15/2021,51139,Page,"Lord Fairfax","Other Community Health Providers",Pfizer,1,1
02/12/2021,51083,Halifax,Southside,"Other Community Health Providers",Moderna,2,14
01/20/2021,51820,Waynesboro,"Central Shenandoah","Federal LTCF Program",Pfizer,2,5
01/31/2021,51153,"Prince William","Prince William",Hospitals,Pfizer,1,79
02/17/2021,51193,Westmoreland,"Three Rivers",Hospitals,Moderna,2,5
02/02/2021,51021,Bland,"Mount Rogers",Pharmacies,Moderna,1,9
02/17/2021,51173,Smyth,"Mount Rogers","Other Community Health Providers",Moderna,2,21
02/05/2021,51640,Galax,"Mount Rogers","Federal LTCF Program",Pfizer,2,1
12/28/2020,51590,Danville,Pittsylvania-Danville,"Federal LTCF Program",Pfizer,1,91
12/29/2020,"Out of State","Out of State","Out of State",Hospitals,Moderna,1,63
01/26/2021,51640,Galax,"Mount Rogers",Hospitals,Moderna,2,3
02/08/2021,51101,"King William","Three Rivers","Local Health Departments",Moderna,1,1
01/16/2021,51181,Surry,Crater,"Local Health Departments",Moderna,1,4
02/10/2021,51059,Fairfax,Fairfax,"Medical Practices",Pfizer,1,69
01/12/2021,51540,Charlottesville,"Blue Ridge","Federal LTCF Program",Pfizer,1,11
01/27/2021,51103,Lancaster,"Three Rivers",Pharmacies,Moderna,1,24
01/13/2021,51007,Amelia,Piedmont,"Medical Practices",Moderna,1,1
02/10/2021,51620,"Franklin City","Western Tidewater","Federal LTCF Program",Pfizer,2,1
01/26/2021,51085,Hanover,Chickahominy,"Medical Practices",Moderna,1,30
01/14/2021,51195,Wise,Lenowisco,"Other Community Health Providers",Pfizer,1,3
01/22/2021,51057,Essex,"Three Rivers",Pharmacies,Moderna,1,2
02/16/2021,51590,Danville,Pittsylvania-Danville,Hospitals,Moderna,2,1
01/18/2021,51740,Portsmouth,Portsmouth,"Federal LTCF Program",Pfizer,2,2
02/07/2021,51720,Norton,Lenowisco,"Federal LTCF Program",Pfizer,2,1
02/02/2021,51179,Stafford,Rappahannock,"Federal LTCF Program",Pfizer,1,10
01/16/2021,51013,Arlington,Arlington,Hospitals,Pfizer,2,19
01/20/2021,51137,Orange,"Rappahannock Rapidan","Local Health Departments",Moderna,1,84
02/11/2021,51173,Smyth,"Mount Rogers","Local Health Departments",Moderna,2,391
01/07/2021,51163,Rockbridge,"Central Shenandoah","Other Community Health Providers",Pfizer,1,1
01/28/2021,51119,Middlesex,"Three Rivers","Local Health Departments",Moderna,2,1
12/30/2020,51145,Powhatan,Chesterfield,Hospitals,Pfizer,1,4
01/06/2021,51015,Augusta,"Central Shenandoah","Other Community Health Providers",Pfizer,1,23
01/10/2021,51085,Hanover,Chickahominy,Hospitals,Pfizer,2,1
12/23/2020,51087,Henrico,Henrico,"Medical Practices",Pfizer,1,5
01/28/2021,51071,Giles,"New River",Pharmacies,Moderna,1,8
01/03/2021,51590,Danville,Pittsylvania-Danville,Hospitals,Pfizer,1,1
02/10/2021,51087,Henrico,Henrico,"Federal LTCF Program",Moderna,1,1
01/12/2021,51540,Charlottesville,"Blue Ridge","Other Community Health Providers",Pfizer,1,195
02/02/2021,51660,Harrisonburg,"Central Shenandoah","Medical Practices",Moderna,1,9
01/08/2021,51015,Augusta,"Central Shenandoah","Federal LTCF Program",Pfizer,1,23
02/11/2021,51670,Hopewell,Crater,"Local Health Departments",Moderna,1,2
01/08/2021,51127,"New Kent",Chickahominy,"Local Health Departments",Moderna,1,15
02/10/2021,51015,Augusta,"Central Shenandoah",Hospitals,Pfizer,2,164
01/27/2021,51177,Spotsylvania,Rappahannock,Hospitals,Pfizer,1,12
01/28/2021,51085,Hanover,Chickahominy,"Local Health Departments",Moderna,2,4
02/04/2021,51800,Suffolk,"Western Tidewater",Hospitals,Pfizer,2,36
01/29/2021,51001,Accomack,"Eastern Shore","Medical Practices",Moderna,1,1
01/12/2021,51177,Spotsylvania,Rappahannock,"Other Community Health Providers",Pfizer,1,2
02/04/2021,51670,Hopewell,Crater,Pharmacies,Moderna,1,13
02/17/2021,51101,"King William","Three Rivers",Pharmacies,Moderna,2,12
01/15/2021,51800,Suffolk,"Western Tidewater",Hospitals,Moderna,1,1
02/11/2021,51125,Nelson,"Blue Ridge",Hospitals,Moderna,1,2
01/05/2021,51700,"Newport News",Peninsula,"Medical Practices",Moderna,1,1
01/20/2021,51009,Amherst,"Central Virginia","Other Community Health Providers",Moderna,1,2
01/19/2021,"Not Reported","Not Reported","Not Reported","Local Health Departments",Moderna,1,405
02/02/2021,51121,Montgomery,"New River","Local Health Departments",Moderna,2,223
01/26/2021,51179,Stafford,Rappahannock,Hospitals,Moderna,1,3
01/21/2021,51700,"Newport News",Peninsula,"Federal LTCF Program",Pfizer,1,45
01/24/2021,51165,Rockingham,"Central Shenandoah","Medical Practices",Moderna,1,1
12/26/2020,51003,Albemarle,"Blue Ridge",Hospitals,Pfizer,1,1
12/24/2020,51075,Goochland,Chickahominy,"Other Community Health Providers",Moderna,1,3
